"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"502",2020-07-12,12,7,2020,0,0,"Andorra","AD","AND",76177,"Europe",0
"503",2020-07-11,11,7,2020,0,0,"Andorra","AD","AND",76177,"Europe",0
"504",2020-07-10,10,7,2020,0,0,"Andorra","AD","AND",76177,"Europe",0
"505",2020-07-09,9,7,2020,0,0,"Andorra","AD","AND",76177,"Europe",0
"506",2020-07-08,8,7,2020,0,0,"Andorra","AD","AND",76177,"Europe",0
"507",2020-07-07,7,7,2020,0,0,"Andorra","AD","AND",76177,"Europe",0
"508",2020-07-06,6,7,2020,0,0,"Andorra","AD","AND",76177,"Europe",0
"509",2020-07-05,5,7,2020,0,0,"Andorra","AD","AND",76177,"Europe",0
"510",2020-07-04,4,7,2020,0,0,"Andorra","AD","AND",76177,"Europe",0
"511",2020-07-03,3,7,2020,0,0,"Andorra","AD","AND",76177,"Europe",0
"512",2020-07-02,2,7,2020,0,0,"Andorra","AD","AND",76177,"Europe",1.31273219
"513",2020-07-01,1,7,2020,0,0,"Andorra","AD","AND",76177,"Europe",1.31273219
"514",2020-06-30,30,6,2020,0,0,"Andorra","AD","AND",76177,"Europe",2.62546438
"515",2020-06-29,29,6,2020,0,0,"Andorra","AD","AND",76177,"Europe",2.62546438
"516",2020-06-28,28,6,2020,0,0,"Andorra","AD","AND",76177,"Europe",2.62546438
"517",2020-06-27,27,6,2020,0,0,"Andorra","AD","AND",76177,"Europe",2.62546438
"518",2020-06-26,26,6,2020,0,0,"Andorra","AD","AND",76177,"Europe",3.93819657
"519",2020-06-25,25,6,2020,0,0,"Andorra","AD","AND",76177,"Europe",3.93819657
"520",2020-06-24,24,6,2020,0,0,"Andorra","AD","AND",76177,"Europe",3.93819657
"521",2020-06-23,23,6,2020,0,0,"Andorra","AD","AND",76177,"Europe",3.93819657
"522",2020-06-22,22,6,2020,0,0,"Andorra","AD","AND",76177,"Europe",3.93819657
"523",2020-06-21,21,6,2020,0,0,"Andorra","AD","AND",76177,"Europe",3.93819657
"524",2020-06-20,20,6,2020,0,0,"Andorra","AD","AND",76177,"Europe",3.93819657
"525",2020-06-19,19,6,2020,1,0,"Andorra","AD","AND",76177,"Europe",3.93819657
"526",2020-06-18,18,6,2020,0,0,"Andorra","AD","AND",76177,"Europe",3.93819657
"527",2020-06-17,17,6,2020,1,1,"Andorra","AD","AND",76177,"Europe",13.1273219
"528",2020-06-16,16,6,2020,0,0,"Andorra","AD","AND",76177,"Europe",115.52043268
"529",2020-06-15,15,6,2020,0,0,"Andorra","AD","AND",76177,"Europe",116.83316487
"530",2020-06-14,14,6,2020,0,0,"Andorra","AD","AND",76177,"Europe",116.83316487
"531",2020-06-13,13,6,2020,1,0,"Andorra","AD","AND",76177,"Europe",116.83316487
"532",2020-06-12,12,6,2020,0,0,"Andorra","AD","AND",76177,"Europe",116.83316487
"533",2020-06-11,11,6,2020,0,0,"Andorra","AD","AND",76177,"Europe",116.83316487
"534",2020-06-10,10,6,2020,0,0,"Andorra","AD","AND",76177,"Europe",116.83316487
"535",2020-06-09,9,6,2020,0,0,"Andorra","AD","AND",76177,"Europe",116.83316487
"536",2020-06-08,8,6,2020,0,0,"Andorra","AD","AND",76177,"Europe",116.83316487
"537",2020-06-07,7,6,2020,0,0,"Andorra","AD","AND",76177,"Europe",118.14589706
"538",2020-06-06,6,6,2020,0,0,"Andorra","AD","AND",76177,"Europe",118.14589706
"539",2020-06-05,5,6,2020,1,0,"Andorra","AD","AND",76177,"Europe",118.14589706
"540",2020-06-04,4,6,2020,7,0,"Andorra","AD","AND",76177,"Europe",116.83316487
"541",2020-06-03,3,6,2020,79,0,"Andorra","AD","AND",76177,"Europe",108.95677173
"542",2020-06-02,2,6,2020,1,0,"Andorra","AD","AND",76177,"Europe",5.25092876
"543",2020-06-01,1,6,2020,0,0,"Andorra","AD","AND",76177,"Europe",3.93819657
"544",2020-05-31,31,5,2020,0,0,"Andorra","AD","AND",76177,"Europe",3.93819657
"545",2020-05-30,30,5,2020,1,0,"Andorra","AD","AND",76177,"Europe",3.93819657
"546",2020-05-29,29,5,2020,0,0,"Andorra","AD","AND",76177,"Europe",2.62546438
"547",2020-05-28,28,5,2020,0,0,"Andorra","AD","AND",76177,"Europe",3.93819657
"548",2020-05-27,27,5,2020,0,0,"Andorra","AD","AND",76177,"Europe",6.56366095
"549",2020-05-26,26,5,2020,0,0,"Andorra","AD","AND",76177,"Europe",9.18912533
"550",2020-05-25,25,5,2020,1,0,"Andorra","AD","AND",76177,"Europe",10.50185752
"551",2020-05-24,24,5,2020,0,0,"Andorra","AD","AND",76177,"Europe",10.50185752
"552",2020-05-23,23,5,2020,0,0,"Andorra","AD","AND",76177,"Europe",13.1273219
"553",2020-05-22,22,5,2020,0,0,"Andorra","AD","AND",76177,"Europe",13.1273219
"554",2020-05-21,21,5,2020,1,0,"Andorra","AD","AND",76177,"Europe",14.44005408
"555",2020-05-20,20,5,2020,0,0,"Andorra","AD","AND",76177,"Europe",13.1273219
"556",2020-05-19,19,5,2020,0,0,"Andorra","AD","AND",76177,"Europe",14.44005408
"557",2020-05-18,18,5,2020,0,0,"Andorra","AD","AND",76177,"Europe",17.06551846
"558",2020-05-17,17,5,2020,0,2,"Andorra","AD","AND",76177,"Europe",18.37825065
"559",2020-05-16,16,5,2020,0,0,"Andorra","AD","AND",76177,"Europe",19.69098284
"560",2020-05-15,15,5,2020,1,0,"Andorra","AD","AND",76177,"Europe",21.00371503
"561",2020-05-14,14,5,2020,2,1,"Andorra","AD","AND",76177,"Europe",22.31644722
"562",2020-05-13,13,5,2020,2,0,"Andorra","AD","AND",76177,"Europe",19.69098284
"563",2020-05-12,12,5,2020,1,0,"Andorra","AD","AND",76177,"Europe",17.06551846
"564",2020-05-11,11,5,2020,1,0,"Andorra","AD","AND",76177,"Europe",19.69098284
"565",2020-05-10,10,5,2020,2,1,"Andorra","AD","AND",76177,"Europe",27.56737598
"566",2020-05-09,9,5,2020,0,0,"Andorra","AD","AND",76177,"Europe",27.56737598
"567",2020-05-08,8,5,2020,1,1,"Andorra","AD","AND",76177,"Europe",36.75650131
"568",2020-05-07,7,5,2020,0,0,"Andorra","AD","AND",76177,"Europe",36.75650131
"569",2020-05-06,6,5,2020,1,1,"Andorra","AD","AND",76177,"Europe",44.63289444
"570",2020-05-05,5,5,2020,2,0,"Andorra","AD","AND",76177,"Europe",43.32016225
"571",2020-05-04,4,5,2020,1,1,"Andorra","AD","AND",76177,"Europe",45.94562663
"572",2020-05-03,3,5,2020,1,1,"Andorra","AD","AND",76177,"Europe",56.44748415
"573",2020-05-02,2,5,2020,1,1,"Andorra","AD","AND",76177,"Europe",65.63660948
"574",2020-05-01,1,5,2020,2,0,"Andorra","AD","AND",76177,"Europe",82.70212794
"575",2020-04-30,30,4,2020,0,1,"Andorra","AD","AND",76177,"Europe",91.89125327
"576",2020-04-29,29,4,2020,0,1,"Andorra","AD","AND",76177,"Europe",110.26950392
"577",2020-04-28,28,4,2020,3,0,"Andorra","AD","AND",76177,"Europe",127.33502238
"578",2020-04-27,27,4,2020,7,0,"Andorra","AD","AND",76177,"Europe",133.89868333
"579",2020-04-26,26,4,2020,2,0,"Andorra","AD","AND",76177,"Europe",145.71327304
"580",2020-04-25,25,4,2020,7,3,"Andorra","AD","AND",76177,"Europe",170.65518464
"581",2020-04-24,24,4,2020,1,0,"Andorra","AD","AND",76177,"Europe",185.09523872
"582",2020-04-23,23,4,2020,6,0,"Andorra","AD","AND",76177,"Europe",208.72441813
"583",2020-04-22,22,4,2020,0,1,"Andorra","AD","AND",76177,"Europe",225.7899366
"584",2020-04-21,21,4,2020,4,0,"Andorra","AD","AND",76177,"Europe",250.7318482
"585",2020-04-20,20,4,2020,9,1,"Andorra","AD","AND",76177,"Europe",278.29922418
"586",2020-04-19,19,4,2020,8,0,"Andorra","AD","AND",76177,"Europe",312.4302611
"587",2020-04-18,18,4,2020,14,2,"Andorra","AD","AND",76177,"Europe",337.3721727
"588",2020-04-17,17,4,2020,9,0,"Andorra","AD","AND",76177,"Europe",333.43397613
"589",2020-04-16,16,4,2020,14,2,"Andorra","AD","AND",76177,"Europe",371.50320963
"590",2020-04-15,15,4,2020,13,2,"Andorra","AD","AND",76177,"Europe",371.50320963
"591",2020-04-14,14,4,2020,8,0,"Andorra","AD","AND",76177,"Europe",362.3140843
"592",2020-04-13,13,4,2020,16,1,"Andorra","AD","AND",76177,"Europe",399.07058561
"593",2020-04-12,12,4,2020,21,2,"Andorra","AD","AND",76177,"Europe",412.1979075
"594",2020-04-11,11,4,2020,18,1,"Andorra","AD","AND",76177,"Europe",438.4525513
"595",2020-04-10,10,4,2020,19,2,"Andorra","AD","AND",76177,"Europe",471.27085603
"596",2020-04-09,9,4,2020,19,1,"Andorra","AD","AND",76177,"Europe",493.58730325
"597",2020-04-08,8,4,2020,19,1,"Andorra","AD","AND",76177,"Europe",500.1509642
"598",2020-04-07,7,4,2020,25,3,"Andorra","AD","AND",76177,"Europe",515.90375048
"599",2020-04-06,6,4,2020,35,1,"Andorra","AD","AND",76177,"Europe",509.34008953
"600",2020-04-05,5,4,2020,27,1,"Andorra","AD","AND",76177,"Europe",496.21276763
"601",2020-04-04,4,4,2020,11,1,"Andorra","AD","AND",76177,"Europe",477.83451698
"602",2020-04-03,3,4,2020,38,1,"Andorra","AD","AND",76177,"Europe",463.3944629
"603",2020-04-02,2,4,2020,14,2,"Andorra","AD","AND",76177,"Europe",442.39074786
"604",2020-04-01,1,4,2020,6,4,"Andorra","AD","AND",76177,"Europe",475.2090526
"605",2020-03-31,31,3,2020,36,2,"Andorra","AD","AND",76177,"Europe",467.33265946
"606",2020-03-30,30,3,2020,26,2,"Andorra","AD","AND",76177,"Europe",431.88889035
"607",2020-03-29,29,3,2020,41,1,"Andorra","AD","AND",76177,"Europe",401.69604999
"608",2020-03-28,28,3,2020,43,0,"Andorra","AD","AND",76177,"Europe",349.18676241
"609",2020-03-27,27,3,2020,36,3,"Andorra","AD","AND",76177,"Europe",294.05201045
"610",2020-03-26,26,3,2020,24,0,"Andorra","AD","AND",76177,"Europe",NA
"611",2020-03-25,25,3,2020,31,0,"Andorra","AD","AND",76177,"Europe",NA
"612",2020-03-24,24,3,2020,20,0,"Andorra","AD","AND",76177,"Europe",NA
"613",2020-03-23,23,3,2020,25,0,"Andorra","AD","AND",76177,"Europe",NA
"614",2020-03-22,22,3,2020,13,0,"Andorra","AD","AND",76177,"Europe",NA
"615",2020-03-21,21,3,2020,0,0,"Andorra","AD","AND",76177,"Europe",NA
"616",2020-03-20,20,3,2020,22,0,"Andorra","AD","AND",76177,"Europe",NA
"617",2020-03-19,19,3,2020,39,0,"Andorra","AD","AND",76177,"Europe",NA
"618",2020-03-18,18,3,2020,0,0,"Andorra","AD","AND",76177,"Europe",NA
"619",2020-03-17,17,3,2020,9,0,"Andorra","AD","AND",76177,"Europe",NA
"620",2020-03-16,16,3,2020,3,0,"Andorra","AD","AND",76177,"Europe",NA
"621",2020-03-14,14,3,2020,1,0,"Andorra","AD","AND",76177,"Europe",NA
"622",2020-03-03,3,3,2020,1,0,"Andorra","AD","AND",76177,"Europe",NA
