"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"635",2020-07-15,15,7,2020,19,0,"Angola","AO","AGO",31825299,"Africa",0.75725919
"636",2020-07-14,14,7,2020,0,0,"Angola","AO","AGO",31825299,"Africa",0.72269549
"637",2020-07-13,13,7,2020,23,1,"Angola","AO","AGO",31825299,"Africa",0.75097488
"638",2020-07-12,12,7,2020,25,2,"Angola","AO","AGO",31825299,"Africa",0.75097488
"639",2020-07-11,11,7,2020,62,1,"Angola","AO","AGO",31825299,"Africa",0.77296996
"640",2020-07-10,10,7,2020,10,1,"Angola","AO","AGO",31825299,"Africa",0.62528871
"641",2020-07-09,9,7,2020,33,2,"Angola","AO","AGO",31825299,"Africa",0.6190044
"642",2020-07-08,8,7,2020,0,0,"Angola","AO","AGO",31825299,"Africa",0.52473977
"643",2020-07-07,7,7,2020,7,0,"Angola","AO","AGO",31825299,"Africa",0.53416623
"644",2020-07-06,6,7,2020,0,0,"Angola","AO","AGO",31825299,"Africa",0.53416623
"645",2020-07-05,5,7,2020,18,1,"Angola","AO","AGO",31825299,"Africa",0.54673485
"646",2020-07-04,4,7,2020,13,1,"Angola","AO","AGO",31825299,"Africa",0.509029
"647",2020-07-03,3,7,2020,24,2,"Angola","AO","AGO",31825299,"Africa",0.50274469
"648",2020-07-02,2,7,2020,7,2,"Angola","AO","AGO",31825299,"Africa",0.42733298
"649",2020-07-01,1,7,2020,8,2,"Angola","AO","AGO",31825299,"Africa",0.44618591
"650",2020-06-30,30,6,2020,9,0,"Angola","AO","AGO",31825299,"Africa",0.42104868
"651",2020-06-29,29,6,2020,23,1,"Angola","AO","AGO",31825299,"Africa",0.3990536
"652",2020-06-28,28,6,2020,32,0,"Angola","AO","AGO",31825299,"Africa",0.33306836
"653",2020-06-27,27,6,2020,15,0,"Angola","AO","AGO",31825299,"Africa",0.25765665
"654",2020-06-26,26,6,2020,8,0,"Angola","AO","AGO",31825299,"Africa",0.24823019
"655",2020-06-25,25,6,2020,3,0,"Angola","AO","AGO",31825299,"Africa",0.23880373
"656",2020-06-24,24,6,2020,3,1,"Angola","AO","AGO",31825299,"Africa",0.28279389
"657",2020-06-23,23,6,2020,7,0,"Angola","AO","AGO",31825299,"Africa",0.28593604
"658",2020-06-22,22,6,2020,4,1,"Angola","AO","AGO",31825299,"Africa",0.26708312
"659",2020-06-21,21,6,2020,6,0,"Angola","AO","AGO",31825299,"Africa",0.27022527
"660",2020-06-20,20,6,2020,11,1,"Angola","AO","AGO",31825299,"Africa",0.25137234
"661",2020-06-19,19,6,2020,0,0,"Angola","AO","AGO",31825299,"Africa",0.21680865
"662",2020-06-18,18,6,2020,13,1,"Angola","AO","AGO",31825299,"Africa",0.21680865
"663",2020-06-17,17,6,2020,0,0,"Angola","AO","AGO",31825299,"Africa",0.17596064
"664",2020-06-16,16,6,2020,2,0,"Angola","AO","AGO",31825299,"Africa",0.17596064
"665",2020-06-15,15,6,2020,2,0,"Angola","AO","AGO",31825299,"Africa",0.16967633
"666",2020-06-14,14,6,2020,8,1,"Angola","AO","AGO",31825299,"Africa",0.16967633
"667",2020-06-13,13,6,2020,12,0,"Angola","AO","AGO",31825299,"Africa",0.16653418
"668",2020-06-12,12,6,2020,5,1,"Angola","AO","AGO",31825299,"Africa",0.14139694
"669",2020-06-11,11,6,2020,17,0,"Angola","AO","AGO",31825299,"Africa",0.13197048
"670",2020-06-10,10,6,2020,4,0,"Angola","AO","AGO",31825299,"Africa",0.07855386
"671",2020-06-09,9,6,2020,1,0,"Angola","AO","AGO",31825299,"Africa",0.07226955
