"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"851",2020-08-04,4,8,2020,0,0,"Anguilla","AI","AIA",14872,"America",0
"852",2020-08-03,3,8,2020,0,0,"Anguilla","AI","AIA",14872,"America",0
"853",2020-08-02,2,8,2020,0,0,"Anguilla","AI","AIA",14872,"America",0
"854",2020-08-01,1,8,2020,0,0,"Anguilla","AI","AIA",14872,"America",0
"855",2020-07-31,31,7,2020,0,0,"Anguilla","AI","AIA",14872,"America",0
"856",2020-07-30,30,7,2020,0,0,"Anguilla","AI","AIA",14872,"America",0
"857",2020-07-29,29,7,2020,0,0,"Anguilla","AI","AIA",14872,"America",0
"858",2020-07-28,28,7,2020,0,0,"Anguilla","AI","AIA",14872,"America",0
"859",2020-07-27,27,7,2020,0,0,"Anguilla","AI","AIA",14872,"America",0
"860",2020-07-26,26,7,2020,0,0,"Anguilla","AI","AIA",14872,"America",0
"861",2020-07-25,25,7,2020,0,0,"Anguilla","AI","AIA",14872,"America",0
"862",2020-07-24,24,7,2020,0,0,"Anguilla","AI","AIA",14872,"America",0
"863",2020-07-23,23,7,2020,0,0,"Anguilla","AI","AIA",14872,"America",0
"864",2020-07-22,22,7,2020,0,0,"Anguilla","AI","AIA",14872,"America",0
"865",2020-07-21,21,7,2020,0,0,"Anguilla","AI","AIA",14872,"America",0
"866",2020-07-20,20,7,2020,0,0,"Anguilla","AI","AIA",14872,"America",0
"867",2020-07-19,19,7,2020,0,0,"Anguilla","AI","AIA",14872,"America",0
"868",2020-07-18,18,7,2020,0,0,"Anguilla","AI","AIA",14872,"America",0
"869",2020-07-17,17,7,2020,0,0,"Anguilla","AI","AIA",14872,"America",0
"870",2020-07-16,16,7,2020,0,0,"Anguilla","AI","AIA",14872,"America",0
"871",2020-07-15,15,7,2020,0,0,"Anguilla","AI","AIA",14872,"America",0
"872",2020-07-14,14,7,2020,0,0,"Anguilla","AI","AIA",14872,"America",0
"873",2020-07-13,13,7,2020,0,0,"Anguilla","AI","AIA",14872,"America",0
