"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"1271",2020-08-04,4,8,2020,0,0,"Armenia","AM","ARM",2957728,"Europe",130.09986043
"1272",2020-08-03,3,8,2020,52,8,"Armenia","AM","ARM",2957728,"Europe",139.3299181
"1273",2020-08-02,2,8,2020,209,5,"Armenia","AM","ARM",2957728,"Europe",141.08802432
"1274",2020-08-01,1,8,2020,291,11,"Armenia","AM","ARM",2957728,"Europe",148.05282974
"1275",2020-07-31,31,7,2020,354,10,"Armenia","AM","ARM",2957728,"Europe",153.8004847
"1276",2020-07-30,30,7,2020,259,5,"Armenia","AM","ARM",2957728,"Europe",156.77574138
"1277",2020-07-29,29,7,2020,308,4,"Armenia","AM","ARM",2957728,"Europe",166.74961322
"1278",2020-07-28,28,7,2020,239,8,"Armenia","AM","ARM",2957728,"Europe",173.74822837
"1279",2020-07-27,27,7,2020,73,6,"Armenia","AM","ARM",2957728,"Europe",177.12920187
"1280",2020-07-26,26,7,2020,321,5,"Armenia","AM","ARM",2957728,"Europe",180.81446299
"1281",2020-07-25,25,7,2020,383,8,"Armenia","AM","ARM",2957728,"Europe",189.46975516
"1282",2020-07-24,24,7,2020,451,4,"Armenia","AM","ARM",2957728,"Europe",193.05358708
"1283",2020-07-23,23,7,2020,469,10,"Armenia","AM","ARM",2957728,"Europe",196.63741899
"1284",2020-07-22,22,7,2020,439,16,"Armenia","AM","ARM",2957728,"Europe",198.56457389
"1285",2020-07-21,21,7,2020,273,12,"Armenia","AM","ARM",2957728,"Europe",201.81030845
"1286",2020-07-20,20,7,2020,104,9,"Armenia","AM","ARM",2957728,"Europe",204.37984832
"1287",2020-07-19,19,7,2020,415,10,"Armenia","AM","ARM",2957728,"Europe",212.02084844
"1288",2020-07-18,18,7,2020,461,11,"Armenia","AM","ARM",2957728,"Europe",221.85948133
"1289",2020-07-17,17,7,2020,442,13,"Armenia","AM","ARM",2957728,"Europe",225.8828398
"1290",2020-07-16,16,7,2020,554,15,"Armenia","AM","ARM",2957728,"Europe",233.32098151
"1291",2020-07-15,15,7,2020,515,11,"Armenia","AM","ARM",2957728,"Europe",234.63956118
"1292",2020-07-14,14,7,2020,339,8,"Armenia","AM","ARM",2957728,"Europe",234.91003906
"1293",2020-07-13,13,7,2020,182,8,"Armenia","AM","ARM",2957728,"Europe",237.47957892
"1294",2020-07-12,12,7,2020,577,6,"Armenia","AM","ARM",2957728,"Europe",247.62249943
"1295",2020-07-11,11,7,2020,489,13,"Armenia","AM","ARM",2957728,"Europe",252.9982473
"1296",2020-07-10,10,7,2020,557,11,"Armenia","AM","ARM",2957728,"Europe",258.84733147
"1297",2020-07-09,9,7,2020,526,14,"Armenia","AM","ARM",2957728,"Europe",265.67689794
"1298",2020-07-08,8,7,2020,535,18,"Armenia","AM","ARM",2957728,"Europe",273.96028303
"1299",2020-07-07,7,7,2020,349,12,"Armenia","AM","ARM",2957728,"Europe",279.9107964
"1300",2020-07-06,6,7,2020,330,7,"Armenia","AM","ARM",2957728,"Europe",282.24366811
"1301",2020-07-05,5,7,2020,706,7,"Armenia","AM","ARM",2957728,"Europe",281.90557076
"1302",2020-07-04,4,7,2020,580,8,"Armenia","AM","ARM",2957728,"Europe",276.96934945
"1303",2020-07-03,3,7,2020,662,10,"Armenia","AM","ARM",2957728,"Europe",275.98886713
"1304",2020-07-02,2,7,2020,593,6,"Armenia","AM","ARM",2957728,"Europe",269.12549092
"1305",2020-07-01,1,7,2020,523,10,"Armenia","AM","ARM",2957728,"Europe",271.55979184
"1306",2020-06-30,30,6,2020,415,10,"Armenia","AM","ARM",2957728,"Europe",272.26979628
"1307",2020-06-29,29,6,2020,482,7,"Armenia","AM","ARM",2957728,"Europe",272.60789363
"1308",2020-06-28,28,6,2020,736,6,"Armenia","AM","ARM",2957728,"Europe",269.73406615
"1309",2020-06-27,27,6,2020,662,10,"Armenia","AM","ARM",2957728,"Europe",267.26595549
"1310",2020-06-26,26,6,2020,759,13,"Armenia","AM","ARM",2957728,"Europe",269.32834933
"1311",2020-06-25,25,6,2020,771,11,"Armenia","AM","ARM",2957728,"Europe",264.35831828
"1312",2020-06-24,24,6,2020,711,14,"Armenia","AM","ARM",2957728,"Europe",257.42732259
"1313",2020-06-23,23,6,2020,418,12,"Armenia","AM","ARM",2957728,"Europe",247.85916758
"1314",2020-06-22,22,6,2020,320,10,"Armenia","AM","ARM",2957728,"Europe",245.56010559
"1315",2020-06-21,21,6,2020,560,18,"Armenia","AM","ARM",2957728,"Europe",241.33388871
"1316",2020-06-20,20,6,2020,551,13,"Armenia","AM","ARM",2957728,"Europe",248.29869413
"1317",2020-06-19,19,6,2020,459,10,"Armenia","AM","ARM",2957728,"Europe",248.16345519
