"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"1385",2020-07-12,12,7,2020,194,1,"Australia","AU","AUS",25203200,"Oceania",7.58633824
"1386",2020-07-11,11,7,2020,300,0,"Australia","AU","AUS",25203200,"Oceania",6.99911122
"1387",2020-07-10,10,7,2020,173,0,"Australia","AU","AUS",25203200,"Oceania",5.95559294
"1388",2020-07-09,9,7,2020,131,0,"Australia","AU","AUS",25203200,"Oceania",5.41597892
"1389",2020-07-08,8,7,2020,169,0,"Australia","AU","AUS",25203200,"Oceania",5.01126841
"1390",2020-07-07,7,7,2020,137,2,"Australia","AU","AUS",25203200,"Oceania",4.41213814
"1391",2020-07-06,6,7,2020,87,0,"Australia","AU","AUS",25203200,"Oceania",3.92013713
"1392",2020-07-05,5,7,2020,107,0,"Australia","AU","AUS",25203200,"Oceania",3.67413662
"1393",2020-07-04,4,7,2020,254,0,"Australia","AU","AUS",25203200,"Oceania",3.35671661
"1394",2020-07-03,3,7,2020,81,0,"Australia","AU","AUS",25203200,"Oceania",2.42032758
"1395",2020-07-02,2,7,2020,86,0,"Australia","AU","AUS",25203200,"Oceania",2.18226257
"1396",2020-07-01,1,7,2020,67,0,"Australia","AU","AUS",25203200,"Oceania",1.93229431
"1397",2020-06-30,30,6,2020,81,0,"Australia","AU","AUS",25203200,"Oceania",1.71406805
"1398",2020-06-29,29,6,2020,45,0,"Australia","AU","AUS",25203200,"Oceania",1.45219655
"1399",2020-06-28,28,6,2020,46,0,"Australia","AU","AUS",25203200,"Oceania",1.34506729
"1400",2020-06-27,27,6,2020,37,0,"Australia","AU","AUS",25203200,"Oceania",1.21016379
"1401",2020-06-26,26,6,2020,37,1,"Australia","AU","AUS",25203200,"Oceania",1.08319578
"1402",2020-06-25,25,6,2020,29,1,"Australia","AU","AUS",25203200,"Oceania",0.97209878
"1403",2020-06-24,24,6,2020,18,0,"Australia","AU","AUS",25203200,"Oceania",0.89274378
"1404",2020-06-23,23,6,2020,13,0,"Australia","AU","AUS",25203200,"Oceania",0.82925978
"1405",2020-06-22,22,6,2020,25,0,"Australia","AU","AUS",25203200,"Oceania",0.79751778
"1406",2020-06-21,21,6,2020,27,0,"Australia","AU","AUS",25203200,"Oceania",0.71816277
"1407",2020-06-20,20,6,2020,18,0,"Australia","AU","AUS",25203200,"Oceania",0.62690452
"1408",2020-06-19,19,6,2020,21,0,"Australia","AU","AUS",25203200,"Oceania",0.59913027
"1409",2020-06-18,18,6,2020,23,0,"Australia","AU","AUS",25203200,"Oceania",0.55945277
"1410",2020-06-17,17,6,2020,12,0,"Australia","AU","AUS",25203200,"Oceania",0.49993652
"1411",2020-06-16,16,6,2020,15,0,"Australia","AU","AUS",25203200,"Oceania",0.51977527
"1412",2020-06-15,15,6,2020,18,0,"Australia","AU","AUS",25203200,"Oceania",0.49596877
"1413",2020-06-14,14,6,2020,12,0,"Australia","AU","AUS",25203200,"Oceania",0.46422676
"1414",2020-06-13,13,6,2020,5,0,"Australia","AU","AUS",25203200,"Oceania",0.46422676
"1415",2020-06-12,12,6,2020,9,0,"Australia","AU","AUS",25203200,"Oceania",0.53564627
"1416",2020-06-11,11,6,2020,9,0,"Australia","AU","AUS",25203200,"Oceania",0.54358177
"1417",2020-06-10,10,6,2020,2,0,"Australia","AU","AUS",25203200,"Oceania",0.53167852
"1418",2020-06-09,9,6,2020,5,0,"Australia","AU","AUS",25203200,"Oceania",0.58325927
"1419",2020-06-08,8,6,2020,5,0,"Australia","AU","AUS",25203200,"Oceania",0.59913027
"1420",2020-06-07,7,6,2020,4,0,"Australia","AU","AUS",25203200,"Oceania",0.59119477
"1421",2020-06-06,6,6,2020,11,0,"Australia","AU","AUS",25203200,"Oceania",0.61896902
"1422",2020-06-05,5,6,2020,11,0,"Australia","AU","AUS",25203200,"Oceania",0.63087227
"1423",2020-06-04,4,6,2020,8,0,"Australia","AU","AUS",25203200,"Oceania",0.59516252
"1424",2020-06-03,3,6,2020,17,0,"Australia","AU","AUS",25203200,"Oceania",0.60706577
"1425",2020-06-02,2,6,2020,9,0,"Australia","AU","AUS",25203200,"Oceania",0.57135602
"1426",2020-06-01,1,6,2020,10,0,"Australia","AU","AUS",25203200,"Oceania",0.59516252
"1427",2020-05-31,31,5,2020,12,0,"Australia","AU","AUS",25203200,"Oceania",0.59119477
"1428",2020-05-30,30,5,2020,23,0,"Australia","AU","AUS",25203200,"Oceania",0.61103352
"1429",2020-05-29,29,5,2020,11,0,"Australia","AU","AUS",25203200,"Oceania",0.63880777
"1430",2020-05-28,28,5,2020,6,0,"Australia","AU","AUS",25203200,"Oceania",0.65071102
"1431",2020-05-27,27,5,2020,15,0,"Australia","AU","AUS",25203200,"Oceania",0.67054977
"1432",2020-05-26,26,5,2020,9,0,"Australia","AU","AUS",25203200,"Oceania",0.67451752
"1433",2020-05-25,25,5,2020,3,0,"Australia","AU","AUS",25203200,"Oceania",0.66658202
"1434",2020-05-24,24,5,2020,11,1,"Australia","AU","AUS",25203200,"Oceania",0.70229177
"1435",2020-05-23,23,5,2020,14,1,"Australia","AU","AUS",25203200,"Oceania",0.71816277
"1436",2020-05-22,22,5,2020,2,0,"Australia","AU","AUS",25203200,"Oceania",0.73403377
"1437",2020-05-21,21,5,2020,11,1,"Australia","AU","AUS",25203200,"Oceania",0.80942103
"1438",2020-05-20,20,5,2020,8,0,"Australia","AU","AUS",25203200,"Oceania",0.86893728
"1439",2020-05-19,19,5,2020,15,1,"Australia","AU","AUS",25203200,"Oceania",0.93242128
"1440",2020-05-18,18,5,2020,9,0,"Australia","AU","AUS",25203200,"Oceania",0.96813103
"1441",2020-05-17,17,5,2020,17,0,"Australia","AU","AUS",25203200,"Oceania",1.00384078
"1442",2020-05-16,16,5,2020,30,0,"Australia","AU","AUS",25203200,"Oceania",0.99987303
"1443",2020-05-15,15,5,2020,14,0,"Australia","AU","AUS",25203200,"Oceania",0.90067928
"1444",2020-05-14,14,5,2020,11,1,"Australia","AU","AUS",25203200,"Oceania",0.90861478
"1445",2020-05-13,13,5,2020,16,0,"Australia","AU","AUS",25203200,"Oceania",0.89671153
"1446",2020-05-12,12,5,2020,7,0,"Australia","AU","AUS",25203200,"Oceania",0.88480828
"1447",2020-05-11,11,5,2020,12,0,"Australia","AU","AUS",25203200,"Oceania",0.90464703
"1448",2020-05-10,10,5,2020,15,0,"Australia","AU","AUS",25203200,"Oceania",0.89671153
"1449",2020-05-09,9,5,2020,18,0,"Australia","AU","AUS",25203200,"Oceania",0.90067928
"1450",2020-05-08,8,5,2020,21,0,"Australia","AU","AUS",25203200,"Oceania",0.90861478
"1451",2020-05-07,7,5,2020,26,1,"Australia","AU","AUS",25203200,"Oceania",0.87687278
"1452",2020-05-06,6,5,2020,24,1,"Australia","AU","AUS",25203200,"Oceania",0.80148553
"1453",2020-05-05,5,5,2020,24,0,"Australia","AU","AUS",25203200,"Oceania",0.79355003
"1454",2020-05-04,4,5,2020,18,2,"Australia","AU","AUS",25203200,"Oceania",0.74990477
"1455",2020-05-03,3,5,2020,16,0,"Australia","AU","AUS",25203200,"Oceania",0.78164678
"1456",2020-05-02,2,5,2020,5,1,"Australia","AU","AUS",25203200,"Oceania",0.92845353
"1457",2020-05-01,1,5,2020,16,2,"Australia","AU","AUS",25203200,"Oceania",1.05145378
"1458",2020-04-30,30,4,2020,8,2,"Australia","AU","AUS",25203200,"Oceania",1.14271204
"1459",2020-04-29,29,4,2020,13,4,"Australia","AU","AUS",25203200,"Oceania",1.27761554
"1460",2020-04-28,28,4,2020,12,1,"Australia","AU","AUS",25203200,"Oceania",1.4244223
"1461",2020-04-27,27,4,2020,10,2,"Australia","AU","AUS",25203200,"Oceania",1.5513903
"1462",2020-04-26,26,4,2020,16,2,"Australia","AU","AUS",25203200,"Oceania",1.64264855
"1463",2020-04-25,25,4,2020,20,4,"Australia","AU","AUS",25203200,"Oceania",1.78151981
"1464",2020-04-24,24,4,2020,13,1,"Australia","AU","AUS",25203200,"Oceania",2.04339132
"1465",2020-04-23,23,4,2020,7,0,"Australia","AU","AUS",25203200,"Oceania",2.38858558
"1466",2020-04-22,22,4,2020,22,3,"Australia","AU","AUS",25203200,"Oceania",2.74171534
"1467",2020-04-21,21,4,2020,13,1,"Australia","AU","AUS",25203200,"Oceania",3.09881285
"1468",2020-04-20,20,4,2020,26,1,"Australia","AU","AUS",25203200,"Oceania",3.44400711
"1469",2020-04-19,19,4,2020,53,2,"Australia","AU","AUS",25203200,"Oceania",3.56700736
"1470",2020-04-18,18,4,2020,36,4,"Australia","AU","AUS",25203200,"Oceania",3.90823388
"1471",2020-04-17,17,4,2020,39,0,"Australia","AU","AUS",25203200,"Oceania",5.05094591
"1472",2020-04-16,16,4,2020,42,2,"Australia","AU","AUS",25203200,"Oceania",5.88020569
"1473",2020-04-15,15,4,2020,50,0,"Australia","AU","AUS",25203200,"Oceania",6.78088497
