"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"1613",2020-07-15,15,7,2020,201,1,"Austria","AT","AUT",8858775,"Europe",14.48281506
"1614",2020-07-14,14,7,2020,12,0,"Austria","AT","AUT",8858775,"Europe",13.46687324
"1615",2020-07-13,13,7,2020,52,2,"Austria","AT","AUT",8858775,"Europe",13.79423227
"1616",2020-07-12,12,7,2020,108,0,"Austria","AT","AUT",8858775,"Europe",13.91840294
"1617",2020-07-11,11,7,2020,74,0,"Austria","AT","AUT",8858775,"Europe",13.42172027
"1618",2020-07-10,10,7,2020,97,0,"Austria","AT","AUT",8858775,"Europe",13.34270257
"1619",2020-07-09,9,7,2020,101,0,"Austria","AT","AUT",8858775,"Europe",12.77829045
"1620",2020-07-08,8,7,2020,89,0,"Austria","AT","AUT",8858775,"Europe",12.01068997
"1621",2020-07-07,7,7,2020,57,0,"Austria","AT","AUT",8858775,"Europe",11.3559719
"1622",2020-07-06,6,7,2020,73,1,"Austria","AT","AUT",8858775,"Europe",11.10763057
"1623",2020-07-05,5,7,2020,123,0,"Austria","AT","AUT",8858775,"Europe",10.71254208
"1624",2020-07-04,4,7,2020,121,0,"Austria","AT","AUT",8858775,"Europe",10.02395929
"1625",2020-07-03,3,7,2020,138,0,"Austria","AT","AUT",8858775,"Europe",8.99672923
"1626",2020-07-02,2,7,2020,37,0,"Austria","AT","AUT",8858775,"Europe",7.89048147
"1627",2020-07-01,1,7,2020,111,2,"Austria","AT","AUT",8858775,"Europe",7.66471662
"1628",2020-06-30,30,6,2020,41,1,"Austria","AT","AUT",8858775,"Europe",6.78423371
"1629",2020-06-29,29,6,2020,63,2,"Austria","AT","AUT",8858775,"Europe",6.62619832
"1630",2020-06-28,28,6,2020,64,2,"Austria","AT","AUT",8858775,"Europe",6.18595686
"1631",2020-06-27,27,6,2020,67,0,"Austria","AT","AUT",8858775,"Europe",5.68927419
"1632",2020-06-26,26,6,2020,47,5,"Austria","AT","AUT",8858775,"Europe",5.27160922
"1633",2020-06-25,25,6,2020,33,0,"Austria","AT","AUT",8858775,"Europe",5.05713262
"1634",2020-06-24,24,6,2020,31,3,"Austria","AT","AUT",8858775,"Europe",5.06842086
"1635",2020-06-23,23,6,2020,35,0,"Austria","AT","AUT",8858775,"Europe",4.8652325
"1636",2020-06-22,22,6,2020,38,2,"Austria","AT","AUT",8858775,"Europe",4.7071971
"1637",2020-06-21,21,6,2020,62,0,"Austria","AT","AUT",8858775,"Europe",4.79750304
"1638",2020-06-20,20,6,2020,30,0,"Austria","AT","AUT",8858775,"Europe",4.31210862
"1639",2020-06-19,19,6,2020,40,1,"Austria","AT","AUT",8858775,"Europe",4.67333237
"1640",2020-06-18,18,6,2020,17,6,"Austria","AT","AUT",8858775,"Europe",4.6281794
"1641",2020-06-17,17,6,2020,33,3,"Austria","AT","AUT",8858775,"Europe",4.7862148
"1642",2020-06-16,16,6,2020,27,1,"Austria","AT","AUT",8858775,"Europe",4.53787346
"1643",2020-06-15,15,6,2020,24,0,"Austria","AT","AUT",8858775,"Europe",4.47014401
"1644",2020-06-14,14,6,2020,20,2,"Austria","AT","AUT",8858775,"Europe",4.24437916
"1645",2020-06-13,13,6,2020,30,1,"Austria","AT","AUT",8858775,"Europe",4.51529698
"1646",2020-06-12,12,6,2020,28,1,"Austria","AT","AUT",8858775,"Europe",4.75235007
"1647",2020-06-11,11,6,2020,34,1,"Austria","AT","AUT",8858775,"Europe",4.75235007
"1648",2020-06-10,10,6,2020,13,0,"Austria","AT","AUT",8858775,"Europe",4.57173819
"1649",2020-06-09,9,6,2020,21,0,"Austria","AT","AUT",8858775,"Europe",4.85394425
"1650",2020-06-08,8,6,2020,46,0,"Austria","AT","AUT",8858775,"Europe",4.84265601
"1651",2020-06-07,7,6,2020,19,0,"Austria","AT","AUT",8858775,"Europe",4.68462062
"1652",2020-06-06,6,6,2020,62,2,"Austria","AT","AUT",8858775,"Europe",4.98940316
"1653",2020-06-05,5,6,2020,36,0,"Austria","AT","AUT",8858775,"Europe",4.61689116
"1654",2020-06-04,4,6,2020,31,1,"Austria","AT","AUT",8858775,"Europe",4.85394425
"1655",2020-06-03,3,6,2020,11,1,"Austria","AT","AUT",8858775,"Europe",4.7071971
"1656",2020-06-02,2,6,2020,21,0,"Austria","AT","AUT",8858775,"Europe",5.46350935
"1657",2020-06-01,1,6,2020,4,0,"Austria","AT","AUT",8858775,"Europe",5.50866232
"1658",2020-05-31,31,5,2020,44,0,"Austria","AT","AUT",8858775,"Europe",5.62154474
