"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"1775",2020-07-12,12,7,2020,531,6,"Azerbaijan","AZ","AZE",10047719,"Europe",75.94758572
"1776",2020-07-11,11,7,2020,526,8,"Azerbaijan","AZ","AZE",10047719,"Europe",75.84806064
"1777",2020-07-10,10,7,2020,548,10,"Azerbaijan","AZ","AZE",10047719,"Europe",75.75848807
"1778",2020-07-09,9,7,2020,542,9,"Azerbaijan","AZ","AZE",10047719,"Europe",75.74853556
"1779",2020-07-08,8,7,2020,537,7,"Azerbaijan","AZ","AZE",10047719,"Europe",76.22625593
"1780",2020-07-07,7,7,2020,513,8,"Azerbaijan","AZ","AZE",10047719,"Europe",75.93763321
"1781",2020-07-06,6,7,2020,523,9,"Azerbaijan","AZ","AZE",10047719,"Europe",75.58929544
"1782",2020-07-05,5,7,2020,534,6,"Azerbaijan","AZ","AZE",10047719,"Europe",75.2708152
"1783",2020-07-04,4,7,2020,583,7,"Azerbaijan","AZ","AZE",10047719,"Europe",79.00300556
"1784",2020-07-03,3,7,2020,572,8,"Azerbaijan","AZ","AZE",10047719,"Europe",73.20069361
"1785",2020-07-02,2,7,2020,588,7,"Azerbaijan","AZ","AZE",10047719,"Europe",70.87180683
"1786",2020-07-01,1,7,2020,556,7,"Azerbaijan","AZ","AZE",10047719,"Europe",68.29410735
"1787",2020-06-30,30,6,2020,544,8,"Azerbaijan","AZ","AZE",10047719,"Europe",66.12446069
"1788",2020-06-29,29,6,2020,534,5,"Azerbaijan","AZ","AZE",10047719,"Europe",64.36286684
"1789",2020-06-28,28,6,2020,521,6,"Azerbaijan","AZ","AZE",10047719,"Europe",62.89984821
"1790",2020-06-27,27,6,2020,517,7,"Azerbaijan","AZ","AZE",10047719,"Europe",61.21787443
"1791",2020-06-26,26,6,2020,547,6,"Azerbaijan","AZ","AZE",10047719,"Europe",59.41647054
"1792",2020-06-25,25,6,2020,590,7,"Azerbaijan","AZ","AZE",10047719,"Europe",57.47573156
"1793",2020-06-24,24,6,2020,508,6,"Azerbaijan","AZ","AZE",10047719,"Europe",54.97765214
"1794",2020-06-23,23,6,2020,478,7,"Azerbaijan","AZ","AZE",10047719,"Europe",53.05681817
"1795",2020-06-22,22,6,2020,491,6,"Azerbaijan","AZ","AZE",10047719,"Europe",51.51417949
"1796",2020-06-21,21,6,2020,909,9,"Azerbaijan","AZ","AZE",10047719,"Europe",49.75258564
"1797",2020-06-20,20,6,2020,0,0,"Azerbaijan","AZ","AZE",10047719,"Europe",44.47775659
"1798",2020-06-19,19,6,2020,338,6,"Azerbaijan","AZ","AZE",10047719,"Europe",47.84170417
"1799",2020-06-18,18,6,2020,329,7,"Azerbaijan","AZ","AZE",10047719,"Europe",47.08531359
"1800",2020-06-17,17,6,2020,338,4,"Azerbaijan","AZ","AZE",10047719,"Europe",47.04550356
"1801",2020-06-16,16,6,2020,367,3,"Azerbaijan","AZ","AZE",10047719,"Europe",46.39859057
"1802",2020-06-15,15,6,2020,387,4,"Azerbaijan","AZ","AZE",10047719,"Europe",44.41804155
"1803",2020-06-14,14,6,2020,352,2,"Azerbaijan","AZ","AZE",10047719,"Europe",43.03464299
"1804",2020-06-13,13,6,2020,336,5,"Azerbaijan","AZ","AZE",10047719,"Europe",42.08915476
"1805",2020-06-12,12,6,2020,352,6,"Azerbaijan","AZ","AZE",10047719,"Europe",41.03418895
"1806",2020-06-11,11,6,2020,339,4,"Azerbaijan","AZ","AZE",10047719,"Europe",39.43183523
"1807",2020-06-10,10,6,2020,315,5,"Azerbaijan","AZ","AZE",10047719,"Europe",37.7000989
"1808",2020-06-09,9,6,2020,323,5,"Azerbaijan","AZ","AZE",10047719,"Europe",35.87879
"1809",2020-06-08,8,6,2020,314,4,"Azerbaijan","AZ","AZE",10047719,"Europe",34.14705367
"1810",2020-06-07,7,6,2020,379,2,"Azerbaijan","AZ","AZE",10047719,"Europe",32.41531735
"1811",2020-06-06,6,6,2020,338,4,"Azerbaijan","AZ","AZE",10047719,"Europe",29.90728542
"1812",2020-06-05,5,6,2020,262,2,"Azerbaijan","AZ","AZE",10047719,"Europe",27.59830365
