"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"2119",2020-07-24,24,7,2020,55,0,"Bahamas","BS","BHS",389486,"America",42.87702254
"2120",2020-07-23,23,7,2020,25,0,"Bahamas","BS","BHS",389486,"America",29.01259609
"2121",2020-07-22,22,7,2020,20,0,"Bahamas","BS","BHS",389486,"America",23.10737742
"2122",2020-07-21,21,7,2020,21,0,"Bahamas","BS","BHS",389486,"America",17.97240466
"2123",2020-07-20,20,7,2020,15,0,"Bahamas","BS","BHS",389486,"America",12.58068326
"2124",2020-07-19,19,7,2020,9,0,"Bahamas","BS","BHS",389486,"America",8.72945369
"2125",2020-07-18,18,7,2020,5,0,"Bahamas","BS","BHS",389486,"America",6.41871595
"2126",2020-07-17,17,7,2020,5,0,"Bahamas","BS","BHS",389486,"America",5.13497276
"2127",2020-07-16,16,7,2020,3,0,"Bahamas","BS","BHS",389486,"America",3.85122957
"2128",2020-07-15,15,7,2020,3,0,"Bahamas","BS","BHS",389486,"America",3.08098366
"2129",2020-07-14,14,7,2020,2,0,"Bahamas","BS","BHS",389486,"America",2.31073774
"2130",2020-07-13,13,7,2020,0,0,"Bahamas","BS","BHS",389486,"America",1.79724047
"2131",2020-07-12,12,7,2020,3,0,"Bahamas","BS","BHS",389486,"America",1.79724047
"2132",2020-07-11,11,7,2020,1,0,"Bahamas","BS","BHS",389486,"America",1.02699455
"2133",2020-07-10,10,7,2020,1,0,"Bahamas","BS","BHS",389486,"America",0.77024591
"2134",2020-07-09,9,7,2020,2,0,"Bahamas","BS","BHS",389486,"America",0.51349728
"2135",2020-07-08,8,7,2020,0,0,"Bahamas","BS","BHS",389486,"America",0
"2136",2020-07-07,7,7,2020,0,0,"Bahamas","BS","BHS",389486,"America",0
"2137",2020-07-06,6,7,2020,0,0,"Bahamas","BS","BHS",389486,"America",0
"2138",2020-07-05,5,7,2020,0,0,"Bahamas","BS","BHS",389486,"America",0
"2139",2020-07-04,4,7,2020,0,0,"Bahamas","BS","BHS",389486,"America",0
"2140",2020-07-03,3,7,2020,0,0,"Bahamas","BS","BHS",389486,"America",0
"2141",2020-07-02,2,7,2020,0,0,"Bahamas","BS","BHS",389486,"America",0
"2142",2020-07-01,1,7,2020,0,0,"Bahamas","BS","BHS",389486,"America",0
"2143",2020-06-30,30,6,2020,0,0,"Bahamas","BS","BHS",389486,"America",0
"2144",2020-06-29,29,6,2020,0,0,"Bahamas","BS","BHS",389486,"America",0.25674864
"2145",2020-06-28,28,6,2020,0,0,"Bahamas","BS","BHS",389486,"America",0.25674864
"2146",2020-06-27,27,6,2020,0,0,"Bahamas","BS","BHS",389486,"America",0.25674864
"2147",2020-06-26,26,6,2020,0,0,"Bahamas","BS","BHS",389486,"America",0.25674864
"2148",2020-06-25,25,6,2020,0,0,"Bahamas","BS","BHS",389486,"America",0.25674864
"2149",2020-06-24,24,6,2020,0,0,"Bahamas","BS","BHS",389486,"America",0.25674864
"2150",2020-06-23,23,6,2020,0,0,"Bahamas","BS","BHS",389486,"America",0.25674864
"2151",2020-06-22,22,6,2020,0,0,"Bahamas","BS","BHS",389486,"America",0.25674864
"2152",2020-06-21,21,6,2020,0,0,"Bahamas","BS","BHS",389486,"America",0.25674864
"2153",2020-06-20,20,6,2020,0,0,"Bahamas","BS","BHS",389486,"America",0.51349728
"2154",2020-06-19,19,6,2020,0,0,"Bahamas","BS","BHS",389486,"America",0.51349728
"2155",2020-06-18,18,6,2020,0,0,"Bahamas","BS","BHS",389486,"America",0.51349728
"2156",2020-06-17,17,6,2020,0,0,"Bahamas","BS","BHS",389486,"America",0.51349728
"2157",2020-06-16,16,6,2020,1,0,"Bahamas","BS","BHS",389486,"America",0.51349728
"2158",2020-06-15,15,6,2020,0,0,"Bahamas","BS","BHS",389486,"America",0.25674864
"2159",2020-06-14,14,6,2020,0,0,"Bahamas","BS","BHS",389486,"America",0.25674864
"2160",2020-06-13,13,6,2020,0,0,"Bahamas","BS","BHS",389486,"America",0.25674864
"2161",2020-06-12,12,6,2020,0,0,"Bahamas","BS","BHS",389486,"America",0.51349728
"2162",2020-06-11,11,6,2020,0,0,"Bahamas","BS","BHS",389486,"America",0.77024591
"2163",2020-06-10,10,6,2020,0,0,"Bahamas","BS","BHS",389486,"America",0.77024591
"2164",2020-06-09,9,6,2020,0,0,"Bahamas","BS","BHS",389486,"America",0.77024591
"2165",2020-06-08,8,6,2020,0,0,"Bahamas","BS","BHS",389486,"America",0.77024591
"2166",2020-06-07,7,6,2020,1,0,"Bahamas","BS","BHS",389486,"America",0.77024591
"2167",2020-06-06,6,6,2020,0,0,"Bahamas","BS","BHS",389486,"America",1.28374319
"2168",2020-06-05,5,6,2020,0,0,"Bahamas","BS","BHS",389486,"America",1.28374319
"2169",2020-06-04,4,6,2020,0,0,"Bahamas","BS","BHS",389486,"America",1.28374319
"2170",2020-06-03,3,6,2020,0,0,"Bahamas","BS","BHS",389486,"America",1.54049183
"2171",2020-06-02,2,6,2020,0,0,"Bahamas","BS","BHS",389486,"America",1.54049183
"2172",2020-06-01,1,6,2020,0,0,"Bahamas","BS","BHS",389486,"America",1.54049183
"2173",2020-05-31,31,5,2020,0,0,"Bahamas","BS","BHS",389486,"America",1.54049183
"2174",2020-05-30,30,5,2020,1,0,"Bahamas","BS","BHS",389486,"America",1.54049183
"2175",2020-05-29,29,5,2020,1,0,"Bahamas","BS","BHS",389486,"America",1.28374319
"2176",2020-05-28,28,5,2020,0,0,"Bahamas","BS","BHS",389486,"America",1.54049183
"2177",2020-05-27,27,5,2020,0,0,"Bahamas","BS","BHS",389486,"America",1.79724047
"2178",2020-05-26,26,5,2020,0,0,"Bahamas","BS","BHS",389486,"America",1.79724047
"2179",2020-05-25,25,5,2020,0,0,"Bahamas","BS","BHS",389486,"America",2.0539891
"2180",2020-05-24,24,5,2020,3,0,"Bahamas","BS","BHS",389486,"America",2.0539891
"2181",2020-05-23,23,5,2020,0,0,"Bahamas","BS","BHS",389486,"America",1.28374319
"2182",2020-05-22,22,5,2020,0,0,"Bahamas","BS","BHS",389486,"America",1.28374319
"2183",2020-05-21,21,5,2020,1,0,"Bahamas","BS","BHS",389486,"America",1.28374319
"2184",2020-05-20,20,5,2020,0,0,"Bahamas","BS","BHS",389486,"America",1.79724047
"2185",2020-05-19,19,5,2020,0,0,"Bahamas","BS","BHS",389486,"America",3.33773229
"2186",2020-05-18,18,5,2020,0,0,"Bahamas","BS","BHS",389486,"America",3.33773229
"2187",2020-05-17,17,5,2020,0,0,"Bahamas","BS","BHS",389486,"America",3.33773229
"2188",2020-05-16,16,5,2020,0,0,"Bahamas","BS","BHS",389486,"America",3.59448093
"2189",2020-05-15,15,5,2020,2,0,"Bahamas","BS","BHS",389486,"America",3.85122957
"2190",2020-05-14,14,5,2020,1,0,"Bahamas","BS","BHS",389486,"America",3.59448093
"2191",2020-05-13,13,5,2020,0,0,"Bahamas","BS","BHS",389486,"America",3.33773229
"2192",2020-05-12,12,5,2020,1,0,"Bahamas","BS","BHS",389486,"America",3.33773229
"2193",2020-05-11,11,5,2020,0,0,"Bahamas","BS","BHS",389486,"America",3.08098366
"2194",2020-05-10,10,5,2020,0,0,"Bahamas","BS","BHS",389486,"America",3.59448093
"2195",2020-05-09,9,5,2020,0,0,"Bahamas","BS","BHS",389486,"America",4.87822412
"2196",2020-05-08,8,5,2020,0,0,"Bahamas","BS","BHS",389486,"America",5.13497276
"2197",2020-05-07,7,5,2020,3,0,"Bahamas","BS","BHS",389486,"America",5.64847003
"2198",2020-05-06,6,5,2020,6,0,"Bahamas","BS","BHS",389486,"America",6.16196731
"2199",2020-05-05,5,5,2020,0,0,"Bahamas","BS","BHS",389486,"America",4.87822412
"2200",2020-05-04,4,5,2020,0,0,"Bahamas","BS","BHS",389486,"America",5.90521867
"2201",2020-05-03,3,5,2020,1,0,"Bahamas","BS","BHS",389486,"America",6.41871595
"2202",2020-05-02,2,5,2020,1,0,"Bahamas","BS","BHS",389486,"America",6.93221322
"2203",2020-05-01,1,5,2020,1,0,"Bahamas","BS","BHS",389486,"America",6.93221322
"2204",2020-04-30,30,4,2020,0,0,"Bahamas","BS","BHS",389486,"America",6.93221322
"2205",2020-04-29,29,4,2020,0,0,"Bahamas","BS","BHS",389486,"America",7.95920778
"2206",2020-04-28,28,4,2020,0,0,"Bahamas","BS","BHS",389486,"America",7.95920778
"2207",2020-04-27,27,4,2020,2,0,"Bahamas","BS","BHS",389486,"America",8.47270505
"2208",2020-04-26,26,4,2020,5,0,"Bahamas","BS","BHS",389486,"America",8.21595641
"2209",2020-04-25,25,4,2020,1,0,"Bahamas","BS","BHS",389486,"America",7.95920778
"2210",2020-04-24,24,4,2020,2,2,"Bahamas","BS","BHS",389486,"America",7.95920778
"2211",2020-04-23,23,4,2020,5,0,"Bahamas","BS","BHS",389486,"America",7.70245914
"2212",2020-04-22,22,4,2020,1,0,"Bahamas","BS","BHS",389486,"America",7.4457105
"2213",2020-04-21,21,4,2020,4,0,"Bahamas","BS","BHS",389486,"America",7.95920778
"2214",2020-04-20,20,4,2020,2,0,"Bahamas","BS","BHS",389486,"America",7.95920778
"2215",2020-04-19,19,4,2020,3,0,"Bahamas","BS","BHS",389486,"America",7.70245914
"2216",2020-04-18,18,4,2020,1,0,"Bahamas","BS","BHS",389486,"America",7.95920778
"2217",2020-04-17,17,4,2020,1,1,"Bahamas","BS","BHS",389486,"America",7.70245914
"2218",2020-04-16,16,4,2020,4,0,"Bahamas","BS","BHS",389486,"America",8.21595641
"2219",2020-04-15,15,4,2020,0,0,"Bahamas","BS","BHS",389486,"America",8.72945369
"2220",2020-04-14,14,4,2020,2,0,"Bahamas","BS","BHS",389486,"America",8.98620233
"2221",2020-04-13,13,4,2020,1,0,"Bahamas","BS","BHS",389486,"America",8.47270505
