"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"2402",2020-08-04,4,8,2020,299,3,"Bahrain","BH","BHR",1641164,"Asia",298.50764457
"2403",2020-08-03,3,8,2020,346,0,"Bahrain","BH","BHR",1641164,"Asia",311.60810254
"2404",2020-08-02,2,8,2020,208,0,"Bahrain","BH","BHR",1641164,"Asia",315.99523265
"2405",2020-08-01,1,8,2020,227,1,"Bahrain","BH","BHR",1641164,"Asia",335.67638578
"2406",2020-07-31,31,7,2020,444,2,"Bahrain","BH","BHR",1641164,"Asia",345.54742853
"2407",2020-07-30,30,7,2020,390,3,"Bahrain","BH","BHR",1641164,"Asia",350.42201754
"2408",2020-07-29,29,7,2020,439,0,"Bahrain","BH","BHR",1641164,"Asia",356.02779491
"2409",2020-07-28,28,7,2020,351,1,"Bahrain","BH","BHR",1641164,"Asia",365.95977002
"2410",2020-07-27,27,7,2020,384,3,"Bahrain","BH","BHR",1641164,"Asia",377.17132474
"2411",2020-07-26,26,7,2020,289,1,"Bahrain","BH","BHR",1641164,"Asia",382.47244029
"2412",2020-07-25,25,7,2020,462,2,"Bahrain","BH","BHR",1641164,"Asia",391.12483579
"2413",2020-07-24,24,7,2020,359,4,"Bahrain","BH","BHR",1641164,"Asia",394.11052156
"2414",2020-07-23,23,7,2020,321,1,"Bahrain","BH","BHR",1641164,"Asia",408.61242387
"2415",2020-07-22,22,7,2020,380,1,"Bahrain","BH","BHR",1641164,"Asia",426.22187667
"2416",2020-07-21,21,7,2020,514,2,"Bahrain","BH","BHR",1641164,"Asia",433.53376018
"2417",2020-07-20,20,7,2020,418,2,"Bahrain","BH","BHR",1641164,"Asia",429.87781843
"2418",2020-07-19,19,7,2020,531,0,"Bahrain","BH","BHR",1641164,"Asia",435.48359579
"2419",2020-07-18,18,7,2020,389,3,"Bahrain","BH","BHR",1641164,"Asia",430.36527733
"2420",2020-07-17,17,7,2020,524,4,"Bahrain","BH","BHR",1641164,"Asia",441.57683205
"2421",2020-07-16,16,7,2020,482,6,"Bahrain","BH","BHR",1641164,"Asia",435.42266343
"2422",2020-07-15,15,7,2020,602,2,"Bahrain","BH","BHR",1641164,"Asia",446.02489453
"2423",2020-07-14,14,7,2020,535,0,"Bahrain","BH","BHR",1641164,"Asia",440.96750843
"2424",2020-07-13,13,7,2020,471,5,"Bahrain","BH","BHR",1641164,"Asia",440.90657606
"2425",2020-07-12,12,7,2020,431,0,"Bahrain","BH","BHR",1641164,"Asia",438.8958081
"2426",2020-07-11,11,7,2020,511,1,"Bahrain","BH","BHR",1641164,"Asia",440.78471134
"2427",2020-07-10,10,7,2020,597,3,"Bahrain","BH","BHR",1641164,"Asia",453.76330458
"2428",2020-07-09,9,7,2020,610,2,"Bahrain","BH","BHR",1641164,"Asia",448.52312139
"2429",2020-07-08,8,7,2020,500,0,"Bahrain","BH","BHR",1641164,"Asia",442.30802041
"2430",2020-07-07,7,7,2020,454,1,"Bahrain","BH","BHR",1641164,"Asia",451.75253661
"2431",2020-07-06,6,7,2020,510,0,"Bahrain","BH","BHR",1641164,"Asia",463.26875315
"2432",2020-07-05,5,7,2020,447,2,"Bahrain","BH","BHR",1641164,"Asia",458.57696123
"2433",2020-07-04,4,7,2020,573,1,"Bahrain","BH","BHR",1641164,"Asia",456.62712563
"2434",2020-07-03,3,7,2020,423,2,"Bahrain","BH","BHR",1641164,"Asia",451.32601008
"2435",2020-07-02,2,7,2020,656,5,"Bahrain","BH","BHR",1641164,"Asia",454.12889876
"2436",2020-07-01,1,7,2020,519,3,"Bahrain","BH","BHR",1641164,"Asia",439.01767282
"2437",2020-06-30,30,6,2020,534,1,"Bahrain","BH","BHR",1641164,"Asia",440.29725244
"2438",2020-06-29,29,6,2020,438,5,"Bahrain","BH","BHR",1641164,"Asia",436.33664887
"2439",2020-06-28,28,6,2020,462,0,"Bahrain","BH","BHR",1641164,"Asia",428.96383299
"2440",2020-06-27,27,6,2020,724,7,"Bahrain","BH","BHR",1641164,"Asia",432.13231584
"2441",2020-06-26,26,6,2020,511,2,"Bahrain","BH","BHR",1641164,"Asia",451.75253661
