"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"2349",2020-07-17,17,7,2020,2733,39,"Bangladesh","BD","BGD",163046173,"Asia",26.40111032
"2350",2020-07-16,16,7,2020,3533,33,"Bangladesh","BD","BGD",163046173,"Asia",27.18984395
"2351",2020-07-15,15,7,2020,3163,33,"Bangladesh","BD","BGD",163046173,"Asia",27.33826816
"2352",2020-07-14,14,7,2020,3099,39,"Bangladesh","BD","BGD",163046173,"Asia",27.6565829
"2353",2020-07-13,13,7,2020,2666,47,"Bangladesh","BD","BGD",163046173,"Asia",28.21777362
"2354",2020-07-12,12,7,2020,2686,30,"Bangladesh","BD","BGD",163046173,"Asia",28.91880204
"2355",2020-07-11,11,7,2020,2949,37,"Bangladesh","BD","BGD",163046173,"Asia",29.42050041
"2356",2020-07-10,10,7,2020,3360,41,"Bangladesh","BD","BGD",163046173,"Asia",29.98414443
"2357",2020-07-09,9,7,2020,3489,46,"Bangladesh","BD","BGD",163046173,"Asia",30.34355182
"2358",2020-07-08,8,7,2020,3027,55,"Bangladesh","BD","BGD",163046173,"Asia",30.3269921
"2359",2020-07-07,7,7,2020,3201,44,"Bangladesh","BD","BGD",163046173,"Asia",30.56312153
"2360",2020-07-06,6,7,2020,2738,55,"Bangladesh","BD","BGD",163046173,"Asia",30.7342387
"2361",2020-07-05,5,7,2020,3288,29,"Bangladesh","BD","BGD",163046173,"Asia",31.22060399
"2362",2020-07-04,4,7,2020,3114,42,"Bangladesh","BD","BGD",163046173,"Asia",31.19116448
"2363",2020-07-03,3,7,2020,4019,38,"Bangladesh","BD","BGD",163046173,"Asia",31.27028317
"2364",2020-07-02,2,7,2020,3775,41,"Bangladesh","BD","BGD",163046173,"Asia",31.13780536
"2365",2020-07-01,1,7,2020,3682,64,"Bangladesh","BD","BGD",163046173,"Asia",31.28070967
