"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"2762",2020-08-04,4,8,2020,0,0,"Barbados","BB","BRB",287021,"America",9.05857063
"2763",2020-08-03,3,8,2020,10,0,"Barbados","BB","BRB",287021,"America",9.40697719
"2764",2020-08-02,2,8,2020,12,0,"Barbados","BB","BRB",287021,"America",6.27131813
"2765",2020-08-01,1,8,2020,0,0,"Barbados","BB","BRB",287021,"America",2.09043938
"2766",2020-07-31,31,7,2020,0,0,"Barbados","BB","BRB",287021,"America",2.09043938
"2767",2020-07-30,30,7,2020,0,0,"Barbados","BB","BRB",287021,"America",2.09043938
"2768",2020-07-29,29,7,2020,0,0,"Barbados","BB","BRB",287021,"America",2.43884594
"2769",2020-07-28,28,7,2020,0,0,"Barbados","BB","BRB",287021,"America",2.43884594
"2770",2020-07-27,27,7,2020,2,0,"Barbados","BB","BRB",287021,"America",2.43884594
"2771",2020-07-26,26,7,2020,0,0,"Barbados","BB","BRB",287021,"America",1.74203281
"2772",2020-07-25,25,7,2020,2,0,"Barbados","BB","BRB",287021,"America",3.48406563
"2773",2020-07-24,24,7,2020,0,0,"Barbados","BB","BRB",287021,"America",2.7872525
"2774",2020-07-23,23,7,2020,0,0,"Barbados","BB","BRB",287021,"America",2.7872525
"2775",2020-07-22,22,7,2020,0,0,"Barbados","BB","BRB",287021,"America",2.7872525
"2776",2020-07-21,21,7,2020,1,0,"Barbados","BB","BRB",287021,"America",2.7872525
"2777",2020-07-20,20,7,2020,1,0,"Barbados","BB","BRB",287021,"America",2.43884594
"2778",2020-07-19,19,7,2020,0,0,"Barbados","BB","BRB",287021,"America",2.43884594
"2779",2020-07-18,18,7,2020,0,0,"Barbados","BB","BRB",287021,"America",2.43884594
"2780",2020-07-17,17,7,2020,0,0,"Barbados","BB","BRB",287021,"America",2.43884594
"2781",2020-07-16,16,7,2020,1,0,"Barbados","BB","BRB",287021,"America",2.43884594
"2782",2020-07-15,15,7,2020,0,0,"Barbados","BB","BRB",287021,"America",2.09043938
"2783",2020-07-14,14,7,2020,0,0,"Barbados","BB","BRB",287021,"America",2.09043938
