"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"2902",2020-08-04,4,8,2020,99,4,"Belarus","BY","BLR",9452409,"Europe",20.66139965
"2903",2020-08-03,3,8,2020,121,4,"Belarus","BY","BLR",9452409,"Europe",20.86240661
"2904",2020-08-02,2,8,2020,138,4,"Belarus","BY","BLR",9452409,"Europe",21.0845722
"2905",2020-08-01,1,8,2020,143,6,"Belarus","BY","BLR",9452409,"Europe",21.43368955
"2906",2020-07-31,31,7,2020,147,5,"Belarus","BY","BLR",9452409,"Europe",21.60295857
"2907",2020-07-30,30,7,2020,152,5,"Belarus","BY","BLR",9452409,"Europe",21.95207592
"2908",2020-07-29,29,7,2020,115,5,"Belarus","BY","BLR",9452409,"Europe",22.18482082
"2909",2020-07-28,28,7,2020,119,4,"Belarus","BY","BLR",9452409,"Europe",22.60799337
"2910",2020-07-27,27,7,2020,130,4,"Belarus","BY","BLR",9452409,"Europe",23.27449013
"2911",2020-07-26,26,7,2020,156,11,"Belarus","BY","BLR",9452409,"Europe",23.64476611
"2912",2020-07-25,25,7,2020,158,0,"Belarus","BY","BLR",9452409,"Europe",23.71882131
"2913",2020-07-24,24,7,2020,167,6,"Belarus","BY","BLR",9452409,"Europe",24.08909729
"2914",2020-07-23,23,7,2020,173,6,"Belarus","BY","BLR",9452409,"Europe",24.30068356
"2915",2020-07-22,22,7,2020,135,4,"Belarus","BY","BLR",9452409,"Europe",24.80849062
"2916",2020-07-21,21,7,2020,118,4,"Belarus","BY","BLR",9452409,"Europe",25.4855667
"2917",2020-07-20,20,7,2020,142,4,"Belarus","BY","BLR",9452409,"Europe",26.8820361
"2918",2020-07-19,19,7,2020,171,4,"Belarus","BY","BLR",9452409,"Europe",28.38429865
"2919",2020-07-18,18,7,2020,159,6,"Belarus","BY","BLR",9452409,"Europe",29.46338865
"2920",2020-07-17,17,7,2020,180,5,"Belarus","BY","BLR",9452409,"Europe",30.94449256
"2921",2020-07-16,16,7,2020,174,6,"Belarus","BY","BLR",9452409,"Europe",31.93894805
"2922",2020-07-15,15,7,2020,155,6,"Belarus","BY","BLR",9452409,"Europe",33.33541746
"2923",2020-07-14,14,7,2020,182,4,"Belarus","BY","BLR",9452409,"Europe",35.16563873
"2924",2020-07-13,13,7,2020,165,5,"Belarus","BY","BLR",9452409,"Europe",36.57268745
"2925",2020-07-12,12,7,2020,163,5,"Belarus","BY","BLR",9452409,"Europe",38.84723989
"2926",2020-07-11,11,7,2020,193,5,"Belarus","BY","BLR",9452409,"Europe",41.16410959
"2927",2020-07-10,10,7,2020,187,6,"Belarus","BY","BLR",9452409,"Europe",42.62405488
"2928",2020-07-09,9,7,2020,221,7,"Belarus","BY","BLR",9452409,"Europe",45.26888331
"2929",2020-07-08,8,7,2020,199,7,"Belarus","BY","BLR",9452409,"Europe",47.77618065
"2930",2020-07-07,7,7,2020,250,6,"Belarus","BY","BLR",9452409,"Europe",50.57969878
"2931",2020-07-06,6,7,2020,284,5,"Belarus","BY","BLR",9452409,"Europe",53.41495485
"2932",2020-07-05,5,7,2020,273,6,"Belarus","BY","BLR",9452409,"Europe",56.43005926
"2933",2020-07-04,4,7,2020,299,7,"Belarus","BY","BLR",9452409,"Europe",59.92123278
"2934",2020-07-03,3,7,2020,274,7,"Belarus","BY","BLR",9452409,"Europe",63.90963404
"2935",2020-07-02,2,7,2020,306,6,"Belarus","BY","BLR",9452409,"Europe",67.62297315
"2936",2020-07-01,1,7,2020,328,5,"Belarus","BY","BLR",9452409,"Europe",71.39978814
"2937",2020-06-30,30,6,2020,315,4,"Belarus","BY","BLR",9452409,"Europe",75.21892038
"2938",2020-06-29,29,6,2020,380,6,"Belarus","BY","BLR",9452409,"Europe",79.36601135
"2939",2020-06-28,28,6,2020,382,4,"Belarus","BY","BLR",9452409,"Europe",83.08992977
