"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"2698",2020-07-12,12,7,2020,137,0,"Belgium","BE","BEL",11455519,"Europe",12.19499527
"2699",2020-07-11,11,7,2020,259,1,"Belgium","BE","BEL",11455519,"Europe",11.8981951
"2700",2020-07-10,10,7,2020,0,3,"Belgium","BE","BEL",11455519,"Europe",9.63727615
"2701",2020-07-09,9,7,2020,87,2,"Belgium","BE","BEL",11455519,"Europe",10.44911191
"2702",2020-07-08,8,7,2020,65,2,"Belgium","BE","BEL",11455519,"Europe",9.80313507
"2703",2020-07-07,7,7,2020,42,3,"Belgium","BE","BEL",11455519,"Europe",10.02137049
"2704",2020-07-06,6,7,2020,107,0,"Belgium","BE","BEL",11455519,"Europe",10.63242966
"2705",2020-07-05,5,7,2020,71,0,"Belgium","BE","BEL",11455519,"Europe",9.84678215
"2706",2020-07-04,4,7,2020,111,6,"Belgium","BE","BEL",11455519,"Europe",9.65473498
"2707",2020-07-03,3,7,2020,129,4,"Belgium","BE","BEL",11455519,"Europe",9.70711148
"2708",2020-07-02,2,7,2020,89,7,"Belgium","BE","BEL",11455519,"Europe",9.50633489
"2709",2020-07-01,1,7,2020,82,2,"Belgium","BE","BEL",11455519,"Europe",9.79440565
"2710",2020-06-30,30,6,2020,66,0,"Belgium","BE","BEL",11455519,"Europe",9.9253469
"2711",2020-06-29,29,6,2020,152,2,"Belgium","BE","BEL",11455519,"Europe",10.64115908
"2712",2020-06-28,28,6,2020,103,5,"Belgium","BE","BEL",11455519,"Europe",9.50633489
"2713",2020-06-27,27,6,2020,0,6,"Belgium","BE","BEL",11455519,"Europe",9.01748755
"2714",2020-06-26,26,6,2020,93,2,"Belgium","BE","BEL",11455519,"Europe",9.78567623
"2715",2020-06-25,25,6,2020,13,5,"Belgium","BE","BEL",11455519,"Europe",9.79440565
"2716",2020-06-24,24,6,2020,90,3,"Belgium","BE","BEL",11455519,"Europe",10.69353558
"2717",2020-06-23,23,6,2020,112,4,"Belgium","BE","BEL",11455519,"Europe",11.16492409
"2718",2020-06-22,22,6,2020,17,12,"Belgium","BE","BEL",11455519,"Europe",11.49664192
"2719",2020-06-21,21,6,2020,49,9,"Belgium","BE","BEL",11455519,"Europe",11.81090093
"2720",2020-06-20,20,6,2020,117,3,"Belgium","BE","BEL",11455519,"Europe",11.98548927
"2721",2020-06-19,19,6,2020,106,4,"Belgium","BE","BEL",11455519,"Europe",12.3172071
"2722",2020-06-18,18,6,2020,122,5,"Belgium","BE","BEL",11455519,"Europe",12.85843094
