"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"3159",2020-07-26,26,7,2020,0,0,"Belize","BZ","BLZ",390351,"America",2.81797664
"3160",2020-07-25,25,7,2020,1,0,"Belize","BZ","BLZ",390351,"America",2.81797664
"3161",2020-07-24,24,7,2020,4,0,"Belize","BZ","BLZ",390351,"America",3.58651573
"3162",2020-07-23,23,7,2020,0,0,"Belize","BZ","BLZ",390351,"America",3.33033603
"3163",2020-07-22,22,7,2020,1,0,"Belize","BZ","BLZ",390351,"America",3.33033603
"3164",2020-07-21,21,7,2020,2,0,"Belize","BZ","BLZ",390351,"America",3.07415634
"3165",2020-07-20,20,7,2020,0,0,"Belize","BZ","BLZ",390351,"America",2.56179695
"3166",2020-07-19,19,7,2020,0,0,"Belize","BZ","BLZ",390351,"America",2.56179695
"3167",2020-07-18,18,7,2020,0,0,"Belize","BZ","BLZ",390351,"America",2.56179695
"3168",2020-07-17,17,7,2020,1,0,"Belize","BZ","BLZ",390351,"America",3.07415634
"3169",2020-07-16,16,7,2020,0,0,"Belize","BZ","BLZ",390351,"America",2.81797664
"3170",2020-07-15,15,7,2020,2,0,"Belize","BZ","BLZ",390351,"America",2.81797664
"3171",2020-07-14,14,7,2020,0,0,"Belize","BZ","BLZ",390351,"America",3.33033603
"3172",2020-07-13,13,7,2020,0,0,"Belize","BZ","BLZ",390351,"America",3.33033603
"3173",2020-07-12,12,7,2020,0,0,"Belize","BZ","BLZ",390351,"America",3.33033603
"3174",2020-07-11,11,7,2020,4,0,"Belize","BZ","BLZ",390351,"America",3.33033603
"3175",2020-07-10,10,7,2020,3,0,"Belize","BZ","BLZ",390351,"America",2.56179695
"3176",2020-07-09,9,7,2020,0,0,"Belize","BZ","BLZ",390351,"America",1.79325786
"3177",2020-07-08,8,7,2020,0,0,"Belize","BZ","BLZ",390351,"America",1.79325786
"3178",2020-07-07,7,7,2020,0,0,"Belize","BZ","BLZ",390351,"America",1.79325786
"3179",2020-07-06,6,7,2020,0,0,"Belize","BZ","BLZ",390351,"America",2.04943756
"3180",2020-07-05,5,7,2020,0,0,"Belize","BZ","BLZ",390351,"America",2.04943756
"3181",2020-07-04,4,7,2020,2,0,"Belize","BZ","BLZ",390351,"America",2.04943756
"3182",2020-07-03,3,7,2020,0,0,"Belize","BZ","BLZ",390351,"America",1.53707817
"3183",2020-07-02,2,7,2020,0,0,"Belize","BZ","BLZ",390351,"America",1.53707817
"3184",2020-07-01,1,7,2020,4,0,"Belize","BZ","BLZ",390351,"America",1.79325786
"3185",2020-06-30,30,6,2020,0,0,"Belize","BZ","BLZ",390351,"America",0.76853908
"3186",2020-06-29,29,6,2020,0,0,"Belize","BZ","BLZ",390351,"America",0.76853908
"3187",2020-06-28,28,6,2020,0,0,"Belize","BZ","BLZ",390351,"America",1.02471878
"3188",2020-06-27,27,6,2020,1,0,"Belize","BZ","BLZ",390351,"America",1.02471878
"3189",2020-06-26,26,6,2020,0,0,"Belize","BZ","BLZ",390351,"America",0.76853908
"3190",2020-06-25,25,6,2020,0,0,"Belize","BZ","BLZ",390351,"America",0.76853908
"3191",2020-06-24,24,6,2020,0,0,"Belize","BZ","BLZ",390351,"America",0.76853908
"3192",2020-06-23,23,6,2020,1,0,"Belize","BZ","BLZ",390351,"America",1.02471878
"3193",2020-06-22,22,6,2020,0,0,"Belize","BZ","BLZ",390351,"America",1.02471878
"3194",2020-06-21,21,6,2020,0,0,"Belize","BZ","BLZ",390351,"America",1.02471878
"3195",2020-06-20,20,6,2020,0,0,"Belize","BZ","BLZ",390351,"America",1.02471878
"3196",2020-06-19,19,6,2020,0,0,"Belize","BZ","BLZ",390351,"America",1.02471878
"3197",2020-06-18,18,6,2020,1,0,"Belize","BZ","BLZ",390351,"America",1.02471878
"3198",2020-06-17,17,6,2020,0,0,"Belize","BZ","BLZ",390351,"America",0.76853908
"3199",2020-06-16,16,6,2020,0,0,"Belize","BZ","BLZ",390351,"America",0.76853908
"3200",2020-06-15,15,6,2020,1,0,"Belize","BZ","BLZ",390351,"America",0.76853908
