"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"3284",2020-07-26,26,7,2020,0,0,"Benin","BJ","BEN",11801151,"Africa",2.67770491
"3285",2020-07-25,25,7,2020,0,0,"Benin","BJ","BEN",11801151,"Africa",3.46576364
"3286",2020-07-24,24,7,2020,92,3,"Benin","BJ","BEN",11801151,"Africa",3.46576364
"3287",2020-07-23,23,7,2020,0,0,"Benin","BJ","BEN",11801151,"Africa",2.68617866
"3288",2020-07-22,22,7,2020,0,0,"Benin","BJ","BEN",11801151,"Africa",3.41492114
"3289",2020-07-21,21,7,2020,0,0,"Benin","BJ","BEN",11801151,"Africa",3.41492114
"3290",2020-07-20,20,7,2020,0,0,"Benin","BJ","BEN",11801151,"Africa",3.41492114
"3291",2020-07-19,19,7,2020,0,0,"Benin","BJ","BEN",11801151,"Africa",3.41492114
"3292",2020-07-18,18,7,2020,139,3,"Benin","BJ","BEN",11801151,"Africa",3.41492114
"3293",2020-07-17,17,7,2020,85,2,"Benin","BJ","BEN",11801151,"Africa",2.23706993
"3294",2020-07-16,16,7,2020,0,0,"Benin","BJ","BEN",11801151,"Africa",1.5168012
"3295",2020-07-15,15,7,2020,0,0,"Benin","BJ","BEN",11801151,"Africa",1.5168012
"3296",2020-07-14,14,7,2020,0,0,"Benin","BJ","BEN",11801151,"Africa",1.6184862
"3297",2020-07-13,13,7,2020,0,0,"Benin","BJ","BEN",11801151,"Africa",1.94048869
"3298",2020-07-12,12,7,2020,93,3,"Benin","BJ","BEN",11801151,"Africa",2.15233243
"3299",2020-07-11,11,7,2020,0,0,"Benin","BJ","BEN",11801151,"Africa",1.96590994
"3300",2020-07-10,10,7,2020,0,0,"Benin","BJ","BEN",11801151,"Africa",2.27096493
"3301",2020-07-09,9,7,2020,86,2,"Benin","BJ","BEN",11801151,"Africa",3.24544614
"3302",2020-07-08,8,7,2020,0,0,"Benin","BJ","BEN",11801151,"Africa",2.95733865
"3303",2020-07-07,7,7,2020,0,0,"Benin","BJ","BEN",11801151,"Africa",3.32170989
"3304",2020-07-06,6,7,2020,0,0,"Benin","BJ","BEN",11801151,"Africa",3.67760738
"3305",2020-07-05,5,7,2020,0,0,"Benin","BJ","BEN",11801151,"Africa",4.6520886
"3306",2020-07-04,4,7,2020,0,0,"Benin","BJ","BEN",11801151,"Africa",4.6520886
"3307",2020-07-03,3,7,2020,0,0,"Benin","BJ","BEN",11801151,"Africa",5.10119733
"3308",2020-07-02,2,7,2020,0,0,"Benin","BJ","BEN",11801151,"Africa",5.31304108
"3309",2020-07-01,1,7,2020,12,2,"Benin","BJ","BEN",11801151,"Africa",5.65199106
"3310",2020-06-30,30,6,2020,38,3,"Benin","BJ","BEN",11801151,"Africa",5.9655198
"3311",2020-06-29,29,6,2020,25,2,"Benin","BJ","BEN",11801151,"Africa",5.75367606
"3312",2020-06-28,28,6,2020,71,0,"Benin","BJ","BEN",11801151,"Africa",6.0333098
"3313",2020-06-27,27,6,2020,36,0,"Benin","BJ","BEN",11801151,"Africa",5.63504356
"3314",2020-06-26,26,6,2020,115,1,"Benin","BJ","BEN",11801151,"Africa",6.0333098
"3315",2020-06-25,25,6,2020,52,0,"Benin","BJ","BEN",11801151,"Africa",5.05882858
"3316",2020-06-24,24,6,2020,43,0,"Benin","BJ","BEN",11801151,"Africa",4.6181936
"3317",2020-06-23,23,6,2020,42,0,"Benin","BJ","BEN",11801151,"Africa",4.25382236
"3318",2020-06-22,22,6,2020,115,2,"Benin","BJ","BEN",11801151,"Africa",4.21145361
"3319",2020-06-21,21,6,2020,0,0,"Benin","BJ","BEN",11801151,"Africa",3.23697239
"3320",2020-06-20,20,6,2020,53,0,"Benin","BJ","BEN",11801151,"Africa",3.29628864
"3321",2020-06-19,19,6,2020,25,2,"Benin","BJ","BEN",11801151,"Africa",2.84717991
"3322",2020-06-18,18,6,2020,40,0,"Benin","BJ","BEN",11801151,"Africa",2.77938991
"3323",2020-06-17,17,6,2020,49,0,"Benin","BJ","BEN",11801151,"Africa",2.44043992
"3324",2020-06-16,16,6,2020,13,2,"Benin","BJ","BEN",11801151,"Africa",2.03369993
"3325",2020-06-15,15,6,2020,58,1,"Benin","BJ","BEN",11801151,"Africa",2.01675243
"3326",2020-06-14,14,6,2020,24,1,"Benin","BJ","BEN",11801151,"Africa",1.52527495
"3327",2020-06-13,13,6,2020,83,1,"Benin","BJ","BEN",11801151,"Africa",1.38969495
