"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"3227",2020-07-17,17,7,2020,2,0,"Bermuda","BM","BMU",62508,"America",9.59877136
"3228",2020-07-16,16,7,2020,0,0,"Bermuda","BM","BMU",62508,"America",6.3991809
"3229",2020-07-15,15,7,2020,0,0,"Bermuda","BM","BMU",62508,"America",6.3991809
"3230",2020-07-14,14,7,2020,0,0,"Bermuda","BM","BMU",62508,"America",6.3991809
"3231",2020-07-13,13,7,2020,0,0,"Bermuda","BM","BMU",62508,"America",6.3991809
"3232",2020-07-12,12,7,2020,0,0,"Bermuda","BM","BMU",62508,"America",6.3991809
"3233",2020-07-11,11,7,2020,1,0,"Bermuda","BM","BMU",62508,"America",6.3991809
"3234",2020-07-10,10,7,2020,0,0,"Bermuda","BM","BMU",62508,"America",4.79938568
"3235",2020-07-09,9,7,2020,1,0,"Bermuda","BM","BMU",62508,"America",4.79938568
"3236",2020-07-08,8,7,2020,2,0,"Bermuda","BM","BMU",62508,"America",3.19959045
"3237",2020-07-07,7,7,2020,0,0,"Bermuda","BM","BMU",62508,"America",0
"3238",2020-07-06,6,7,2020,0,0,"Bermuda","BM","BMU",62508,"America",0
"3239",2020-07-05,5,7,2020,0,0,"Bermuda","BM","BMU",62508,"America",0
"3240",2020-07-04,4,7,2020,0,0,"Bermuda","BM","BMU",62508,"America",0
"3241",2020-07-03,3,7,2020,0,0,"Bermuda","BM","BMU",62508,"America",3.19959045
"3242",2020-07-02,2,7,2020,0,0,"Bermuda","BM","BMU",62508,"America",3.19959045
"3243",2020-07-01,1,7,2020,0,0,"Bermuda","BM","BMU",62508,"America",3.19959045
"3244",2020-06-30,30,6,2020,0,0,"Bermuda","BM","BMU",62508,"America",3.19959045
"3245",2020-06-29,29,6,2020,0,0,"Bermuda","BM","BMU",62508,"America",3.19959045
"3246",2020-06-28,28,6,2020,0,0,"Bermuda","BM","BMU",62508,"America",3.19959045
"3247",2020-06-27,27,6,2020,0,0,"Bermuda","BM","BMU",62508,"America",6.3991809
"3248",2020-06-26,26,6,2020,0,0,"Bermuda","BM","BMU",62508,"America",7.99897613
"3249",2020-06-25,25,6,2020,0,0,"Bermuda","BM","BMU",62508,"America",7.99897613
"3250",2020-06-24,24,6,2020,0,0,"Bermuda","BM","BMU",62508,"America",7.99897613
"3251",2020-06-23,23,6,2020,0,0,"Bermuda","BM","BMU",62508,"America",7.99897613
"3252",2020-06-22,22,6,2020,0,0,"Bermuda","BM","BMU",62508,"America",7.99897613
"3253",2020-06-21,21,6,2020,0,0,"Bermuda","BM","BMU",62508,"America",7.99897613
"3254",2020-06-20,20,6,2020,2,0,"Bermuda","BM","BMU",62508,"America",7.99897613
"3255",2020-06-19,19,6,2020,0,0,"Bermuda","BM","BMU",62508,"America",4.79938568
"3256",2020-06-18,18,6,2020,0,0,"Bermuda","BM","BMU",62508,"America",4.79938568
"3257",2020-06-17,17,6,2020,0,0,"Bermuda","BM","BMU",62508,"America",4.79938568
"3258",2020-06-16,16,6,2020,0,0,"Bermuda","BM","BMU",62508,"America",4.79938568
"3259",2020-06-15,15,6,2020,0,0,"Bermuda","BM","BMU",62508,"America",6.3991809
"3260",2020-06-14,14,6,2020,2,0,"Bermuda","BM","BMU",62508,"America",6.3991809
"3261",2020-06-13,13,6,2020,1,0,"Bermuda","BM","BMU",62508,"America",3.19959045
"3262",2020-06-12,12,6,2020,0,0,"Bermuda","BM","BMU",62508,"America",1.59979523
"3263",2020-06-11,11,6,2020,0,0,"Bermuda","BM","BMU",62508,"America",3.19959045
"3264",2020-06-10,10,6,2020,0,0,"Bermuda","BM","BMU",62508,"America",3.19959045
"3265",2020-06-09,9,6,2020,0,0,"Bermuda","BM","BMU",62508,"America",12.79836181
"3266",2020-06-08,8,6,2020,0,0,"Bermuda","BM","BMU",62508,"America",12.79836181
"3267",2020-06-07,7,6,2020,0,0,"Bermuda","BM","BMU",62508,"America",12.79836181
"3268",2020-06-06,6,6,2020,0,0,"Bermuda","BM","BMU",62508,"America",20.79733794
"3269",2020-06-05,5,6,2020,0,0,"Bermuda","BM","BMU",62508,"America",25.59672362
"3270",2020-06-04,4,6,2020,0,0,"Bermuda","BM","BMU",62508,"America",25.59672362
"3271",2020-06-03,3,6,2020,0,0,"Bermuda","BM","BMU",62508,"America",25.59672362
"3272",2020-06-02,2,6,2020,1,0,"Bermuda","BM","BMU",62508,"America",25.59672362
"3273",2020-06-01,1,6,2020,0,0,"Bermuda","BM","BMU",62508,"America",27.19651885
"3274",2020-05-31,31,5,2020,0,0,"Bermuda","BM","BMU",62508,"America",27.19651885
"3275",2020-05-30,30,5,2020,0,0,"Bermuda","BM","BMU",62508,"America",27.19651885
"3276",2020-05-29,29,5,2020,1,0,"Bermuda","BM","BMU",62508,"America",28.79631407
"3277",2020-05-28,28,5,2020,0,0,"Bermuda","BM","BMU",62508,"America",28.79631407
"3278",2020-05-27,27,5,2020,6,0,"Bermuda","BM","BMU",62508,"America",28.79631407
"3279",2020-05-26,26,5,2020,0,0,"Bermuda","BM","BMU",62508,"America",22.39713317
"3280",2020-05-25,25,5,2020,0,0,"Bermuda","BM","BMU",62508,"America",23.99692839
"3281",2020-05-24,24,5,2020,5,0,"Bermuda","BM","BMU",62508,"America",23.99692839
"3282",2020-05-23,23,5,2020,3,0,"Bermuda","BM","BMU",62508,"America",15.99795226
"3283",2020-05-22,22,5,2020,0,0,"Bermuda","BM","BMU",62508,"America",11.19856658
"3284",2020-05-21,21,5,2020,0,0,"Bermuda","BM","BMU",62508,"America",11.19856658
"3285",2020-05-20,20,5,2020,0,0,"Bermuda","BM","BMU",62508,"America",15.99795226
"3286",2020-05-19,19,5,2020,2,0,"Bermuda","BM","BMU",62508,"America",15.99795226
"3287",2020-05-18,18,5,2020,0,0,"Bermuda","BM","BMU",62508,"America",12.79836181
"3288",2020-05-17,17,5,2020,0,0,"Bermuda","BM","BMU",62508,"America",14.39815704
"3289",2020-05-16,16,5,2020,1,0,"Bermuda","BM","BMU",62508,"America",14.39815704
"3290",2020-05-15,15,5,2020,1,1,"Bermuda","BM","BMU",62508,"America",12.79836181
"3291",2020-05-14,14,5,2020,0,0,"Bermuda","BM","BMU",62508,"America",15.99795226
"3292",2020-05-13,13,5,2020,2,0,"Bermuda","BM","BMU",62508,"America",17.59774749
"3293",2020-05-12,12,5,2020,1,1,"Bermuda","BM","BMU",62508,"America",14.39815704
"3294",2020-05-11,11,5,2020,0,0,"Bermuda","BM","BMU",62508,"America",14.39815704
"3295",2020-05-10,10,5,2020,0,0,"Bermuda","BM","BMU",62508,"America",30.3961093
"3296",2020-05-09,9,5,2020,0,0,"Bermuda","BM","BMU",62508,"America",30.3961093
"3297",2020-05-08,8,5,2020,0,0,"Bermuda","BM","BMU",62508,"America",30.3961093
"3298",2020-05-07,7,5,2020,3,0,"Bermuda","BM","BMU",62508,"America",30.3961093
"3299",2020-05-06,6,5,2020,0,0,"Bermuda","BM","BMU",62508,"America",27.19651885
"3300",2020-05-05,5,5,2020,0,0,"Bermuda","BM","BMU",62508,"America",46.39406156
"3301",2020-05-04,4,5,2020,1,0,"Bermuda","BM","BMU",62508,"America",46.39406156
"3302",2020-05-03,3,5,2020,0,1,"Bermuda","BM","BMU",62508,"America",44.79426633
