"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"3391",2020-07-19,19,7,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",1.17940909
"3392",2020-07-18,18,7,2020,1,0,"Bhutan","BT","BTN",763094,"Asia",1.17940909
"3393",2020-07-17,17,7,2020,2,0,"Bhutan","BT","BTN",763094,"Asia",1.17940909
"3394",2020-07-16,16,7,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.91731818
"3395",2020-07-15,15,7,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.91731818
"3396",2020-07-14,14,7,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.91731818
"3397",2020-07-13,13,7,2020,2,0,"Bhutan","BT","BTN",763094,"Asia",1.04836364
"3398",2020-07-12,12,7,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.78627273
"3399",2020-07-11,11,7,2020,2,0,"Bhutan","BT","BTN",763094,"Asia",0.91731818
"3400",2020-07-10,10,7,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",1.31045454
"3401",2020-07-09,9,7,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",1.31045454
"3402",2020-07-08,8,7,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",1.31045454
"3403",2020-07-07,7,7,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",1.4415
"3404",2020-07-06,6,7,2020,2,0,"Bhutan","BT","BTN",763094,"Asia",1.57254545
"3405",2020-07-05,5,7,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",1.31045454
"3406",2020-07-04,4,7,2020,1,0,"Bhutan","BT","BTN",763094,"Asia",1.31045454
"3407",2020-07-03,3,7,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",1.31045454
"3408",2020-07-02,2,7,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",1.31045454
"3409",2020-07-01,1,7,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",1.31045454
"3410",2020-06-30,30,6,2020,1,0,"Bhutan","BT","BTN",763094,"Asia",1.31045454
"3411",2020-06-29,29,6,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",1.31045454
"3412",2020-06-28,28,6,2020,1,0,"Bhutan","BT","BTN",763094,"Asia",1.31045454
"3413",2020-06-27,27,6,2020,5,0,"Bhutan","BT","BTN",763094,"Asia",1.70359091
"3414",2020-06-26,26,6,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",1.04836364
"3415",2020-06-25,25,6,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",1.04836364
"3416",2020-06-24,24,6,2020,1,0,"Bhutan","BT","BTN",763094,"Asia",1.4415
"3417",2020-06-23,23,6,2020,1,0,"Bhutan","BT","BTN",763094,"Asia",1.31045454
"3418",2020-06-22,22,6,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",1.17940909
"3419",2020-06-21,21,6,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",2.62090909
"3420",2020-06-20,20,6,2020,1,0,"Bhutan","BT","BTN",763094,"Asia",2.62090909
"3421",2020-06-19,19,6,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",2.48986363
"3422",2020-06-18,18,6,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",2.62090909
"3423",2020-06-17,17,6,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",2.62090909
"3424",2020-06-16,16,6,2020,1,0,"Bhutan","BT","BTN",763094,"Asia",2.62090909
"3425",2020-06-15,15,6,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",3.01404545
"3426",2020-06-14,14,6,2020,4,0,"Bhutan","BT","BTN",763094,"Asia",3.01404545
"3427",2020-06-13,13,6,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",3.80031818
"3428",2020-06-12,12,6,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",4.06240909
"3429",2020-06-11,11,6,2020,3,0,"Bhutan","BT","BTN",763094,"Asia",4.45554545
"3430",2020-06-10,10,6,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",4.19345454
"3431",2020-06-09,9,6,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",4.19345454
"3432",2020-06-08,8,6,2020,11,0,"Bhutan","BT","BTN",763094,"Asia",4.19345454
"3433",2020-06-07,7,6,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",3.14509091
"3434",2020-06-06,6,6,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",3.14509091
"3435",2020-06-05,5,6,2020,1,0,"Bhutan","BT","BTN",763094,"Asia",3.53822727
"3436",2020-06-04,4,6,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",3.40718182
"3437",2020-06-03,3,6,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",3.40718182
"3438",2020-06-02,2,6,2020,4,0,"Bhutan","BT","BTN",763094,"Asia",3.40718182
"3439",2020-06-01,1,6,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",2.883
"3440",2020-05-31,31,5,2020,10,0,"Bhutan","BT","BTN",763094,"Asia",2.883
"3441",2020-05-30,30,5,2020,2,0,"Bhutan","BT","BTN",763094,"Asia",1.57254545
"3442",2020-05-29,29,5,2020,3,0,"Bhutan","BT","BTN",763094,"Asia",1.4415
"3443",2020-05-28,28,5,2020,1,0,"Bhutan","BT","BTN",763094,"Asia",1.70359091
"3444",2020-05-27,27,5,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",2.09672727
"3445",2020-05-26,26,5,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",2.09672727
"3446",2020-05-25,25,5,2020,3,0,"Bhutan","BT","BTN",763094,"Asia",2.35881818
"3447",2020-05-24,24,5,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",2.22777273
"3448",2020-05-23,23,5,2020,3,0,"Bhutan","BT","BTN",763094,"Asia",2.22777273
"3449",2020-05-22,22,5,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",1.83463636
"3450",2020-05-21,21,5,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",1.83463636
"3451",2020-05-20,20,5,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",1.83463636
"3452",2020-05-19,19,5,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",1.83463636
"3453",2020-05-18,18,5,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",1.83463636
"3454",2020-05-17,17,5,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",1.83463636
"3455",2020-05-16,16,5,2020,1,0,"Bhutan","BT","BTN",763094,"Asia",1.83463636
"3456",2020-05-15,15,5,2020,5,0,"Bhutan","BT","BTN",763094,"Asia",1.70359091
"3457",2020-05-14,14,5,2020,4,0,"Bhutan","BT","BTN",763094,"Asia",1.04836364
"3458",2020-05-13,13,5,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.52418182
"3459",2020-05-12,12,5,2020,2,0,"Bhutan","BT","BTN",763094,"Asia",0.52418182
"3460",2020-05-11,11,5,2020,2,0,"Bhutan","BT","BTN",763094,"Asia",0.26209091
"3461",2020-05-10,10,5,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0
"3462",2020-05-09,9,5,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0
"3463",2020-05-08,8,5,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0
"3464",2020-05-07,7,5,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0
"3465",2020-05-06,6,5,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.13104545
"3466",2020-05-05,5,5,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.13104545
"3467",2020-05-04,4,5,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.26209091
"3468",2020-05-03,3,5,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.26209091
"3469",2020-05-02,2,5,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.26209091
"3470",2020-05-01,1,5,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.26209091
"3471",2020-04-30,30,4,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.26209091
"3472",2020-04-29,29,4,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.26209091
"3473",2020-04-28,28,4,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.26209091
"3474",2020-04-27,27,4,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.26209091
"3475",2020-04-26,26,4,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.26209091
"3476",2020-04-25,25,4,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.26209091
"3477",2020-04-24,24,4,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.26209091
"3478",2020-04-23,23,4,2020,1,0,"Bhutan","BT","BTN",763094,"Asia",0.26209091
"3479",2020-04-22,22,4,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.13104545
"3480",2020-04-21,21,4,2020,1,0,"Bhutan","BT","BTN",763094,"Asia",0.13104545
"3481",2020-04-20,20,4,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0
"3482",2020-04-19,19,4,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0
"3483",2020-04-18,18,4,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0
"3484",2020-04-17,17,4,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0
"3485",2020-04-16,16,4,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0
"3486",2020-04-15,15,4,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.13104545
"3487",2020-04-14,14,4,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.13104545
"3488",2020-04-13,13,4,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.13104545
"3489",2020-04-12,12,4,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.13104545
"3490",2020-04-11,11,4,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.26209091
"3491",2020-04-10,10,4,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.26209091
"3492",2020-04-09,9,4,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.26209091
"3493",2020-04-08,8,4,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.39313636
"3494",2020-04-07,7,4,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.39313636
"3495",2020-04-06,6,4,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.39313636
"3496",2020-04-05,5,4,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.39313636
"3497",2020-04-04,4,4,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.39313636
"3498",2020-04-03,3,4,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.52418182
"3499",2020-04-02,2,4,2020,1,0,"Bhutan","BT","BTN",763094,"Asia",0.52418182
"3500",2020-04-01,1,4,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.39313636
"3501",2020-03-31,31,3,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.39313636
"3502",2020-03-30,30,3,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.39313636
"3503",2020-03-29,29,3,2020,1,0,"Bhutan","BT","BTN",763094,"Asia",0.39313636
"3504",2020-03-28,28,3,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.26209091
"3505",2020-03-27,27,3,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",0.39313636
"3506",2020-03-26,26,3,2020,1,0,"Bhutan","BT","BTN",763094,"Asia",NA
"3507",2020-03-25,25,3,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",NA
"3508",2020-03-24,24,3,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",NA
"3509",2020-03-23,23,3,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",NA
"3510",2020-03-22,22,3,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",NA
"3511",2020-03-21,21,3,2020,1,0,"Bhutan","BT","BTN",763094,"Asia",NA
"3512",2020-03-20,20,3,2020,0,0,"Bhutan","BT","BTN",763094,"Asia",NA
