"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"3887",2020-08-04,4,8,2020,1693,75,"Bolivia","BO","BOL",11513102,"America",181.14145084
"3888",2020-08-03,3,8,2020,1360,89,"Bolivia","BO","BOL",11513102,"America",178.67469601
"3889",2020-08-02,2,8,2020,2004,87,"Bolivia","BO","BOL",11513102,"America",179.40429955
"3890",2020-08-01,1,8,2020,1555,83,"Bolivia","BO","BOL",11513102,"America",179.68224376
"3891",2020-07-31,31,7,2020,1700,86,"Bolivia","BO","BOL",11513102,"America",183.07837453
"3892",2020-07-30,30,7,2020,1207,88,"Bolivia","BO","BOL",11513102,"America",185.14558457
"3893",2020-07-29,29,7,2020,516,73,"Bolivia","BO","BOL",11513102,"America",186.3963335
"3894",2020-07-28,28,7,2020,2382,64,"Bolivia","BO","BOL",11513102,"America",195.95935135
"3895",2020-07-27,27,7,2020,1148,48,"Bolivia","BO","BOL",11513102,"America",184.50283859
"3896",2020-07-26,26,7,2020,1825,62,"Bolivia","BO","BOL",11513102,"America",183.1044318
"3897",2020-07-25,25,7,2020,1204,66,"Bolivia","BO","BOL",11513102,"America",181.45413808
"3898",2020-07-24,24,7,2020,1117,79,"Bolivia","BO","BOL",11513102,"America",183.60820568
"3899",2020-07-23,23,7,2020,1778,55,"Bolivia","BO","BOL",11513102,"America",183.71243475
"3900",2020-07-22,22,7,2020,1366,55,"Bolivia","BO","BOL",11513102,"America",180.76796332
"3901",2020-07-21,21,7,2020,1409,67,"Bolivia","BO","BOL",11513102,"America",177.90166369
"3902",2020-07-20,20,7,2020,1444,45,"Bolivia","BO","BOL",11513102,"America",176.19056967
"3903",2020-07-19,19,7,2020,2036,57,"Bolivia","BO","BOL",11513102,"America",174.29707476
"3904",2020-07-18,18,7,2020,1946,65,"Bolivia","BO","BOL",11513102,"America",167.49612746
"3905",2020-07-17,17,7,2020,1938,42,"Bolivia","BO","BOL",11513102,"America",161.79827122
"3906",2020-07-16,16,7,2020,1351,44,"Bolivia","BO","BOL",11513102,"America",156.26544436
"3907",2020-07-15,15,7,2020,1617,32,"Bolivia","BO","BOL",11513102,"America",153.2862299
"3908",2020-07-14,14,7,2020,1063,59,"Bolivia","BO","BOL",11513102,"America",148.74357927
"3909",2020-07-13,13,7,2020,987,53,"Bolivia","BO","BOL",11513102,"America",144.73075979
"3910",2020-07-12,12,7,2020,1635,52,"Bolivia","BO","BOL",11513102,"America",143.52343964
"3911",2020-07-11,11,7,2020,1452,64,"Bolivia","BO","BOL",11513102,"America",140.20548068
"3912",2020-07-10,10,7,2020,1129,61,"Bolivia","BO","BOL",11513102,"America",135.58465824
"3913",2020-07-09,9,7,2020,1439,47,"Bolivia","BO","BOL",11513102,"America",134.60316776
"3914",2020-07-08,8,7,2020,1036,54,"Bolivia","BO","BOL",11513102,"America",131.64132481
"3915",2020-07-07,7,7,2020,1212,42,"Bolivia","BO","BOL",11513102,"America",130.42531891
"3916",2020-07-06,6,7,2020,1226,56,"Bolivia","BO","BOL",11513102,"America",129.49594297
"3917",2020-07-05,5,7,2020,1253,58,"Bolivia","BO","BOL",11513102,"America",126.45592821
"3918",2020-07-04,4,7,2020,1290,49,"Bolivia","BO","BOL",11513102,"America",124.57111906
"3919",2020-07-03,3,7,2020,1301,70,"Bolivia","BO","BOL",11513102,"America",121.85247729
"3920",2020-07-02,2,7,2020,1008,78,"Bolivia","BO","BOL",11513102,"America",117.6225139
"3921",2020-07-01,1,7,2020,1094,52,"Bolivia","BO","BOL",11513102,"America",115.83324807
"3922",2020-06-30,30,6,2020,601,57,"Bolivia","BO","BOL",11513102,"America",113.36649324
"3923",2020-06-29,29,6,2020,848,44,"Bolivia","BO","BOL",11513102,"America",113.47940807
"3924",2020-06-28,28,6,2020,1253,36,"Bolivia","BO","BOL",11513102,"America",111.47299833
