"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"3648",2020-07-19,19,7,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","BES",25983,"America",11.54601085
"3649",2020-07-18,18,7,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","BES",25983,"America",11.54601085
"3650",2020-07-17,17,7,2020,1,0,"Bonaire, Saint Eustatius and Saba","BQ","BES",25983,"America",11.54601085
"3651",2020-07-16,16,7,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","BES",25983,"America",7.69734057
"3652",2020-07-15,15,7,2020,2,0,"Bonaire, Saint Eustatius and Saba","BQ","BES",25983,"America",7.69734057
"3653",2020-07-14,14,7,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","BES",25983,"America",0
"3654",2020-07-13,13,7,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","BES",25983,"America",0
"3655",2020-07-12,12,7,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","BES",25983,"America",0
"3656",2020-07-11,11,7,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","BES",25983,"America",0
"3657",2020-07-10,10,7,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","BES",25983,"America",0
"3658",2020-07-09,9,7,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","BES",25983,"America",0
"3659",2020-07-08,8,7,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","BES",25983,"America",0
"3660",2020-07-07,7,7,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","BES",25983,"America",0
"3661",2020-07-06,6,7,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","BES",25983,"America",0
"3662",2020-07-05,5,7,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","BES",25983,"America",0
"3663",2020-07-04,4,7,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","BES",25983,"America",0
"3664",2020-07-03,3,7,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","BES",25983,"America",0
"3665",2020-07-02,2,7,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","BES",25983,"America",0
"3666",2020-07-01,1,7,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","BES",25983,"America",0
"3667",2020-06-30,30,6,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","BES",25983,"America",0
"3668",2020-06-29,29,6,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","BES",25983,"America",0
"3669",2020-06-28,28,6,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","BES",25983,"America",0
"3670",2020-06-27,27,6,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","BES",25983,"America",0
"3671",2020-06-26,26,6,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","BES",25983,"America",0
"3672",2020-06-25,25,6,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","BES",25983,"America",0
"3673",2020-06-24,24,6,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","BES",25983,"America",0
"3674",2020-06-23,23,6,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","BES",25983,"America",0
"3675",2020-06-22,22,6,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","BES",25983,"America",0
"3676",2020-06-21,21,6,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","BES",25983,"America",0
"3677",2020-06-20,20,6,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","BES",25983,"America",0
"3678",2020-06-19,19,6,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","BES",25983,"America",0
