"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"3657",2020-07-15,15,7,2020,2,2,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",76.58290008
"3658",2020-07-14,14,7,2020,95,4,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",79.8546379
"3659",2020-07-13,13,7,2020,482,4,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",84.12607339
"3660",2020-07-12,12,7,2020,0,0,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",74.73497409
"3661",2020-07-11,11,7,2020,316,2,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",74.76526796
"3662",2020-07-10,10,7,2020,217,5,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",69.37295933
"3663",2020-07-09,9,7,2020,248,2,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",66.46474793
"3664",2020-07-08,8,7,2020,163,8,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",61.61772894
"3665",2020-07-07,7,7,2020,209,9,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",58.58834207
"3666",2020-07-06,6,7,2020,289,0,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",57.40688119
"3667",2020-07-05,5,7,2020,172,2,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",48.65195314
"3668",2020-07-04,4,7,2020,182,1,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",45.44080305
"3669",2020-07-03,3,7,2020,153,2,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",42.53259166
"3670",2020-07-02,2,7,2020,0,0,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",39.65467413
"3671",2020-07-01,1,7,2020,110,2,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",41.47230625
"3672",2020-06-30,30,6,2020,236,4,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",39.50320479
"3673",2020-06-29,29,6,2020,172,1,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",33.50501879
"3674",2020-06-28,28,6,2020,1,1,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",30.14239936
"3675",2020-06-27,27,6,2020,138,2,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",31.56621119
"3676",2020-06-26,26,6,2020,121,3,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",29.2335833
"3677",2020-06-25,25,6,2020,88,1,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",27.23418796
"3678",2020-06-24,24,6,2020,63,1,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",26.05272708
"3679",2020-06-23,23,6,2020,170,1,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",24.8712662
"3680",2020-06-22,22,6,2020,0,0,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",22.69010766
"3681",2020-06-21,21,6,2020,66,1,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",22.69010766
"3682",2020-06-20,20,6,2020,86,1,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",20.69071232
"3683",2020-06-19,19,6,2020,58,0,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",18.44896604
"3684",2020-06-18,18,6,2020,60,0,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",17.99455801
"3685",2020-06-17,17,6,2020,45,3,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",16.66162779
"3686",2020-06-16,16,6,2020,38,1,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",15.63163625
"3687",2020-06-15,15,6,2020,61,0,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",14.9045834
"3688",2020-06-14,14,6,2020,48,1,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",13.51106544
"3689",2020-06-13,13,6,2020,61,2,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",12.32960456
"3690",2020-06-12,12,6,2020,55,0,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",11.17843755
"3691",2020-06-11,11,6,2020,49,1,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",10.33020923
"3692",2020-06-10,10,6,2020,24,0,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",9.42139317
"3693",2020-06-09,9,6,2020,98,1,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",8.997279
"3694",2020-06-08,8,6,2020,0,0,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",6.17994922
"3695",2020-06-07,7,6,2020,0,0,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",6.4828879
"3696",2020-06-06,6,6,2020,12,0,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",7.05847141
"3697",2020-06-05,5,6,2020,43,2,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",7.30082236
"3698",2020-06-04,4,6,2020,16,0,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",6.54347564
"3699",2020-06-03,3,6,2020,11,3,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",6.51318177
"3700",2020-06-02,2,6,2020,14,0,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",6.66465111
"3701",2020-06-01,1,6,2020,15,0,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",6.66465111
"3702",2020-05-31,31,5,2020,9,0,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",6.8767082
"3703",2020-05-30,30,5,2020,23,0,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",7.51287944
"3704",2020-05-29,29,5,2020,27,2,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",7.4522917
"3705",2020-05-28,28,5,2020,19,2,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",7.69464265
"3706",2020-05-27,27,5,2020,10,3,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",7.81581813
"3707",2020-05-26,26,5,2020,5,2,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",7.99758134
"3708",2020-05-25,25,5,2020,10,3,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",9.42139317
"3709",2020-05-24,24,5,2020,19,0,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",9.72433185
"3710",2020-05-23,23,5,2020,20,2,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",9.14874835
"3711",2020-05-22,22,5,2020,18,4,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",9.84550733
"3712",2020-05-21,21,5,2020,15,2,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",10.51197244
"3713",2020-05-20,20,5,2020,16,1,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",11.29961303
"3714",2020-05-19,19,5,2020,14,0,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",11.4207885
"3715",2020-05-18,18,5,2020,22,3,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",13.08695128
"3716",2020-05-17,17,5,2020,30,2,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",12.9657758
"3717",2020-05-16,16,5,2020,21,4,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",13.81400413
"3718",2020-05-15,15,5,2020,35,3,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",15.96486881
"3719",2020-05-14,14,5,2020,23,3,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",17.96426414
"3720",2020-05-13,13,5,2020,16,5,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",17.26750516
"3721",2020-05-12,12,5,2020,52,10,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",17.50985611
"3722",2020-05-11,11,5,2020,20,4,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",17.38868064
"3723",2020-05-10,10,5,2020,0,0,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",17.72191319
"3724",2020-05-09,9,5,2020,43,8,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",19.69101466
"3725",2020-05-08,8,5,2020,40,4,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",18.60043538
"3726",2020-05-07,7,5,2020,41,7,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",18.7821986
"3727",2020-05-06,6,5,2020,20,1,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",18.35808443
