"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"3704",2020-07-12,12,7,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",8.20418257
"3705",2020-07-11,11,7,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",8.20418257
"3706",2020-07-10,10,7,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",9.76688401
"3707",2020-07-09,9,7,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",9.76688401
"3708",2020-07-08,8,7,2020,39,0,"Botswana","BW","BWA",2303703,"Africa",9.76688401
"3709",2020-07-07,7,7,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",8.07395745
"3710",2020-07-06,6,7,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",8.07395745
"3711",2020-07-05,5,7,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",8.07395745
"3712",2020-07-04,4,7,2020,48,0,"Botswana","BW","BWA",2303703,"Africa",8.07395745
"3713",2020-07-03,3,7,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",6.42443926
"3714",2020-07-02,2,7,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",7.24919836
"3715",2020-07-01,1,7,2020,52,0,"Botswana","BW","BWA",2303703,"Africa",7.24919836
"3716",2020-06-30,30,6,2020,50,0,"Botswana","BW","BWA",2303703,"Africa",4.99196294
"3717",2020-06-29,29,6,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",2.82154427
"3718",2020-06-28,28,6,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",2.82154427
"3719",2020-06-27,27,6,2020,36,0,"Botswana","BW","BWA",2303703,"Africa",2.82154427
"3720",2020-06-26,26,6,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",1.77974331
"3721",2020-06-25,25,6,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",1.77974331
"3722",2020-06-24,24,6,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",2.04019355
"3723",2020-06-23,23,6,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",2.04019355
"3724",2020-06-22,22,6,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",2.1270103
"3725",2020-06-21,21,6,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",2.1270103
"3726",2020-06-20,20,6,2020,10,0,"Botswana","BW","BWA",2303703,"Africa",2.1270103
"3727",2020-06-19,19,6,2020,19,0,"Botswana","BW","BWA",2303703,"Africa",1.69292656
"3728",2020-06-18,18,6,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",0.86816747
"3729",2020-06-17,17,6,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",0.95498421
"3730",2020-06-16,16,6,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",0.95498421
"3731",2020-06-15,15,6,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",0.95498421
"3732",2020-06-14,14,6,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",1.08520933
"3733",2020-06-13,13,6,2020,12,0,"Botswana","BW","BWA",2303703,"Africa",1.08520933
"3734",2020-06-12,12,6,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",0.56430885
"3735",2020-06-11,11,6,2020,6,0,"Botswana","BW","BWA",2303703,"Africa",0.56430885
"3736",2020-06-10,10,6,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",0.30385861
"3737",2020-06-09,9,6,2020,2,0,"Botswana","BW","BWA",2303703,"Africa",0.30385861
"3738",2020-06-08,8,6,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",0.21704187
"3739",2020-06-07,7,6,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",0.43408373
"3740",2020-06-06,6,6,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",0.43408373
"3741",2020-06-05,5,6,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",0.47749211
"3742",2020-06-04,4,6,2020,2,0,"Botswana","BW","BWA",2303703,"Africa",0.47749211
"3743",2020-06-03,3,6,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",0.56430885
"3744",2020-06-02,2,6,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",0.56430885
"3745",2020-06-01,1,6,2020,3,0,"Botswana","BW","BWA",2303703,"Africa",0.56430885
"3746",2020-05-31,31,5,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",0.47749211
"3747",2020-05-30,30,5,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",0.47749211
"3748",2020-05-29,29,5,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",0.47749211
"3749",2020-05-28,28,5,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",0.47749211
"3750",2020-05-27,27,5,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",0.47749211
"3751",2020-05-26,26,5,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",0.47749211
"3752",2020-05-25,25,5,2020,5,0,"Botswana","BW","BWA",2303703,"Africa",0.52090048
"3753",2020-05-24,24,5,2020,0,0,"Botswana","BW","BWA",2303703,"Africa",0.30385861
