"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"4324",2020-07-15,15,7,2020,234,7,"Bulgaria","BG","BGR",7000039,"Europe",37.94264575
"4325",2020-07-14,14,7,2020,159,8,"Bulgaria","BG","BGR",7000039,"Europe",36.85693751
"4326",2020-07-13,13,7,2020,77,6,"Bulgaria","BG","BGR",7000039,"Europe",36.58551045
"4327",2020-07-12,12,7,2020,211,0,"Bulgaria","BG","BGR",7000039,"Europe",36.42836847
"4328",2020-07-11,11,7,2020,292,0,"Bulgaria","BG","BGR",7000039,"Europe",35.01409064
"4329",2020-07-10,10,7,2020,330,3,"Bulgaria","BG","BGR",7000039,"Europe",32.34267695
"4330",2020-07-09,9,7,2020,240,5,"Bulgaria","BG","BGR",7000039,"Europe",29.99983286
"4331",2020-07-08,8,7,2020,188,4,"Bulgaria","BG","BGR",7000039,"Europe",28.39984177
"4332",2020-07-07,7,7,2020,174,4,"Bulgaria","BG","BGR",7000039,"Europe",27.57127496
"4333",2020-07-06,6,7,2020,63,5,"Bulgaria","BG","BGR",7000039,"Europe",26.21413966
"4334",2020-07-05,5,7,2020,180,2,"Bulgaria","BG","BGR",7000039,"Europe",25.78557062
"4335",2020-07-04,4,7,2020,182,7,"Bulgaria","BG","BGR",7000039,"Europe",24.88557564
"4336",2020-07-03,3,7,2020,161,0,"Bulgaria","BG","BGR",7000039,"Europe",23.44272653
"4337",2020-07-02,2,7,2020,165,2,"Bulgaria","BG","BGR",7000039,"Europe",23.02844313
"4338",2020-07-01,1,7,2020,158,7,"Bulgaria","BG","BGR",7000039,"Europe",21.94273489
"4339",2020-06-30,30,6,2020,140,4,"Bulgaria","BG","BGR",7000039,"Europe",21.28559569
"4340",2020-06-29,29,6,2020,66,3,"Bulgaria","BG","BGR",7000039,"Europe",20.01417421
"4341",2020-06-28,28,6,2020,112,1,"Bulgaria","BG","BGR",7000039,"Europe",19.41417755
"4342",2020-06-27,27,6,2020,105,4,"Bulgaria","BG","BGR",7000039,"Europe",18.88560907
"4343",2020-06-26,26,6,2020,166,2,"Bulgaria","BG","BGR",7000039,"Europe",18.88560907
"4344",2020-06-25,25,6,2020,128,1,"Bulgaria","BG","BGR",7000039,"Europe",19.32846374
"4345",2020-06-24,24,6,2020,130,1,"Bulgaria","BG","BGR",7000039,"Europe",17.4999025
"4346",2020-06-23,23,6,2020,79,8,"Bulgaria","BG","BGR",7000039,"Europe",16.77133513
"4347",2020-06-22,22,6,2020,33,0,"Bulgaria","BG","BGR",7000039,"Europe",16.82847767
"4348",2020-06-21,21,6,2020,117,6,"Bulgaria","BG","BGR",7000039,"Europe",16.58562188
"4349",2020-06-20,20,6,2020,81,3,"Bulgaria","BG","BGR",7000039,"Europe",15.52848491
"4350",2020-06-19,19,6,2020,132,6,"Bulgaria","BG","BGR",7000039,"Europe",15.55705618
"4351",2020-06-18,18,6,2020,89,3,"Bulgaria","BG","BGR",7000039,"Europe",13.6713524
"4352",2020-06-17,17,6,2020,112,5,"Bulgaria","BG","BGR",7000039,"Europe",13.07135575
"4353",2020-06-16,16,6,2020,51,2,"Bulgaria","BG","BGR",7000039,"Europe",11.82850553
"4354",2020-06-15,15,6,2020,24,2,"Bulgaria","BG","BGR",7000039,"Europe",11.09993816
"4355",2020-06-14,14,6,2020,75,0,"Bulgaria","BG","BGR",7000039,"Europe",10.75708292
"4356",2020-06-13,13,6,2020,105,4,"Bulgaria","BG","BGR",7000039,"Europe",9.88565921
"4357",2020-06-12,12,6,2020,197,1,"Bulgaria","BG","BGR",7000039,"Europe",8.58566645
