"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"4514",2020-07-17,17,7,2020,0,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.28541365
"4515",2020-07-16,16,7,2020,0,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.37399029
"4516",2020-07-15,15,7,2020,2,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.37399029
"4517",2020-07-14,14,7,2020,0,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.37891122
"4518",2020-07-13,13,7,2020,3,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.37891122
"4519",2020-07-12,12,7,2020,13,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.45272509
"4520",2020-07-11,11,7,2020,0,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.38875307
"4521",2020-07-10,10,7,2020,15,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.38875307
"4522",2020-07-09,9,7,2020,2,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.34938567
"4523",2020-07-08,8,7,2020,3,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.41335769
"4524",2020-07-07,7,7,2020,13,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.45764602
"4525",2020-07-06,6,7,2020,0,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.41335769
"4526",2020-07-05,5,7,2020,0,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.41827862
"4527",2020-07-04,4,7,2020,7,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.42812047
"4528",2020-07-03,3,7,2020,18,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.39859492
"4529",2020-07-02,2,7,2020,0,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.31001827
"4530",2020-07-01,1,7,2020,3,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.32970197
"4531",2020-06-30,30,6,2020,0,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.31986012
"4532",2020-06-29,29,6,2020,18,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.31986012
"4533",2020-06-28,28,6,2020,0,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.23128347
"4534",2020-06-27,27,6,2020,0,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.24112532
"4535",2020-06-26,26,6,2020,7,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.24112532
"4536",2020-06-25,25,6,2020,15,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.21159977
"4537",2020-06-24,24,6,2020,12,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.1377859
"4538",2020-06-23,23,6,2020,4,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.08365572
"4539",2020-06-22,22,6,2020,1,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.06889295
"4540",2020-06-21,21,6,2020,2,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.06889295
"4541",2020-06-20,20,6,2020,1,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.0590511
"4542",2020-06-19,19,6,2020,0,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.06889295
"4543",2020-06-18,18,6,2020,4,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.07381387
"4544",2020-06-17,17,6,2020,1,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.0590511
"4545",2020-06-16,16,6,2020,0,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.06397202
"4546",2020-06-15,15,6,2020,0,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.06397202
"4547",2020-06-14,14,6,2020,2,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.20175792
"4548",2020-06-13,13,6,2020,0,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.22144162
"4549",2020-06-12,12,6,2020,1,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.22144162
"4550",2020-06-11,11,6,2020,0,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.22636255
"4551",2020-06-10,10,6,2020,1,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.22636255
"4552",2020-06-09,9,6,2020,1,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.24112532
"4553",2020-06-08,8,6,2020,1,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.28049272
"4554",2020-06-07,7,6,2020,0,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.36414844
"4555",2020-06-06,6,6,2020,3,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.36414844
"4556",2020-06-05,5,6,2020,1,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.35922752
"4557",2020-06-04,4,6,2020,1,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.36906937
"4558",2020-06-03,3,6,2020,2,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.37891122
"4559",2020-06-02,2,6,2020,0,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.41827862
"4560",2020-06-01,1,6,2020,28,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.41827862
"4561",2020-05-31,31,5,2020,6,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.34938567
"4562",2020-05-30,30,5,2020,0,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.31986012
"4563",2020-05-29,29,5,2020,2,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.36414844
"4564",2020-05-28,28,5,2020,0,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.35430659
"4565",2020-05-27,27,5,2020,4,1,"Burkina_Faso","BF","BFA",20321383,"Africa",0.38875307
"4566",2020-05-26,26,5,2020,9,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.39859492
"4567",2020-05-25,25,5,2020,18,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.39859492
"4568",2020-05-24,24,5,2020,0,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.32478104
"4569",2020-05-23,23,5,2020,2,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.34446474
"4570",2020-05-22,22,5,2020,3,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.37399029
"4571",2020-05-21,21,5,2020,3,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.39367399
"4572",2020-05-20,20,5,2020,10,1,"Burkina_Faso","BF","BFA",20321383,"Africa",0.58066914
"4573",2020-05-19,19,5,2020,0,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.61019469
"4574",2020-05-18,18,5,2020,14,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.65940394
"4575",2020-05-17,17,5,2020,0,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.63972024
"4576",2020-05-16,16,5,2020,9,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.65448301
"4577",2020-05-15,15,5,2020,0,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.62987839
"4578",2020-05-14,14,5,2020,7,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.64956209
"4579",2020-05-13,13,5,2020,6,1,"Burkina_Faso","BF","BFA",20321383,"Africa",0.62987839
"4580",2020-05-12,12,5,2020,9,1,"Burkina_Faso","BF","BFA",20321383,"Africa",0.61511561
"4581",2020-05-11,11,5,2020,3,1,"Burkina_Faso","BF","BFA",20321383,"Africa",0.58559007
"4582",2020-05-10,10,5,2020,4,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.58559007
"4583",2020-05-09,9,5,2020,8,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.58066914
"4584",2020-05-08,8,5,2020,7,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.59051099
"4585",2020-05-07,7,5,2020,41,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.59051099
"4586",2020-05-06,6,5,2020,16,2,"Burkina_Faso","BF","BFA",20321383,"Africa",0.43304139
"4587",2020-05-05,5,5,2020,10,1,"Burkina_Faso","BF","BFA",20321383,"Africa",0.44780417
"4588",2020-05-04,4,5,2020,10,1,"Burkina_Faso","BF","BFA",20321383,"Africa",0.42319954
"4589",2020-05-03,3,5,2020,3,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.42812047
"4590",2020-05-02,2,5,2020,4,1,"Burkina_Faso","BF","BFA",20321383,"Africa",0.45272509
"4591",2020-05-01,1,5,2020,4,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.50193434
"4592",2020-04-30,30,4,2020,3,1,"Burkina_Faso","BF","BFA",20321383,"Africa",0.48717157
"4593",2020-04-29,29,4,2020,3,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.54130174
"4594",2020-04-28,28,4,2020,3,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.59051099
"4595",2020-04-27,27,4,2020,3,1,"Burkina_Faso","BF","BFA",20321383,"Africa",0.66432486
"4596",2020-04-26,26,4,2020,3,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.71353411
"4597",2020-04-25,25,4,2020,10,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.87592464
"4598",2020-04-24,24,4,2020,7,2,"Burkina_Faso","BF","BFA",20321383,"Africa",0.85132001
"4599",2020-04-23,23,4,2020,9,1,"Burkina_Faso","BF","BFA",20321383,"Africa",0.95958036
"4600",2020-04-22,22,4,2020,19,0,"Burkina_Faso","BF","BFA",20321383,"Africa",1.06291978
"4601",2020-04-21,21,4,2020,5,2,"Burkina_Faso","BF","BFA",20321383,"Africa",1.06784071
"4602",2020-04-20,20,4,2020,11,0,"Burkina_Faso","BF","BFA",20321383,"Africa",1.13673366
"4603",2020-04-19,19,4,2020,8,1,"Burkina_Faso","BF","BFA",20321383,"Africa",1.29420325
"4604",2020-04-18,18,4,2020,14,3,"Burkina_Faso","BF","BFA",20321383,"Africa",1.3237288
"4605",2020-04-17,17,4,2020,1,0,"Burkina_Faso","BF","BFA",20321383,"Africa",1.25483585
"4606",2020-04-16,16,4,2020,14,2,"Burkina_Faso","BF","BFA",20321383,"Africa",1.3827799
"4607",2020-04-15,15,4,2020,13,2,"Burkina_Faso","BF","BFA",20321383,"Africa",1.38770083
"4608",2020-04-14,14,4,2020,18,1,"Burkina_Faso","BF","BFA",20321383,"Africa",1.441831
"4609",2020-04-13,13,4,2020,13,0,"Burkina_Faso","BF","BFA",20321383,"Africa",1.5599332
"4610",2020-04-12,12,4,2020,36,1,"Burkina_Faso","BF","BFA",20321383,"Africa",1.49596118
"4611",2020-04-11,11,4,2020,5,2,"Burkina_Faso","BF","BFA",20321383,"Africa",1.48611933
"4612",2020-04-10,10,4,2020,29,1,"Burkina_Faso","BF","BFA",20321383,"Africa",1.4615147
"4613",2020-04-09,9,4,2020,30,4,"Burkina_Faso","BF","BFA",20321383,"Africa",1.47627748
"4614",2020-04-08,8,4,2020,20,2,"Burkina_Faso","BF","BFA",20321383,"Africa",1.4024636
"4615",2020-04-07,7,4,2020,19,0,"Burkina_Faso","BF","BFA",20321383,"Africa",1.4221473
"4616",2020-04-06,6,4,2020,43,1,"Burkina_Faso","BF","BFA",20321383,"Africa",1.3827799
"4617",2020-04-05,5,4,2020,14,0,"Burkina_Faso","BF","BFA",20321383,"Africa",1.17118013
"4618",2020-04-04,4,4,2020,0,0,"Burkina_Faso","BF","BFA",20321383,"Africa",1.22038938
"4619",2020-04-03,3,4,2020,27,2,"Burkina_Faso","BF","BFA",20321383,"Africa",1.25483585
"4620",2020-04-02,2,4,2020,15,2,"Burkina_Faso","BF","BFA",20321383,"Africa",1.15641736
"4621",2020-04-01,1,4,2020,24,0,"Burkina_Faso","BF","BFA",20321383,"Africa",1.11212903
"4622",2020-03-31,31,3,2020,42,3,"Burkina_Faso","BF","BFA",20321383,"Africa",0.99402683
"4623",2020-03-30,30,3,2020,0,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.87100371
"4624",2020-03-29,29,3,2020,34,6,"Burkina_Faso","BF","BFA",20321383,"Africa",0.87100371
"4625",2020-03-28,28,3,2020,0,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.70861319
"4626",2020-03-27,27,3,2020,32,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.70861319
"4627",2020-03-26,26,3,2020,15,0,"Burkina_Faso","BF","BFA",20321383,"Africa",0.56098544
"4628",2020-03-25,25,3,2020,24,0,"Burkina_Faso","BF","BFA",20321383,"Africa",NA
"4629",2020-03-24,24,3,2020,11,0,"Burkina_Faso","BF","BFA",20321383,"Africa",NA
"4630",2020-03-23,23,3,2020,0,0,"Burkina_Faso","BF","BFA",20321383,"Africa",NA
"4631",2020-03-22,22,3,2020,24,2,"Burkina_Faso","BF","BFA",20321383,"Africa",NA
"4632",2020-03-21,21,3,2020,7,0,"Burkina_Faso","BF","BFA",20321383,"Africa",NA
"4633",2020-03-20,20,3,2020,7,0,"Burkina_Faso","BF","BFA",20321383,"Africa",NA
"4634",2020-03-19,19,3,2020,6,1,"Burkina_Faso","BF","BFA",20321383,"Africa",NA
"4635",2020-03-18,18,3,2020,0,0,"Burkina_Faso","BF","BFA",20321383,"Africa",NA
"4636",2020-03-17,17,3,2020,17,0,"Burkina_Faso","BF","BFA",20321383,"Africa",NA
"4637",2020-03-16,16,3,2020,0,0,"Burkina_Faso","BF","BFA",20321383,"Africa",NA
"4638",2020-03-15,15,3,2020,1,0,"Burkina_Faso","BF","BFA",20321383,"Africa",NA
"4639",2020-03-12,12,3,2020,0,0,"Burkina_Faso","BF","BFA",20321383,"Africa",NA
"4640",2020-03-11,11,3,2020,2,0,"Burkina_Faso","BF","BFA",20321383,"Africa",NA
