"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"4929",2020-07-26,26,7,2020,16,0,"Burundi","BI","BDI",11530577,"Africa",0.96265781
"4930",2020-07-25,25,7,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",1.03203855
"4931",2020-07-24,24,7,2020,17,0,"Burundi","BI","BDI",11530577,"Africa",1.0927467
"4932",2020-07-23,23,7,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",1.18814522
"4933",2020-07-22,22,7,2020,6,0,"Burundi","BI","BDI",11530577,"Africa",1.18814522
"4934",2020-07-21,21,7,2020,12,0,"Burundi","BI","BDI",11530577,"Africa",1.13610967
"4935",2020-07-20,20,7,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",1.03203855
"4936",2020-07-19,19,7,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",1.03203855
"4937",2020-07-18,18,7,2020,7,0,"Burundi","BI","BDI",11530577,"Africa",1.03203855
"4938",2020-07-17,17,7,2020,34,0,"Burundi","BI","BDI",11530577,"Africa",1.15345485
"4939",2020-07-16,16,7,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.8585867
"4940",2020-07-15,15,7,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.8585867
"4941",2020-07-14,14,7,2020,19,0,"Burundi","BI","BDI",11530577,"Africa",0.8585867
"4942",2020-07-13,13,7,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.69380743
"4943",2020-07-12,12,7,2020,24,0,"Burundi","BI","BDI",11530577,"Africa",0.91929485
"4944",2020-07-11,11,7,2020,7,0,"Burundi","BI","BDI",11530577,"Africa",0.71115262
"4945",2020-07-10,10,7,2020,28,0,"Burundi","BI","BDI",11530577,"Africa",0.65044447
"4946",2020-07-09,9,7,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.40761187
"4947",2020-07-08,8,7,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.40761187
"4948",2020-07-07,7,7,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.40761187
"4949",2020-07-06,6,7,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.40761187
"4950",2020-07-05,5,7,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.40761187
"4951",2020-07-04,4,7,2020,21,0,"Burundi","BI","BDI",11530577,"Africa",0.75451558
"4952",2020-07-03,3,7,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.57239113
"4953",2020-07-02,2,7,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.57239113
"4954",2020-07-01,1,7,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.57239113
"4955",2020-06-30,30,6,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.57239113
"4956",2020-06-29,29,6,2020,26,0,"Burundi","BI","BDI",11530577,"Africa",0.65911706
"4957",2020-06-28,28,6,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.43362964
"4958",2020-06-27,27,6,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.43362964
"4959",2020-06-26,26,6,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.43362964
"4960",2020-06-25,25,6,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.52902817
"4961",2020-06-24,24,6,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.52902817
"4962",2020-06-23,23,6,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.52902817
"4963",2020-06-22,22,6,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.52902817
"4964",2020-06-21,21,6,2020,40,0,"Burundi","BI","BDI",11530577,"Africa",0.52902817
"4965",2020-06-20,20,6,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.35557631
"4966",2020-06-19,19,6,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.35557631
"4967",2020-06-18,18,6,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.35557631
"4968",2020-06-17,17,6,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.35557631
"4969",2020-06-16,16,6,2020,10,0,"Burundi","BI","BDI",11530577,"Africa",0.35557631
"4970",2020-06-15,15,6,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.26885038
"4971",2020-06-14,14,6,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.45097483
"4972",2020-06-13,13,6,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.45097483
"4973",2020-06-12,12,6,2020,11,0,"Burundi","BI","BDI",11530577,"Africa",0.45097483
"4974",2020-06-11,11,6,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.35557631
"4975",2020-06-10,10,6,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.35557631
"4976",2020-06-09,9,6,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.35557631
"4977",2020-06-08,8,6,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.35557631
"4978",2020-06-07,7,6,2020,20,0,"Burundi","BI","BDI",11530577,"Africa",0.35557631
"4979",2020-06-06,6,6,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.18212445
"4980",2020-06-05,5,6,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.18212445
"4981",2020-06-04,4,6,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.18212445
"4982",2020-06-03,3,6,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.18212445
"4983",2020-06-02,2,6,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.18212445
"4984",2020-06-01,1,6,2020,21,0,"Burundi","BI","BDI",11530577,"Africa",0.18212445
"4985",2020-05-31,31,5,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.13008889
"4986",2020-05-30,30,5,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.13008889
"4987",2020-05-29,29,5,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.13008889
"4988",2020-05-28,28,5,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.13008889
"4989",2020-05-27,27,5,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.13008889
"4990",2020-05-26,26,5,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.19946964
"4991",2020-05-25,25,5,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.19946964
"4992",2020-05-24,24,5,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.19946964
"4993",2020-05-23,23,5,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.19946964
"4994",2020-05-22,22,5,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.19946964
"4995",2020-05-21,21,5,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.19946964
"4996",2020-05-20,20,5,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.19946964
"4997",2020-05-19,19,5,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.19946964
"4998",2020-05-18,18,5,2020,15,0,"Burundi","BI","BDI",11530577,"Africa",0.19946964
"4999",2020-05-17,17,5,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.06938074
"5000",2020-05-16,16,5,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.10407111
"5001",2020-05-15,15,5,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.10407111
"5002",2020-05-14,14,5,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.10407111
"5003",2020-05-13,13,5,2020,8,0,"Burundi","BI","BDI",11530577,"Africa",0.10407111
"5004",2020-05-12,12,5,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.03469037
"5005",2020-05-11,11,5,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.03469037
"5006",2020-05-10,10,5,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.03469037
"5007",2020-05-09,9,5,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.06070815
"5008",2020-05-08,8,5,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.06938074
"5009",2020-05-07,7,5,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.06938074
"5010",2020-05-06,6,5,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.11274371
"5011",2020-05-05,5,5,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.11274371
"5012",2020-05-04,4,5,2020,0,0,"Burundi","BI","BDI",11530577,"Africa",0.11274371
"5013",2020-05-03,3,5,2020,4,0,"Burundi","BI","BDI",11530577,"Africa",0.11274371
