"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"4584",2020-07-12,12,7,2020,15,0,"Cambodia","KH","KHM",16486542,"Asia",0.0909833
"4585",2020-07-11,11,7,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.01213111
"4586",2020-07-10,10,7,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.06672109
"4587",2020-07-09,9,7,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.06672109
"4588",2020-07-08,8,7,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.06672109
"4589",2020-07-07,7,7,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.06672109
"4590",2020-07-06,6,7,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.07278664
"4591",2020-07-05,5,7,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.07278664
"4592",2020-07-04,4,7,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.07278664
"4593",2020-07-03,3,7,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.07278664
"4594",2020-07-02,2,7,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.07278664
"4595",2020-07-01,1,7,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.07885219
"4596",2020-06-30,30,6,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.07885219
"4597",2020-06-29,29,6,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.07885219
"4598",2020-06-28,28,6,2020,2,0,"Cambodia","KH","KHM",16486542,"Asia",0.07885219
"4599",2020-06-27,27,6,2020,9,0,"Cambodia","KH","KHM",16486542,"Asia",0.07885219
"4600",2020-06-26,26,6,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.02426221
"4601",2020-06-25,25,6,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.02426221
"4602",2020-06-24,24,6,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.02426221
"4603",2020-06-23,23,6,2020,1,0,"Cambodia","KH","KHM",16486542,"Asia",0.02426221
"4604",2020-06-22,22,6,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.01819666
"4605",2020-06-21,21,6,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.02426221
"4606",2020-06-20,20,6,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.02426221
"4607",2020-06-19,19,6,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.02426221
"4608",2020-06-18,18,6,2020,1,0,"Cambodia","KH","KHM",16486542,"Asia",0.02426221
"4609",2020-06-17,17,6,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.01819666
"4610",2020-06-16,16,6,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.01819666
"4611",2020-06-15,15,6,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.01819666
"4612",2020-06-14,14,6,2020,2,0,"Cambodia","KH","KHM",16486542,"Asia",0.01819666
"4613",2020-06-13,13,6,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.00606555
"4614",2020-06-12,12,6,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.01213111
"4615",2020-06-11,11,6,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.01213111
"4616",2020-06-10,10,6,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.01213111
"4617",2020-06-09,9,6,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.01213111
"4618",2020-06-08,8,6,2020,1,0,"Cambodia","KH","KHM",16486542,"Asia",0.01213111
"4619",2020-06-07,7,6,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.00606555
"4620",2020-06-06,6,6,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.00606555
"4621",2020-06-05,5,6,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.01213111
"4622",2020-06-04,4,6,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.01819666
"4623",2020-06-03,3,6,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.01819666
"4624",2020-06-02,2,6,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.01819666
"4625",2020-06-01,1,6,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.01819666
"4626",2020-05-31,31,5,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.01819666
"4627",2020-05-30,30,5,2020,1,0,"Cambodia","KH","KHM",16486542,"Asia",0.01819666
"4628",2020-05-29,29,5,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.01213111
"4629",2020-05-28,28,5,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.01213111
"4630",2020-05-27,27,5,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.01213111
"4631",2020-05-26,26,5,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.01213111
"4632",2020-05-25,25,5,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.01213111
"4633",2020-05-24,24,5,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.01213111
"4634",2020-05-23,23,5,2020,1,0,"Cambodia","KH","KHM",16486542,"Asia",0.01213111
"4635",2020-05-22,22,5,2020,1,0,"Cambodia","KH","KHM",16486542,"Asia",0.00606555
"4636",2020-05-21,21,5,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0
"4637",2020-05-20,20,5,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0
"4638",2020-05-19,19,5,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0
"4639",2020-05-18,18,5,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0
"4640",2020-05-17,17,5,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0
"4641",2020-05-16,16,5,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0
"4642",2020-05-15,15,5,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0
"4643",2020-05-14,14,5,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0
"4644",2020-05-13,13,5,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0
"4645",2020-05-12,12,5,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0
"4646",2020-05-11,11,5,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0
"4647",2020-05-10,10,5,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0
"4648",2020-05-09,9,5,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0
"4649",2020-05-08,8,5,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0
"4650",2020-05-07,7,5,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0
"4651",2020-05-06,6,5,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0
"4652",2020-05-05,5,5,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0
"4653",2020-05-04,4,5,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0
"4654",2020-05-03,3,5,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0
"4655",2020-05-02,2,5,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0
"4656",2020-05-01,1,5,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0
"4657",2020-04-30,30,4,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0
"4658",2020-04-29,29,4,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0
"4659",2020-04-28,28,4,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0
"4660",2020-04-27,27,4,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0
"4661",2020-04-26,26,4,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0
"4662",2020-04-25,25,4,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.01213111
"4663",2020-04-24,24,4,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.01819666
"4664",2020-04-23,23,4,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.02426221
"4665",2020-04-22,22,4,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.03032777
"4666",2020-04-21,21,4,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.04245887
"4667",2020-04-20,20,4,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.04852443
"4668",2020-04-19,19,4,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.04852443
"4669",2020-04-18,18,4,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.04852443
"4670",2020-04-17,17,4,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.04852443
"4671",2020-04-16,16,4,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.07278664
"4672",2020-04-15,15,4,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.07885219
"4673",2020-04-14,14,4,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.07885219
"4674",2020-04-13,13,4,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.0909833
"4675",2020-04-12,12,4,2020,2,0,"Cambodia","KH","KHM",16486542,"Asia",0.11524551
"4676",2020-04-11,11,4,2020,1,0,"Cambodia","KH","KHM",16486542,"Asia",0.10917996
"4677",2020-04-10,10,4,2020,1,0,"Cambodia","KH","KHM",16486542,"Asia",0.12737662
"4678",2020-04-09,9,4,2020,1,0,"Cambodia","KH","KHM",16486542,"Asia",0.13344217
"4679",2020-04-08,8,4,2020,2,0,"Cambodia","KH","KHM",16486542,"Asia",0.15770439
"4680",2020-04-07,7,4,2020,1,0,"Cambodia","KH","KHM",16486542,"Asia",0.16983549
"4681",2020-04-06,6,4,2020,0,0,"Cambodia","KH","KHM",16486542,"Asia",0.16983549
