"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"4872",2020-07-15,15,7,2020,0,0,"Cameroon","CM","CMR",25876387,"Africa",9.97434456
"4873",2020-07-14,14,7,2020,0,0,"Cameroon","CM","CMR",25876387,"Africa",9.97434456
"4874",2020-07-13,13,7,2020,257,0,"Cameroon","CM","CMR",25876387,"Africa",9.97434456
"4875",2020-07-12,12,7,2020,0,0,"Cameroon","CM","CMR",25876387,"Africa",8.98116109
"4876",2020-07-11,11,7,2020,0,0,"Cameroon","CM","CMR",25876387,"Africa",8.98116109
"4877",2020-07-10,10,7,2020,0,0,"Cameroon","CM","CMR",25876387,"Africa",8.98116109
"4878",2020-07-09,9,7,2020,0,0,"Cameroon","CM","CMR",25876387,"Africa",10.22553883
"4879",2020-07-08,8,7,2020,879,29,"Cameroon","CM","CMR",25876387,"Africa",11.11051554
"4880",2020-07-07,7,7,2020,326,2,"Cameroon","CM","CMR",25876387,"Africa",8.28941073
"4881",2020-07-06,6,7,2020,1119,15,"Cameroon","CM","CMR",25876387,"Africa",8.11937153
"4882",2020-07-05,5,7,2020,0,0,"Cameroon","CM","CMR",25876387,"Africa",5.06639509
"4883",2020-07-04,4,7,2020,0,0,"Cameroon","CM","CMR",25876387,"Africa",5.06639509
"4884",2020-07-03,3,7,2020,0,0,"Cameroon","CM","CMR",25876387,"Africa",7.55128604
"4885",2020-07-02,2,7,2020,0,0,"Cameroon","CM","CMR",25876387,"Africa",10.54243005
"4886",2020-07-01,1,7,2020,0,0,"Cameroon","CM","CMR",25876387,"Africa",10.54243005
"4887",2020-06-30,30,6,2020,0,0,"Cameroon","CM","CMR",25876387,"Africa",10.54243005
"4888",2020-06-29,29,6,2020,0,0,"Cameroon","CM","CMR",25876387,"Africa",10.54243005
"4889",2020-06-28,28,6,2020,0,0,"Cameroon","CM","CMR",25876387,"Africa",11.67087198
"4890",2020-06-27,27,6,2020,0,0,"Cameroon","CM","CMR",25876387,"Africa",13.12393419
"4891",2020-06-26,26,6,2020,322,0,"Cameroon","CM","CMR",25876387,"Africa",14.15576294
