"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"5067",2020-07-17,17,7,2020,437,17,"Canada","CA","CAN",37411038,"America",12.00982448
"5068",2020-07-16,16,7,2020,341,12,"Canada","CA","CAN",37411038,"America",12.35731551
"5069",2020-07-15,15,7,2020,331,8,"Canada","CA","CAN",37411038,"America",11.44581981
"5070",2020-07-14,14,7,2020,565,7,"Canada","CA","CAN",37411038,"America",11.32553446
"5071",2020-07-13,13,7,2020,244,10,"Canada","CA","CAN",37411038,"America",11.60085427
"5072",2020-07-12,12,7,2020,221,14,"Canada","CA","CAN",37411038,"America",11.53135607
"5073",2020-07-11,11,7,2020,321,10,"Canada","CA","CAN",37411038,"America",11.5767972
"5074",2020-07-10,10,7,2020,371,12,"Canada","CA","CAN",37411038,"America",11.17851902
"5075",2020-07-09,9,7,2020,267,26,"Canada","CA","CAN",37411038,"America",11.17317301
"5076",2020-07-08,8,7,2020,232,18,"Canada","CA","CAN",37411038,"America",11.2052491
"5077",2020-07-07,7,7,2020,399,9,"Canada","CA","CAN",37411038,"America",11.45651185
"5078",2020-07-06,6,7,2020,219,10,"Canada","CA","CAN",37411038,"America",11.22128715
"5079",2020-07-05,5,7,2020,226,11,"Canada","CA","CAN",37411038,"America",11.48591493
"5080",2020-07-04,4,7,2020,319,21,"Canada","CA","CAN",37411038,"America",11.92428823
"5081",2020-07-03,3,7,2020,567,51,"Canada","CA","CAN",37411038,"America",12.16485894
"5082",2020-07-02,2,7,2020,0,0,"Canada","CA","CAN",37411038,"America",11.63025736
"5083",2020-07-01,1,7,2020,286,25,"Canada","CA","CAN",37411038,"America",12.66203841
"5084",2020-06-30,30,6,2020,668,44,"Canada","CA","CAN",37411038,"America",12.75292068
"5085",2020-06-29,29,6,2020,218,6,"Canada","CA","CAN",37411038,"America",11.92963424
"5086",2020-06-28,28,6,2020,238,8,"Canada","CA","CAN",37411038,"America",12.3546425
"5087",2020-06-27,27,6,2020,172,4,"Canada","CA","CAN",37411038,"America",12.96676131
"5088",2020-06-26,26,6,2020,369,20,"Canada","CA","CAN",37411038,"America",13.61095621
"5089",2020-06-25,25,6,2020,279,30,"Canada","CA","CAN",37411038,"America",13.70718449
"5090",2020-06-24,24,6,2020,326,18,"Canada","CA","CAN",37411038,"America",14.22307502
"5091",2020-06-23,23,6,2020,311,6,"Canada","CA","CAN",37411038,"America",14.44493467
"5092",2020-06-22,22,6,2020,318,20,"Canada","CA","CAN",37411038,"America",15.07041852
"5093",2020-06-21,21,6,2020,390,64,"Canada","CA","CAN",37411038,"America",15.93647308
"5094",2020-06-20,20,6,2020,409,46,"Canada","CA","CAN",37411038,"America",16.8239117
"5095",2020-06-19,19,6,2020,367,46,"Canada","CA","CAN",37411038,"America",17.35851328
"5096",2020-06-18,18,6,2020,386,41,"Canada","CA","CAN",37411038,"America",18.09091745
