"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"5591",2020-07-26,26,7,2020,38,0,"Cape_Verde","CV","CPV",549936,"Africa",121.28684065
"5592",2020-07-25,25,7,2020,30,1,"Cape_Verde","CV","CPV",549936,"Africa",121.28684065
"5593",2020-07-24,24,7,2020,36,0,"Cape_Verde","CV","CPV",549936,"Africa",115.83166041
"5594",2020-07-23,23,7,2020,47,0,"Cape_Verde","CV","CPV",549936,"Africa",111.28567688
"5595",2020-07-22,22,7,2020,36,0,"Cape_Verde","CV","CPV",549936,"Africa",110.55831951
"5596",2020-07-21,21,7,2020,28,0,"Cape_Verde","CV","CPV",549936,"Africa",110.55831951
"5597",2020-07-20,20,7,2020,29,0,"Cape_Verde","CV","CPV",549936,"Africa",107.64889005
"5598",2020-07-19,19,7,2020,75,1,"Cape_Verde","CV","CPV",549936,"Africa",108.01256874
"5599",2020-07-18,18,7,2020,45,1,"Cape_Verde","CV","CPV",549936,"Africa",101.28451311
"5600",2020-07-17,17,7,2020,57,0,"Cape_Verde","CV","CPV",549936,"Africa",107.83072939
"5601",2020-07-16,16,7,2020,57,0,"Cape_Verde","CV","CPV",549936,"Africa",103.64842454
"5602",2020-07-15,15,7,2020,58,0,"Cape_Verde","CV","CPV",549936,"Africa",100.55715574
"5603",2020-07-14,14,7,2020,24,0,"Cape_Verde","CV","CPV",549936,"Africa",101.28451311
"5604",2020-07-13,13,7,2020,107,0,"Cape_Verde","CV","CPV",549936,"Africa",98.73876233
"5605",2020-07-12,12,7,2020,38,0,"Cape_Verde","CV","CPV",549936,"Africa",90.91967065
"5606",2020-07-11,11,7,2020,0,0,"Cape_Verde","CV","CPV",549936,"Africa",95.64749353
"5607",2020-07-10,10,7,2020,11,1,"Cape_Verde","CV","CPV",549936,"Africa",100.01163772
"5608",2020-07-09,9,7,2020,43,0,"Cape_Verde","CV","CPV",549936,"Africa",98.73876233
"5609",2020-07-08,8,7,2020,36,1,"Cape_Verde","CV","CPV",549936,"Africa",94.01093945
"5610",2020-07-07,7,7,2020,12,0,"Cape_Verde","CV","CPV",549936,"Africa",94.37461814
"5611",2020-07-06,6,7,2020,31,1,"Cape_Verde","CV","CPV",549936,"Africa",102.01187047
"5612",2020-07-05,5,7,2020,38,1,"Cape_Verde","CV","CPV",549936,"Africa",101.28451311
"5613",2020-07-04,4,7,2020,81,0,"Cape_Verde","CV","CPV",549936,"Africa",97.10220826
"5614",2020-07-03,3,7,2020,34,0,"Cape_Verde","CV","CPV",549936,"Africa",86.91920514
"5615",2020-07-02,2,7,2020,40,0,"Cape_Verde","CV","CPV",549936,"Africa",86.37368712
"5616",2020-07-01,1,7,2020,62,3,"Cape_Verde","CV","CPV",549936,"Africa",81.10034622
"5617",2020-06-30,30,6,2020,10,0,"Cape_Verde","CV","CPV",549936,"Africa",73.64493323
"5618",2020-06-29,29,6,2020,64,0,"Cape_Verde","CV","CPV",549936,"Africa",73.64493323
"5619",2020-06-28,28,6,2020,64,2,"Cape_Verde","CV","CPV",549936,"Africa",66.37135958
"5620",2020-06-27,27,6,2020,24,2,"Cape_Verde","CV","CPV",549936,"Africa",60.00698263
"5621",2020-06-26,26,6,2020,4,0,"Cape_Verde","CV","CPV",549936,"Africa",62.91641209
"5622",2020-06-25,25,6,2020,17,0,"Cape_Verde","CV","CPV",549936,"Africa",69.82630706
"5623",2020-06-24,24,6,2020,38,0,"Cape_Verde","CV","CPV",549936,"Africa",72.1902185
"5624",2020-06-23,23,6,2020,54,0,"Cape_Verde","CV","CPV",549936,"Africa",68.55343167
"5625",2020-06-22,22,6,2020,27,0,"Cape_Verde","CV","CPV",549936,"Africa",61.09801868
"5626",2020-06-21,21,6,2020,15,0,"Cape_Verde","CV","CPV",549936,"Africa",58.37042856
"5627",2020-06-20,20,6,2020,25,1,"Cape_Verde","CV","CPV",549936,"Africa",56.73387449
"5628",2020-06-19,19,6,2020,31,0,"Cape_Verde","CV","CPV",549936,"Africa",58.37042856
"5629",2020-06-18,18,6,2020,11,0,"Cape_Verde","CV","CPV",549936,"Africa",57.27939251
"5630",2020-06-17,17,6,2020,21,0,"Cape_Verde","CV","CPV",549936,"Africa",57.27939251
"5631",2020-06-16,16,6,2020,10,1,"Cape_Verde","CV","CPV",549936,"Africa",54.91548107
"5632",2020-06-15,15,6,2020,24,0,"Cape_Verde","CV","CPV",549936,"Africa",57.27939251
"5633",2020-06-14,14,6,2020,29,0,"Cape_Verde","CV","CPV",549936,"Africa",55.4609991
"5634",2020-06-13,13,6,2020,40,0,"Cape_Verde","CV","CPV",549936,"Africa",53.09708766
"5635",2020-06-12,12,6,2020,42,1,"Cape_Verde","CV","CPV",549936,"Africa",48.55110413
"5636",2020-06-11,11,6,2020,30,0,"Cape_Verde","CV","CPV",549936,"Africa",40.91385179
"5637",2020-06-10,10,6,2020,18,0,"Cape_Verde","CV","CPV",549936,"Africa",35.45867155
"5638",2020-06-09,9,6,2020,13,0,"Cape_Verde","CV","CPV",549936,"Africa",32.18556341
"5639",2020-06-08,8,6,2020,12,0,"Cape_Verde","CV","CPV",549936,"Africa",31.64004539
"5640",2020-06-07,7,6,2020,6,0,"Cape_Verde","CV","CPV",549936,"Africa",31.09452736
"5641",2020-06-06,6,6,2020,34,0,"Cape_Verde","CV","CPV",549936,"Africa",31.64004539
"5642",2020-06-05,5,6,2020,25,0,"Cape_Verde","CV","CPV",549936,"Africa",26.54854383
"5643",2020-06-04,4,6,2020,11,0,"Cape_Verde","CV","CPV",549936,"Africa",23.27543569
"5644",2020-06-03,3,6,2020,8,1,"Cape_Verde","CV","CPV",549936,"Africa",23.82095371
"5645",2020-06-02,2,6,2020,23,0,"Cape_Verde","CV","CPV",549936,"Africa",23.63911437
"5646",2020-06-01,1,6,2020,14,0,"Cape_Verde","CV","CPV",549936,"Africa",19.45680952
"5647",2020-05-31,31,5,2020,16,0,"Cape_Verde","CV","CPV",549936,"Africa",16.91105874
"5648",2020-05-30,30,5,2020,15,0,"Cape_Verde","CV","CPV",549936,"Africa",14.36530796
"5649",2020-05-29,29,5,2020,0,0,"Cape_Verde","CV","CPV",549936,"Africa",13.6379506
"5650",2020-05-28,28,5,2020,0,0,"Cape_Verde","CV","CPV",549936,"Africa",18.36577347
"5651",2020-05-27,27,5,2020,0,1,"Cape_Verde","CV","CPV",549936,"Africa",21.82072096
"5652",2020-05-26,26,5,2020,10,0,"Cape_Verde","CV","CPV",549936,"Africa",23.63911437
"5653",2020-05-25,25,5,2020,9,0,"Cape_Verde","CV","CPV",549936,"Africa",24.36647173
"5654",2020-05-24,24,5,2020,9,0,"Cape_Verde","CV","CPV",549936,"Africa",24.54831108
"5655",2020-05-23,23,5,2020,6,0,"Cape_Verde","CV","CPV",549936,"Africa",24.00279305
"5656",2020-05-22,22,5,2020,7,0,"Cape_Verde","CV","CPV",549936,"Africa",25.0938291
"5657",2020-05-21,21,5,2020,14,0,"Cape_Verde","CV","CPV",549936,"Africa",28.73061593
"5658",2020-05-20,20,5,2020,7,0,"Cape_Verde","CV","CPV",549936,"Africa",27.09406185
"5659",2020-05-19,19,5,2020,0,0,"Cape_Verde","CV","CPV",549936,"Africa",27.82141922
"5660",2020-05-18,18,5,2020,0,0,"Cape_Verde","CV","CPV",549936,"Africa",29.63981263
"5661",2020-05-17,17,5,2020,2,1,"Cape_Verde","CV","CPV",549936,"Africa",32.00372407
"5662",2020-05-16,16,5,2020,11,0,"Cape_Verde","CV","CPV",549936,"Africa",36.91338628
"5663",2020-05-15,15,5,2020,26,0,"Cape_Verde","CV","CPV",549936,"Africa",35.27683221
"5664",2020-05-14,14,5,2020,19,0,"Cape_Verde","CV","CPV",549936,"Africa",32.00372407
"5665",2020-05-13,13,5,2020,10,0,"Cape_Verde","CV","CPV",549936,"Africa",28.54877658
"5666",2020-05-12,12,5,2020,14,0,"Cape_Verde","CV","CPV",549936,"Africa",27.45774054
"5667",2020-05-11,11,5,2020,10,0,"Cape_Verde","CV","CPV",549936,"Africa",25.45750778
"5668",2020-05-10,10,5,2020,6,0,"Cape_Verde","CV","CPV",549936,"Africa",26.54854383
"5669",2020-05-09,9,5,2020,12,0,"Cape_Verde","CV","CPV",549936,"Africa",25.82118647
"5670",2020-05-08,8,5,2020,27,0,"Cape_Verde","CV","CPV",549936,"Africa",24.73015042
"5671",2020-05-07,7,5,2020,5,0,"Cape_Verde","CV","CPV",549936,"Africa",21.45704227
"5672",2020-05-06,6,5,2020,11,0,"Cape_Verde","CV","CPV",549936,"Africa",21.63888162
"5673",2020-05-05,5,5,2020,10,0,"Cape_Verde","CV","CPV",549936,"Africa",19.63864886
"5674",2020-05-04,4,5,2020,13,0,"Cape_Verde","CV","CPV",549936,"Africa",18.9112915
"5675",2020-05-03,3,5,2020,29,0,"Cape_Verde","CV","CPV",549936,"Africa",17.09289808
"5676",2020-05-02,2,5,2020,2,1,"Cape_Verde","CV","CPV",549936,"Africa",12.18323587
"5677",2020-05-01,1,5,2020,8,0,"Cape_Verde","CV","CPV",549936,"Africa",12.00139653
"5678",2020-04-30,30,4,2020,0,0,"Cape_Verde","CV","CPV",549936,"Africa",10.5466818
"5679",2020-04-29,29,4,2020,4,0,"Cape_Verde","CV","CPV",549936,"Africa",18.54761281
"5680",2020-04-28,28,4,2020,3,0,"Cape_Verde","CV","CPV",549936,"Africa",18.00209479
"5681",2020-04-27,27,4,2020,16,0,"Cape_Verde","CV","CPV",549936,"Africa",17.45657677
"5682",2020-04-26,26,4,2020,2,0,"Cape_Verde","CV","CPV",549936,"Africa",14.91082599
"5683",2020-04-25,25,4,2020,6,0,"Cape_Verde","CV","CPV",549936,"Africa",14.72898665
"5684",2020-04-24,24,4,2020,9,0,"Cape_Verde","CV","CPV",549936,"Africa",13.6379506
"5685",2020-04-23,23,4,2020,6,0,"Cape_Verde","CV","CPV",549936,"Africa",12.00139653
"5686",2020-04-22,22,4,2020,0,0,"Cape_Verde","CV","CPV",549936,"Africa",10.91036048
"5687",2020-04-21,21,4,2020,6,0,"Cape_Verde","CV","CPV",549936,"Africa",10.91036048
"5688",2020-04-20,20,4,2020,3,0,"Cape_Verde","CV","CPV",549936,"Africa",9.81932443
"5689",2020-04-19,19,4,2020,2,0,"Cape_Verde","CV","CPV",549936,"Africa",9.27380641
"5690",2020-04-18,18,4,2020,1,0,"Cape_Verde","CV","CPV",549936,"Africa",9.09196707
"5691",2020-04-17,17,4,2020,0,0,"Cape_Verde","CV","CPV",549936,"Africa",8.91012772
"5692",2020-04-16,16,4,2020,44,0,"Cape_Verde","CV","CPV",549936,"Africa",8.91012772
"5693",2020-04-15,15,4,2020,1,0,"Cape_Verde","CV","CPV",549936,"Africa",0.90919671
"5694",2020-04-14,14,4,2020,0,0,"Cape_Verde","CV","CPV",549936,"Africa",0.90919671
"5695",2020-04-13,13,4,2020,2,0,"Cape_Verde","CV","CPV",549936,"Africa",0.90919671
"5696",2020-04-12,12,4,2020,1,0,"Cape_Verde","CV","CPV",549936,"Africa",0.54551802
"5697",2020-04-11,11,4,2020,0,0,"Cape_Verde","CV","CPV",549936,"Africa",0.36367868
"5698",2020-04-10,10,4,2020,0,0,"Cape_Verde","CV","CPV",549936,"Africa",0.36367868
"5699",2020-04-09,9,4,2020,0,0,"Cape_Verde","CV","CPV",549936,"Africa",0.54551802
"5700",2020-04-08,8,4,2020,0,0,"Cape_Verde","CV","CPV",549936,"Africa",0.72735737
"5701",2020-04-07,7,4,2020,0,0,"Cape_Verde","CV","CPV",549936,"Africa",0.72735737
"5702",2020-04-06,6,4,2020,0,0,"Cape_Verde","CV","CPV",549936,"Africa",0.72735737
"5703",2020-04-05,5,4,2020,1,0,"Cape_Verde","CV","CPV",549936,"Africa",0.72735737
"5704",2020-04-04,4,4,2020,0,0,"Cape_Verde","CV","CPV",549936,"Africa",0.72735737
"5705",2020-04-03,3,4,2020,0,0,"Cape_Verde","CV","CPV",549936,"Africa",1.09103605
"5706",2020-04-02,2,4,2020,0,0,"Cape_Verde","CV","CPV",549936,"Africa",NA
"5707",2020-04-01,1,4,2020,1,0,"Cape_Verde","CV","CPV",549936,"Africa",NA
"5708",2020-03-31,31,3,2020,0,0,"Cape_Verde","CV","CPV",549936,"Africa",NA
"5709",2020-03-30,30,3,2020,0,0,"Cape_Verde","CV","CPV",549936,"Africa",NA
"5710",2020-03-29,29,3,2020,0,0,"Cape_Verde","CV","CPV",549936,"Africa",NA
"5711",2020-03-28,28,3,2020,0,0,"Cape_Verde","CV","CPV",549936,"Africa",NA
"5712",2020-03-27,27,3,2020,1,0,"Cape_Verde","CV","CPV",549936,"Africa",NA
"5713",2020-03-26,26,3,2020,1,0,"Cape_Verde","CV","CPV",549936,"Africa",NA
"5714",2020-03-25,25,3,2020,0,1,"Cape_Verde","CV","CPV",549936,"Africa",NA
"5715",2020-03-24,24,3,2020,0,0,"Cape_Verde","CV","CPV",549936,"Africa",NA
"5716",2020-03-23,23,3,2020,0,0,"Cape_Verde","CV","CPV",549936,"Africa",NA
"5717",2020-03-22,22,3,2020,1,0,"Cape_Verde","CV","CPV",549936,"Africa",NA
"5718",2020-03-21,21,3,2020,2,0,"Cape_Verde","CV","CPV",549936,"Africa",NA
