"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"5561",2020-07-20,20,7,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",3.07938659
"5562",2020-07-19,19,7,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",3.07938659
"5563",2020-07-18,18,7,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",3.07938659
"5564",2020-07-17,17,7,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",3.07938659
"5565",2020-07-16,16,7,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",3.07938659
"5566",2020-07-15,15,7,2020,2,0,"Cayman_Islands","KY","CYM",64948,"America",4.61907988
"5567",2020-07-14,14,7,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",3.07938659
"5568",2020-07-13,13,7,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",7.69846647
"5569",2020-07-12,12,7,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",7.69846647
"5570",2020-07-11,11,7,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",7.69846647
"5571",2020-07-10,10,7,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",7.69846647
"5572",2020-07-09,9,7,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",7.69846647
"5573",2020-07-08,8,7,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",9.23815976
"5574",2020-07-07,7,7,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",9.23815976
"5575",2020-07-06,6,7,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",9.23815976
"5576",2020-07-05,5,7,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",9.23815976
"5577",2020-07-04,4,7,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",9.23815976
"5578",2020-07-03,3,7,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",12.31754634
"5579",2020-07-02,2,7,2020,1,0,"Cayman_Islands","KY","CYM",64948,"America",12.31754634
"5580",2020-07-01,1,7,2020,1,0,"Cayman_Islands","KY","CYM",64948,"America",10.77785305
"5581",2020-06-30,30,6,2020,3,0,"Cayman_Islands","KY","CYM",64948,"America",18.47631952
"5582",2020-06-29,29,6,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",13.85723964
"5583",2020-06-28,28,6,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",13.85723964
"5584",2020-06-27,27,6,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",13.85723964
"5585",2020-06-26,26,6,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",24.63509269
"5586",2020-06-25,25,6,2020,1,0,"Cayman_Islands","KY","CYM",64948,"America",24.63509269
"5587",2020-06-24,24,6,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",29.25417257
"5588",2020-06-23,23,6,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",36.95263903
"5589",2020-06-22,22,6,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",47.73049209
"5590",2020-06-21,21,6,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",47.73049209
"5591",2020-06-20,20,6,2020,2,0,"Cayman_Islands","KY","CYM",64948,"America",47.73049209
"5592",2020-06-19,19,6,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",50.80987867
"5593",2020-06-18,18,6,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",56.96865184
"5594",2020-06-17,17,6,2020,6,0,"Cayman_Islands","KY","CYM",64948,"America",64.66711831
"5595",2020-06-16,16,6,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",56.96865184
"5596",2020-06-15,15,6,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",70.82589148
"5597",2020-06-14,14,6,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",70.82589148
"5598",2020-06-13,13,6,2020,7,0,"Cayman_Islands","KY","CYM",64948,"America",70.82589148
"5599",2020-06-12,12,6,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",61.58773172
"5600",2020-06-11,11,6,2020,4,0,"Cayman_Islands","KY","CYM",64948,"America",61.58773172
"5601",2020-06-10,10,6,2020,5,0,"Cayman_Islands","KY","CYM",64948,"America",60.04803843
"5602",2020-06-09,9,6,2020,7,0,"Cayman_Islands","KY","CYM",64948,"America",56.96865184
"5603",2020-06-08,8,6,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",53.88926526
"5604",2020-06-07,7,6,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",53.88926526
"5605",2020-06-06,6,6,2020,4,0,"Cayman_Islands","KY","CYM",64948,"America",66.2068116
"5606",2020-06-05,5,6,2020,4,0,"Cayman_Islands","KY","CYM",64948,"America",75.44497136
"5607",2020-06-04,4,6,2020,5,0,"Cayman_Islands","KY","CYM",64948,"America",69.28619819
"5608",2020-06-03,3,6,2020,1,0,"Cayman_Islands","KY","CYM",64948,"America",61.58773172
"5609",2020-06-02,2,6,2020,9,0,"Cayman_Islands","KY","CYM",64948,"America",86.22282441
"5610",2020-06-01,1,6,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",72.36558478
"5611",2020-05-31,31,5,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",72.36558478
"5612",2020-05-30,30,5,2020,1,0,"Cayman_Islands","KY","CYM",64948,"America",73.90527807
"5613",2020-05-29,29,5,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",72.36558478
"5614",2020-05-28,28,5,2020,3,0,"Cayman_Islands","KY","CYM",64948,"America",84.68313112
"5615",2020-05-27,27,5,2020,3,0,"Cayman_Islands","KY","CYM",64948,"America",80.06405124
"5616",2020-05-26,26,5,2020,5,0,"Cayman_Islands","KY","CYM",64948,"America",76.98466465
"5617",2020-05-25,25,5,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",73.90527807
"5618",2020-05-24,24,5,2020,8,0,"Cayman_Islands","KY","CYM",64948,"America",73.90527807
"5619",2020-05-23,23,5,2020,10,0,"Cayman_Islands","KY","CYM",64948,"America",61.58773172
"5620",2020-05-22,22,5,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",50.80987867
"5621",2020-05-21,21,5,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",50.80987867
"5622",2020-05-20,20,5,2020,17,0,"Cayman_Islands","KY","CYM",64948,"America",55.42895855
"5623",2020-05-19,19,5,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",29.25417257
"5624",2020-05-18,18,5,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",30.79386586
"5625",2020-05-17,17,5,2020,1,0,"Cayman_Islands","KY","CYM",64948,"America",30.79386586
"5626",2020-05-16,16,5,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",29.25417257
"5627",2020-05-15,15,5,2020,8,0,"Cayman_Islands","KY","CYM",64948,"America",30.79386586
"5628",2020-05-14,14,5,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",18.47631952
"5629",2020-05-13,13,5,2020,1,0,"Cayman_Islands","KY","CYM",64948,"America",23.0953994
"5630",2020-05-12,12,5,2020,3,0,"Cayman_Islands","KY","CYM",64948,"America",21.5557061
"5631",2020-05-11,11,5,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",16.93662622
"5632",2020-05-10,10,5,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",16.93662622
"5633",2020-05-09,9,5,2020,3,0,"Cayman_Islands","KY","CYM",64948,"America",23.0953994
"5634",2020-05-08,8,5,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",18.47631952
"5635",2020-05-07,7,5,2020,3,0,"Cayman_Islands","KY","CYM",64948,"America",18.47631952
"5636",2020-05-06,6,5,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",13.85723964
"5637",2020-05-05,5,5,2020,1,0,"Cayman_Islands","KY","CYM",64948,"America",13.85723964
"5638",2020-05-04,4,5,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",20.01601281
"5639",2020-05-03,3,5,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",20.01601281
"5640",2020-05-02,2,5,2020,1,0,"Cayman_Islands","KY","CYM",64948,"America",20.01601281
"5641",2020-05-01,1,5,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",18.47631952
"5642",2020-04-30,30,4,2020,3,0,"Cayman_Islands","KY","CYM",64948,"America",20.01601281
"5643",2020-04-29,29,4,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",24.63509269
"5644",2020-04-28,28,4,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",26.17478598
"5645",2020-04-27,27,4,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",26.17478598
"5646",2020-04-26,26,4,2020,4,0,"Cayman_Islands","KY","CYM",64948,"America",26.17478598
"5647",2020-04-25,25,4,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",32.33355916
"5648",2020-04-24,24,4,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",32.33355916
"5649",2020-04-23,23,4,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",32.33355916
"5650",2020-04-22,22,4,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",32.33355916
"5651",2020-04-21,21,4,2020,5,0,"Cayman_Islands","KY","CYM",64948,"America",41.57171891
"5652",2020-04-20,20,4,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",33.87325245
"5653",2020-04-19,19,4,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",40.03202562
"5654",2020-04-18,18,4,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",49.27018538
"5655",2020-04-17,17,4,2020,1,0,"Cayman_Islands","KY","CYM",64948,"America",50.80987867
"5656",2020-04-16,16,4,2020,6,0,"Cayman_Islands","KY","CYM",64948,"America",58.50834514
"5657",2020-04-15,15,4,2020,1,0,"Cayman_Islands","KY","CYM",64948,"America",61.58773172
"5658",2020-04-14,14,4,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",63.12742502
"5659",2020-04-13,13,4,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",69.28619819
"5660",2020-04-12,12,4,2020,8,0,"Cayman_Islands","KY","CYM",64948,"America",69.28619819
"5661",2020-04-11,11,4,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",56.96865184
"5662",2020-04-10,10,4,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",60.04803843
"5663",2020-04-09,9,4,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",64.66711831
"5664",2020-04-08,8,4,2020,6,0,"Cayman_Islands","KY","CYM",64948,"America",64.66711831
"5665",2020-04-07,7,4,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",55.42895855
"5666",2020-04-06,6,4,2020,4,0,"Cayman_Islands","KY","CYM",64948,"America",55.42895855
"5667",2020-04-05,5,4,2020,6,0,"Cayman_Islands","KY","CYM",64948,"America",49.27018538
"5668",2020-04-04,4,4,2020,1,0,"Cayman_Islands","KY","CYM",64948,"America",40.03202562
"5669",2020-04-03,3,4,2020,6,0,"Cayman_Islands","KY","CYM",64948,"America",41.57171891
"5670",2020-04-02,2,4,2020,8,0,"Cayman_Islands","KY","CYM",64948,"America",33.87325245
"5671",2020-04-01,1,4,2020,2,0,"Cayman_Islands","KY","CYM",64948,"America",NA
"5672",2020-03-31,31,3,2020,4,0,"Cayman_Islands","KY","CYM",64948,"America",NA
"5673",2020-03-30,30,3,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",NA
"5674",2020-03-29,29,3,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",NA
"5675",2020-03-28,28,3,2020,2,0,"Cayman_Islands","KY","CYM",64948,"America",NA
"5676",2020-03-27,27,3,2020,3,0,"Cayman_Islands","KY","CYM",64948,"America",NA
"5677",2020-03-26,26,3,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",NA
"5678",2020-03-25,25,3,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",NA
"5679",2020-03-24,24,3,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",NA
"5680",2020-03-23,23,3,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",NA
"5681",2020-03-22,22,3,2020,0,0,"Cayman_Islands","KY","CYM",64948,"America",NA
"5682",2020-03-21,21,3,2020,2,1,"Cayman_Islands","KY","CYM",64948,"America",NA
"5683",2020-03-20,20,3,2020,1,0,"Cayman_Islands","KY","CYM",64948,"America",NA
