"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"5494",2020-07-15,15,7,2020,35,0,"Central_African_Republic","CF","CAF",4745179,"Africa",12.87622659
"5495",2020-07-14,14,7,2020,33,0,"Central_African_Republic","CF","CAF",4745179,"Africa",14.92040659
"5496",2020-07-13,13,7,2020,0,0,"Central_African_Republic","CF","CAF",4745179,"Africa",18.1025837
"5497",2020-07-12,12,7,2020,29,0,"Central_African_Republic","CF","CAF",4745179,"Africa",18.1025837
"5498",2020-07-11,11,7,2020,59,1,"Central_African_Republic","CF","CAF",4745179,"Africa",19.36702493
"5499",2020-07-10,10,7,2020,91,0,"Central_African_Republic","CF","CAF",4745179,"Africa",20.14676369
"5500",2020-07-09,9,7,2020,38,0,"Central_African_Republic","CF","CAF",4745179,"Africa",21.28476081
"5501",2020-07-08,8,7,2020,38,0,"Central_African_Republic","CF","CAF",4745179,"Africa",21.49550101
"5502",2020-07-07,7,7,2020,64,4,"Central_African_Republic","CF","CAF",4745179,"Africa",22.54920204
"5503",2020-07-06,6,7,2020,0,0,"Central_African_Republic","CF","CAF",4745179,"Africa",24.46693792
"5504",2020-07-05,5,7,2020,51,0,"Central_African_Republic","CF","CAF",4745179,"Africa",24.46693792
"5505",2020-07-04,4,7,2020,95,0,"Central_African_Republic","CF","CAF",4745179,"Africa",27.67018905
"5506",2020-07-03,3,7,2020,78,1,"Central_African_Republic","CF","CAF",4745179,"Africa",25.66815709
"5507",2020-07-02,2,7,2020,0,0,"Central_African_Republic","CF","CAF",4745179,"Africa",24.88841833
"5508",2020-07-01,1,7,2020,132,0,"Central_African_Republic","CF","CAF",4745179,"Africa",28.1338175
"5509",2020-06-30,30,6,2020,184,2,"Central_African_Republic","CF","CAF",4745179,"Africa",27.90200328
"5510",2020-06-29,29,6,2020,0,0,"Central_African_Republic","CF","CAF",4745179,"Africa",25.43634287
"5511",2020-06-28,28,6,2020,89,5,"Central_African_Republic","CF","CAF",4745179,"Africa",28.91355626
"5512",2020-06-27,27,6,2020,96,0,"Central_African_Republic","CF","CAF",4745179,"Africa",27.03796843
"5513",2020-06-26,26,6,2020,145,2,"Central_African_Republic","CF","CAF",4745179,"Africa",25.28882472
"5514",2020-06-25,25,6,2020,48,1,"Central_African_Republic","CF","CAF",4745179,"Africa",24.17190163
"5515",2020-06-24,24,6,2020,88,7,"Central_African_Republic","CF","CAF",4745179,"Africa",24.50908596
"5516",2020-06-23,23,6,2020,155,7,"Central_African_Republic","CF","CAF",4745179,"Africa",23.45538493
