"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"5616",2020-07-15,15,7,2020,4,0,"Chad","TD","TCD",15946882,"Africa",0.11287473
"5617",2020-07-14,14,7,2020,0,0,"Chad","TD","TCD",15946882,"Africa",0.08779146
"5618",2020-07-13,13,7,2020,6,1,"Chad","TD","TCD",15946882,"Africa",0.08779146
"5619",2020-07-12,12,7,2020,0,0,"Chad","TD","TCD",15946882,"Africa",0.05643736
"5620",2020-07-11,11,7,2020,1,0,"Chad","TD","TCD",15946882,"Africa",0.05643736
"5621",2020-07-10,10,7,2020,0,0,"Chad","TD","TCD",15946882,"Africa",0.06270818
"5622",2020-07-09,9,7,2020,0,0,"Chad","TD","TCD",15946882,"Africa",0.08152064
"5623",2020-07-08,8,7,2020,1,0,"Chad","TD","TCD",15946882,"Africa",0.08152064
"5624",2020-07-07,7,7,2020,0,0,"Chad","TD","TCD",15946882,"Africa",0.08779146
"5625",2020-07-06,6,7,2020,1,0,"Chad","TD","TCD",15946882,"Africa",0.08779146
"5626",2020-07-05,5,7,2020,0,0,"Chad","TD","TCD",15946882,"Africa",0.08152064
"5627",2020-07-04,4,7,2020,3,0,"Chad","TD","TCD",15946882,"Africa",0.08152064
"5628",2020-07-03,3,7,2020,2,0,"Chad","TD","TCD",15946882,"Africa",0.08779146
"5629",2020-07-02,2,7,2020,0,0,"Chad","TD","TCD",15946882,"Africa",0.07524982
"5630",2020-07-01,1,7,2020,0,0,"Chad","TD","TCD",15946882,"Africa",0.08152064
"5631",2020-06-30,30,6,2020,0,0,"Chad","TD","TCD",15946882,"Africa",0.10033309
"5632",2020-06-29,29,6,2020,1,0,"Chad","TD","TCD",15946882,"Africa",0.10033309
"5633",2020-06-28,28,6,2020,0,0,"Chad","TD","TCD",15946882,"Africa",0.10660391
"5634",2020-06-27,27,6,2020,2,0,"Chad","TD","TCD",15946882,"Africa",0.10660391
"5635",2020-06-26,26,6,2020,3,0,"Chad","TD","TCD",15946882,"Africa",0.09406227
"5636",2020-06-25,25,6,2020,0,0,"Chad","TD","TCD",15946882,"Africa",0.08779146
"5637",2020-06-24,24,6,2020,2,0,"Chad","TD","TCD",15946882,"Africa",0.10033309
"5638",2020-06-23,23,6,2020,0,0,"Chad","TD","TCD",15946882,"Africa",0.11914555
"5639",2020-06-22,22,6,2020,0,0,"Chad","TD","TCD",15946882,"Africa",0.13168718
"5640",2020-06-21,21,6,2020,0,0,"Chad","TD","TCD",15946882,"Africa",0.137958
"5641",2020-06-20,20,6,2020,4,0,"Chad","TD","TCD",15946882,"Africa",0.137958
"5642",2020-06-19,19,6,2020,0,0,"Chad","TD","TCD",15946882,"Africa",0.16304128
"5643",2020-06-18,18,6,2020,1,0,"Chad","TD","TCD",15946882,"Africa",0.21320782
"5644",2020-06-17,17,6,2020,3,1,"Chad","TD","TCD",15946882,"Africa",0.31354092
"5645",2020-06-16,16,6,2020,0,0,"Chad","TD","TCD",15946882,"Africa",0.3762491
"5646",2020-06-15,15,6,2020,2,1,"Chad","TD","TCD",15946882,"Africa",0.45149892
"5647",2020-06-14,14,6,2020,0,0,"Chad","TD","TCD",15946882,"Africa",0.55810283
"5648",2020-06-13,13,6,2020,0,0,"Chad","TD","TCD",15946882,"Africa",0.55810283
"5649",2020-06-12,12,6,2020,2,0,"Chad","TD","TCD",15946882,"Africa",0.76503984
"5650",2020-06-11,11,6,2020,2,1,"Chad","TD","TCD",15946882,"Africa",0.8214772
"5651",2020-06-10,10,6,2020,5,1,"Chad","TD","TCD",15946882,"Africa",0.90299784
"5652",2020-06-09,9,6,2020,2,1,"Chad","TD","TCD",15946882,"Africa",0.95316439
"5653",2020-06-08,8,6,2020,1,0,"Chad","TD","TCD",15946882,"Africa",1.01587257
"5654",2020-06-07,7,6,2020,0,1,"Chad","TD","TCD",15946882,"Africa",1.17891385
"5655",2020-06-06,6,6,2020,8,2,"Chad","TD","TCD",15946882,"Africa",1.41093412
"5656",2020-06-05,5,6,2020,8,0,"Chad","TD","TCD",15946882,"Africa",1.5049964
"5657",2020-06-04,4,6,2020,17,0,"Chad","TD","TCD",15946882,"Africa",1.59905867
"5658",2020-06-03,3,6,2020,13,0,"Chad","TD","TCD",15946882,"Africa",1.61787113
"5659",2020-06-02,2,6,2020,12,1,"Chad","TD","TCD",15946882,"Africa",1.69939177
"5660",2020-06-01,1,6,2020,19,0,"Chad","TD","TCD",15946882,"Africa",1.72447504
"5661",2020-05-31,31,5,2020,0,0,"Chad","TD","TCD",15946882,"Africa",1.78718322
"5662",2020-05-30,30,5,2020,33,0,"Chad","TD","TCD",15946882,"Africa",2.07564087
"5663",2020-05-29,29,5,2020,11,1,"Chad","TD","TCD",15946882,"Africa",2.05055759
"5664",2020-05-28,28,5,2020,15,2,"Chad","TD","TCD",15946882,"Africa",2.15089069
"5665",2020-05-27,27,5,2020,13,1,"Chad","TD","TCD",15946882,"Africa",2.15089069
"5666",2020-05-26,26,5,2020,12,1,"Chad","TD","TCD",15946882,"Africa",2.28884869
"5667",2020-05-25,25,5,2020,27,0,"Chad","TD","TCD",15946882,"Africa",2.21359887
"5668",2020-05-24,24,5,2020,37,1,"Chad","TD","TCD",15946882,"Africa",2.04428678
"5669",2020-05-23,23,5,2020,23,1,"Chad","TD","TCD",15946882,"Africa",2.20105723
"5670",2020-05-22,22,5,2020,23,1,"Chad","TD","TCD",15946882,"Africa",2.10072414
"5671",2020-05-21,21,5,2020,20,1,"Chad","TD","TCD",15946882,"Africa",2.47697324
"5672",2020-05-20,20,5,2020,26,3,"Chad","TD","TCD",15946882,"Africa",2.35155687
"5673",2020-05-19,19,5,2020,16,0,"Chad","TD","TCD",15946882,"Africa",2.52086897
"5674",2020-05-18,18,5,2020,29,3,"Chad","TD","TCD",15946882,"Africa",2.42053588
"5675",2020-05-17,17,5,2020,46,2,"Chad","TD","TCD",15946882,"Africa",2.23868214
"5676",2020-05-16,16,5,2020,29,2,"Chad","TD","TCD",15946882,"Africa",2.22614051
"5677",2020-05-15,15,5,2020,27,4,"Chad","TD","TCD",15946882,"Africa",2.04428678
"5678",2020-05-14,14,5,2020,15,2,"Chad","TD","TCD",15946882,"Africa",2.00666187
"5679",2020-05-13,13,5,2020,35,9,"Chad","TD","TCD",15946882,"Africa",1.91259959
"5680",2020-05-12,12,5,2020,0,0,"Chad","TD","TCD",15946882,"Africa",1.73074586
"5681",2020-05-11,11,5,2020,0,0,"Chad","TD","TCD",15946882,"Africa",1.73074586
"5682",2020-05-10,10,5,2020,62,3,"Chad","TD","TCD",15946882,"Africa",1.76837077
"5683",2020-05-09,9,5,2020,7,1,"Chad","TD","TCD",15946882,"Africa",1.37958003
"5684",2020-05-08,8,5,2020,83,10,"Chad","TD","TCD",15946882,"Africa",1.3356843
"5685",2020-05-07,7,5,2020,0,0,"Chad","TD","TCD",15946882,"Africa",0.85283129
"5686",2020-05-06,6,5,2020,53,7,"Chad","TD","TCD",15946882,"Africa",0.85283129
"5687",2020-05-05,5,5,2020,0,0,"Chad","TD","TCD",15946882,"Africa",0.52674874
"5688",2020-05-04,4,5,2020,0,0,"Chad","TD","TCD",15946882,"Africa",0.52674874
"5689",2020-05-03,3,5,2020,44,5,"Chad","TD","TCD",15946882,"Africa",0.52674874
"5690",2020-05-02,2,5,2020,0,0,"Chad","TD","TCD",15946882,"Africa",0.25083273
"5691",2020-05-01,1,5,2020,21,3,"Chad","TD","TCD",15946882,"Africa",0.28845764
