"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"6174",2020-07-26,26,7,2020,2288,106,"Chile","CL","CHL",18952035,"America",166.54148222
"6175",2020-07-25,25,7,2020,2545,76,"Chile","CL","CHL",18952035,"America",169.00559755
"6176",2020-07-24,24,7,2020,2357,116,"Chile","CL","CHL",18952035,"America",171.71243088
"6177",2020-07-23,23,7,2020,1719,45,"Chile","CL","CHL",18952035,"America",175.80697798
"6178",2020-07-22,22,7,2020,1654,44,"Chile","CL","CHL",18952035,"America",177.62736297
"6179",2020-07-21,21,7,2020,2099,130,"Chile","CL","CHL",18952035,"America",181.89075738
"6180",2020-07-20,20,7,2020,4391,156,"Chile","CL","CHL",18952035,"America",186.77677621
"6181",2020-07-19,19,7,2020,0,0,"Chile","CL","CHL",18952035,"America",183.05158259
"6182",2020-07-18,18,7,2020,2841,1057,"Chile","CL","CHL",18952035,"America",202.88058776
"6183",2020-07-17,17,7,2020,2493,104,"Chile","CL","CHL",18952035,"America",206.61105786
"6184",2020-07-16,16,7,2020,1712,117,"Chile","CL","CHL",18952035,"America",206.63744025
"6185",2020-07-15,15,7,2020,1836,45,"Chile","CL","CHL",18952035,"America",211.58677683
"6186",2020-07-14,14,7,2020,2616,45,"Chile","CL","CHL",18952035,"America",219.8075299
"6187",2020-07-13,13,7,2020,3012,98,"Chile","CL","CHL",18952035,"America",227.1998759
"6188",2020-07-12,12,7,2020,2755,100,"Chile","CL","CHL",18952035,"America",233.55275568
"6189",2020-07-11,11,7,2020,3058,99,"Chile","CL","CHL",18952035,"America",242.26422123
"6190",2020-07-10,10,7,2020,3133,109,"Chile","CL","CHL",18952035,"America",248.79650127
"6191",2020-07-09,9,7,2020,2064,139,"Chile","CL","CHL",18952035,"America",256.79036578
"6192",2020-07-08,8,7,2020,2462,50,"Chile","CL","CHL",18952035,"America",265.15358377
"6193",2020-07-07,7,7,2020,3025,76,"Chile","CL","CHL",18952035,"America",272.23461755
"6194",2020-07-06,6,7,2020,3685,116,"Chile","CL","CHL",18952035,"America",280.58728258
"6195",2020-07-05,5,7,2020,3758,141,"Chile","CL","CHL",18952035,"America",290.72867373
"6196",2020-07-04,4,7,2020,3548,131,"Chile","CL","CHL",18952035,"America",299.15520945
"6197",2020-07-03,3,7,2020,2498,167,"Chile","CL","CHL",18952035,"America",313.62331275
"6198",2020-07-02,2,7,2020,2650,65,"Chile","CL","CHL",18952035,"America",324.0549102
"6199",2020-07-01,1,7,2020,3394,113,"Chile","CL","CHL",18952035,"America",500.96994861
"6200",2020-06-30,30,6,2020,4017,66,"Chile","CL","CHL",18952035,"America",509.51256686
"6201",2020-06-29,29,6,2020,4216,162,"Chile","CL","CHL",18952035,"America",515.45388134
