"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"6031",2020-07-19,19,7,2020,80,1,"China","CN","CHN",1433783692,"Asia",0.0436607
"6032",2020-07-18,18,7,2020,80,1,"China","CN","CHN",1433783692,"Asia",0.03933648
"6033",2020-07-17,17,7,2020,77,0,"China","CN","CHN",1433783692,"Asia",0.03438455
"6034",2020-07-16,16,7,2020,20,2,"China","CN","CHN",1433783692,"Asia",0.02999058
"6035",2020-07-15,15,7,2020,54,0,"China","CN","CHN",1433783692,"Asia",0.03075778
"6036",2020-07-14,14,7,2020,55,1,"China","CN","CHN",1433783692,"Asia",0.02734025
"6037",2020-07-13,13,7,2020,46,0,"China","CN","CHN",1433783692,"Asia",0.02510839
"6038",2020-07-12,12,7,2020,35,0,"China","CN","CHN",1433783692,"Asia",0.02287653
"6039",2020-07-11,11,7,2020,40,0,"China","CN","CHN",1433783692,"Asia",0.02169086
"6040",2020-07-10,10,7,2020,46,0,"China","CN","CHN",1433783692,"Asia",0.02057493
"6041",2020-07-09,9,7,2020,33,0,"China","CN","CHN",1433783692,"Asia",0.01931951
"6042",2020-07-08,8,7,2020,21,0,"China","CN","CHN",1433783692,"Asia",0.01841282
"6043",2020-07-07,7,7,2020,25,0,"China","CN","CHN",1433783692,"Asia",0.01897078
"6044",2020-07-06,6,7,2020,14,0,"China","CN","CHN",1433783692,"Asia",0.02085391
"6045",2020-07-05,5,7,2020,18,0,"China","CN","CHN",1433783692,"Asia",0.02120264
"6046",2020-07-04,4,7,2020,9,0,"China","CN","CHN",1433783692,"Asia",0.02196984
"6047",2020-07-03,3,7,2020,14,0,"China","CN","CHN",1433783692,"Asia",0.0234345
"6048",2020-07-02,2,7,2020,31,0,"China","CN","CHN",1433783692,"Asia",0.0249689
"6049",2020-07-01,1,7,2020,5,0,"China","CN","CHN",1433783692,"Asia",0.02531763
"6050",2020-06-30,30,6,2020,23,0,"China","CN","CHN",1433783692,"Asia",0.0280377
"6051",2020-06-29,29,6,2020,14,0,"China","CN","CHN",1433783692,"Asia",0.02943261
"6052",2020-06-28,28,6,2020,18,0,"China","CN","CHN",1433783692,"Asia",0.03173422
"6053",2020-06-27,27,6,2020,24,0,"China","CN","CHN",1433783692,"Asia",0.03466353
