"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"6905",2020-08-04,4,8,2020,10199,367,"Colombia","CO","COL",50339443,"America",246.01980598
"6906",2020-08-03,3,8,2020,11470,320,"Colombia","CO","COL",50339443,"America",239.12262994
"6907",2020-08-02,2,8,2020,10673,225,"Colombia","CO","COL",50339443,"America",229.40460426
"6908",2020-08-01,1,8,2020,9488,295,"Colombia","CO","COL",50339443,"America",225.20710052
"6909",2020-07-31,31,7,2020,9965,356,"Colombia","CO","COL",50339443,"America",224.10657186
"6910",2020-07-30,30,7,2020,8670,380,"Colombia","CO","COL",50339443,"America",220.27657318
"6911",2020-07-29,29,7,2020,10284,297,"Colombia","CO","COL",50339443,"America",213.52441266
"6912",2020-07-28,28,7,2020,8125,252,"Colombia","CO","COL",50339443,"America",204.36062433
"6913",2020-07-27,27,7,2020,8181,256,"Colombia","CO","COL",50339443,"America",195.73319474
"6914",2020-07-26,26,7,2020,7254,294,"Colombia","CO","COL",50339443,"America",189.57897488
"6915",2020-07-25,25,7,2020,7168,287,"Colombia","CO","COL",50339443,"America",184.27895597
"6916",2020-07-24,24,7,2020,7945,315,"Colombia","CO","COL",50339443,"America",183.55387842
"6917",2020-07-23,23,7,2020,7390,207,"Colombia","CO","COL",50339443,"America",178.36907731
"6918",2020-07-22,22,7,2020,7033,237,"Colombia","CO","COL",50339443,"America",171.9208534
"6919",2020-07-21,21,7,2020,6727,193,"Colombia","CO","COL",50339443,"America",166.31888438
"6920",2020-07-20,20,7,2020,6578,220,"Colombia","CO","COL",50339443,"America",159.25484118
"6921",2020-07-19,19,7,2020,8560,228,"Colombia","CO","COL",50339443,"America",153.57937115
"6922",2020-07-18,18,7,2020,8934,259,"Colombia","CO","COL",50339443,"America",144.29043245
"6923",2020-07-17,17,7,2020,8037,215,"Colombia","CO","COL",50339443,"America",133.28713232
"6924",2020-07-16,16,7,2020,5271,189,"Colombia","CO","COL",50339443,"America",125.46821386
"6925",2020-07-15,15,7,2020,5671,170,"Colombia","CO","COL",50339443,"America",123.26715653
"6926",2020-07-14,14,7,2020,3782,148,"Colombia","CO","COL",50339443,"America",117.56983485
"6927",2020-07-13,13,7,2020,5083,188,"Colombia","CO","COL",50339443,"America",116.56068582
"6928",2020-07-12,12,7,2020,4586,194,"Colombia","CO","COL",50339443,"America",112.77637697
"6929",2020-07-11,11,7,2020,6803,211,"Colombia","CO","COL",50339443,"America",111.90827042
"6930",2020-07-10,10,7,2020,5335,187,"Colombia","CO","COL",50339443,"America",106.02818947
"6931",2020-07-09,9,7,2020,4144,168,"Colombia","CO","COL",50339443,"America",102.35512538
"6932",2020-07-08,8,7,2020,4213,149,"Colombia","CO","COL",50339443,"America",101.15725754
"6933",2020-07-07,7,7,2020,3171,146,"Colombia","CO","COL",50339443,"America",97.5338563
"6934",2020-07-06,6,7,2020,3721,122,"Colombia","CO","COL",50339443,"America",96.26248745
"6935",2020-07-05,5,7,2020,3884,165,"Colombia","CO","COL",50339443,"America",94.86795474
