"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"6407",2020-07-20,20,7,2020,6,0,"Comoros","KM","COM",850891,"Africa",2.70304892
"6408",2020-07-19,19,7,2020,0,0,"Comoros","KM","COM",850891,"Africa",2.23295346
"6409",2020-07-18,18,7,2020,0,0,"Comoros","KM","COM",850891,"Africa",2.23295346
"6410",2020-07-17,17,7,2020,7,0,"Comoros","KM","COM",850891,"Africa",2.93809665
"6411",2020-07-16,16,7,2020,4,0,"Comoros","KM","COM",850891,"Africa",2.11542959
"6412",2020-07-15,15,7,2020,0,0,"Comoros","KM","COM",850891,"Africa",1.64533413
"6413",2020-07-14,14,7,2020,0,0,"Comoros","KM","COM",850891,"Africa",5.28857398
"6414",2020-07-13,13,7,2020,0,0,"Comoros","KM","COM",850891,"Africa",5.28857398
"6415",2020-07-12,12,7,2020,4,0,"Comoros","KM","COM",850891,"Africa",8.22667063
"6416",2020-07-11,11,7,2020,0,0,"Comoros","KM","COM",850891,"Africa",7.75657517
"6417",2020-07-10,10,7,2020,0,0,"Comoros","KM","COM",850891,"Africa",7.75657517
"6418",2020-07-09,9,7,2020,0,0,"Comoros","KM","COM",850891,"Africa",7.75657517
"6419",2020-07-08,8,7,2020,2,0,"Comoros","KM","COM",850891,"Africa",7.75657517
"6420",2020-07-07,7,7,2020,0,0,"Comoros","KM","COM",850891,"Africa",7.52152743
"6421",2020-07-06,6,7,2020,2,0,"Comoros","KM","COM",850891,"Africa",7.52152743
"6422",2020-07-05,5,7,2020,0,0,"Comoros","KM","COM",850891,"Africa",7.2864797
"6423",2020-07-04,4,7,2020,6,0,"Comoros","KM","COM",850891,"Africa",11.63486275
"6424",2020-07-03,3,7,2020,0,0,"Comoros","KM","COM",850891,"Africa",10.92971955
"6425",2020-07-02,2,7,2020,0,0,"Comoros","KM","COM",850891,"Africa",12.45752981
"6426",2020-07-01,1,7,2020,31,0,"Comoros","KM","COM",850891,"Africa",12.45752981
"6427",2020-06-30,30,6,2020,0,0,"Comoros","KM","COM",850891,"Africa",11.28229115
"6428",2020-06-29,29,6,2020,25,0,"Comoros","KM","COM",850891,"Africa",11.28229115
"6429",2020-06-28,28,6,2020,0,0,"Comoros","KM","COM",850891,"Africa",8.3441945
"6430",2020-06-27,27,6,2020,0,0,"Comoros","KM","COM",850891,"Africa",9.98952862
"6431",2020-06-26,26,6,2020,0,0,"Comoros","KM","COM",850891,"Africa",9.98952862
"6432",2020-06-25,25,6,2020,0,0,"Comoros","KM","COM",850891,"Africa",9.98952862
"6433",2020-06-24,24,6,2020,0,2,"Comoros","KM","COM",850891,"Africa",9.98952862
"6434",2020-06-23,23,6,2020,0,0,"Comoros","KM","COM",850891,"Africa",12.45752981
"6435",2020-06-22,22,6,2020,0,0,"Comoros","KM","COM",850891,"Africa",12.45752981
"6436",2020-06-21,21,6,2020,37,0,"Comoros","KM","COM",850891,"Africa",12.45752981
