"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"6751",2020-07-26,26,7,2020,0,0,"Congo","CG","COG",5380504,"Africa",18.77147568
"6752",2020-07-25,25,7,2020,0,0,"Congo","CG","COG",5380504,"Africa",18.77147568
"6753",2020-07-24,24,7,2020,187,1,"Congo","CG","COG",5380504,"Africa",22.61869892
"6754",2020-07-23,23,7,2020,0,0,"Congo","CG","COG",5380504,"Africa",19.14318807
"6755",2020-07-22,22,7,2020,0,0,"Congo","CG","COG",5380504,"Africa",24.04979162
"6756",2020-07-21,21,7,2020,218,1,"Congo","CG","COG",5380504,"Africa",24.04979162
"6757",2020-07-20,20,7,2020,0,0,"Congo","CG","COG",5380504,"Africa",19.99812657
"6758",2020-07-19,19,7,2020,0,0,"Congo","CG","COG",5380504,"Africa",19.99812657
"6759",2020-07-18,18,7,2020,275,1,"Congo","CG","COG",5380504,"Africa",19.99812657
"6760",2020-07-17,17,7,2020,0,0,"Congo","CG","COG",5380504,"Africa",18.13956462
"6761",2020-07-16,16,7,2020,136,1,"Congo","CG","COG",5380504,"Africa",18.13956462
"6762",2020-07-15,15,7,2020,119,0,"Congo","CG","COG",5380504,"Africa",18.15815024
"6763",2020-07-14,14,7,2020,0,0,"Congo","CG","COG",5380504,"Africa",15.94646152
"6764",2020-07-13,13,7,2020,75,0,"Congo","CG","COG",5380504,"Africa",15.94646152
"6765",2020-07-12,12,7,2020,0,0,"Congo","CG","COG",5380504,"Africa",14.55254006
"6766",2020-07-11,11,7,2020,207,0,"Congo","CG","COG",5380504,"Africa",15.31455046
"6767",2020-07-10,10,7,2020,0,0,"Congo","CG","COG",5380504,"Africa",11.46732722
"6768",2020-07-09,9,7,2020,264,3,"Congo","CG","COG",5380504,"Africa",13.6418447
"6769",2020-07-08,8,7,2020,0,0,"Congo","CG","COG",5380504,"Africa",8.73524116
"6770",2020-07-07,7,7,2020,0,0,"Congo","CG","COG",5380504,"Africa",8.73524116
"6771",2020-07-06,6,7,2020,0,0,"Congo","CG","COG",5380504,"Africa",10.110577
"6772",2020-07-05,5,7,2020,0,0,"Congo","CG","COG",5380504,"Africa",10.110577
"6773",2020-07-04,4,7,2020,175,3,"Congo","CG","COG",5380504,"Africa",12.52670754
"6774",2020-07-03,3,7,2020,0,0,"Congo","CG","COG",5380504,"Africa",9.27422412
"6775",2020-07-02,2,7,2020,137,1,"Congo","CG","COG",5380504,"Africa",9.27422412
"6776",2020-07-01,1,7,2020,0,0,"Congo","CG","COG",5380504,"Africa",6.72799425
"6777",2020-06-30,30,6,2020,0,0,"Congo","CG","COG",5380504,"Africa",6.72799425
"6778",2020-06-29,29,6,2020,0,0,"Congo","CG","COG",5380504,"Africa",8.66089868
"6779",2020-06-28,28,6,2020,41,2,"Congo","CG","COG",5380504,"Africa",8.66089868
"6780",2020-06-27,27,6,2020,0,0,"Congo","CG","COG",5380504,"Africa",8.53079935
"6781",2020-06-26,26,6,2020,117,1,"Congo","CG","COG",5380504,"Africa",8.53079935
"6782",2020-06-25,25,6,2020,0,0,"Congo","CG","COG",5380504,"Africa",6.35628187
"6783",2020-06-24,24,6,2020,0,0,"Congo","CG","COG",5380504,"Africa",6.6722374
"6784",2020-06-23,23,6,2020,74,9,"Congo","CG","COG",5380504,"Africa",7.50859027
"6785",2020-06-22,22,6,2020,0,0,"Congo","CG","COG",5380504,"Africa",6.13325443
"6786",2020-06-21,21,6,2020,130,1,"Congo","CG","COG",5380504,"Africa",6.13325443
"6787",2020-06-20,20,6,2020,0,0,"Congo","CG","COG",5380504,"Africa",4.53489116
"6788",2020-06-19,19,6,2020,0,0,"Congo","CG","COG",5380504,"Africa",4.60923363
"6789",2020-06-18,18,6,2020,0,0,"Congo","CG","COG",5380504,"Africa",4.92518916
"6790",2020-06-17,17,6,2020,0,0,"Congo","CG","COG",5380504,"Africa",5.0552885
"6791",2020-06-16,16,6,2020,104,2,"Congo","CG","COG",5380504,"Africa",5.0552885
"6792",2020-06-15,15,6,2020,0,0,"Congo","CG","COG",5380504,"Africa",3.12238407
"6793",2020-06-14,14,6,2020,34,0,"Congo","CG","COG",5380504,"Africa",3.56843894
"6794",2020-06-13,13,6,2020,0,0,"Congo","CG","COG",5380504,"Africa",2.93652788
"6795",2020-06-12,12,6,2020,0,0,"Congo","CG","COG",5380504,"Africa",3.23389779
"6796",2020-06-11,11,6,2020,17,1,"Congo","CG","COG",5380504,"Africa",3.23389779
"6797",2020-06-10,10,6,2020,45,2,"Congo","CG","COG",5380504,"Africa",2.9551135
"6798",2020-06-09,9,6,2020,0,0,"Congo","CG","COG",5380504,"Africa",2.82501416
"6799",2020-06-08,8,6,2020,0,0,"Congo","CG","COG",5380504,"Africa",3.64278142
