"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"6794",2020-07-24,24,7,2020,768,9,"Costa_Rica","CR","CRI",5047561,"America",131.62792882
"6795",2020-07-23,23,7,2020,550,3,"Costa_Rica","CR","CRI",5047561,"America",129.27035453
"6796",2020-07-22,22,7,2020,277,2,"Costa_Rica","CR","CRI",5047561,"America",125.30804482
"6797",2020-07-21,21,7,2020,420,4,"Costa_Rica","CR","CRI",5047561,"America",124.67407526
"6798",2020-07-20,20,7,2020,563,8,"Costa_Rica","CR","CRI",5047561,"America",121.20705426
"6799",2020-07-19,19,7,2020,582,7,"Costa_Rica","CR","CRI",5047561,"America",117.48248312
"6800",2020-07-18,18,7,2020,423,5,"Costa_Rica","CR","CRI",5047561,"America",112.09374191
"6801",2020-07-17,17,7,2020,560,2,"Costa_Rica","CR","CRI",5047561,"America",109.41918285
"6802",2020-07-16,16,7,2020,504,4,"Costa_Rica","CR","CRI",5047561,"America",103.67383376
"6803",2020-07-15,15,7,2020,446,5,"Costa_Rica","CR","CRI",5047561,"America",99.51340856
"6804",2020-07-14,14,7,2020,440,1,"Costa_Rica","CR","CRI",5047561,"America",94.44165212
"6805",2020-07-13,13,7,2020,365,2,"Costa_Rica","CR","CRI",5047561,"America",88.47837599
"6806",2020-07-12,12,7,2020,386,2,"Costa_Rica","CR","CRI",5047561,"America",84.23870459
"6807",2020-07-11,11,7,2020,360,1,"Costa_Rica","CR","CRI",5047561,"America",79.42449829
"6808",2020-07-10,10,7,2020,649,1,"Costa_Rica","CR","CRI",5047561,"America",75.30369618
"6809",2020-07-09,9,7,2020,350,1,"Costa_Rica","CR","CRI",5047561,"America",65.79415286
"6810",2020-07-08,8,7,2020,245,0,"Costa_Rica","CR","CRI",5047561,"America",61.7724085
"6811",2020-07-07,7,7,2020,245,4,"Costa_Rica","CR","CRI",5047561,"America",58.72143001
"6812",2020-07-06,6,7,2020,375,1,"Costa_Rica","CR","CRI",5047561,"America",55.13553972
"6813",2020-07-05,5,7,2020,310,0,"Costa_Rica","CR","CRI",5047561,"America",49.41000218
"6814",2020-07-04,4,7,2020,288,1,"Costa_Rica","CR","CRI",5047561,"America",44.63541897
"6815",2020-07-03,3,7,2020,270,0,"Costa_Rica","CR","CRI",5047561,"America",42.63445256
"6816",2020-07-02,2,7,2020,294,1,"Costa_Rica","CR","CRI",5047561,"America",37.28533444
"6817",2020-07-01,1,7,2020,190,1,"Costa_Rica","CR","CRI",5047561,"America",33.48151711
"6818",2020-06-30,30,6,2020,139,0,"Costa_Rica","CR","CRI",5047561,"America",30.2126116
"6819",2020-06-29,29,6,2020,151,3,"Costa_Rica","CR","CRI",5047561,"America",28.03334125
"6820",2020-06-28,28,6,2020,143,0,"Costa_Rica","CR","CRI",5047561,"America",26.09180949
"6821",2020-06-27,27,6,2020,152,0,"Costa_Rica","CR","CRI",5047561,"America",24.24933547
"6822",2020-06-26,26,6,2020,169,0,"Costa_Rica","CR","CRI",5047561,"America",22.70403468
"6823",2020-06-25,25,6,2020,147,0,"Costa_Rica","CR","CRI",5047561,"America",20.88137221
"6824",2020-06-24,24,6,2020,91,0,"Costa_Rica","CR","CRI",5047561,"America",19.67286775
"6825",2020-06-23,23,6,2020,64,0,"Costa_Rica","CR","CRI",5047561,"America",18.52379793
"6826",2020-06-22,22,6,2020,86,0,"Costa_Rica","CR","CRI",5047561,"America",17.73133599
"6827",2020-06-21,21,6,2020,69,0,"Costa_Rica","CR","CRI",5047561,"America",17.11717798
"6828",2020-06-20,20,6,2020,187,0,"Costa_Rica","CR","CRI",5047561,"America",16.44358533
"6829",2020-06-19,19,6,2020,0,0,"Costa_Rica","CR","CRI",5047561,"America",13.41241839
"6830",2020-06-18,18,6,2020,102,0,"Costa_Rica","CR","CRI",5047561,"America",14.14544569
"6831",2020-06-17,17,6,2020,25,0,"Costa_Rica","CR","CRI",5047561,"America",13.15486826
"6832",2020-06-16,16,6,2020,29,0,"Costa_Rica","CR","CRI",5047561,"America",13.07562207
"6833",2020-06-15,15,6,2020,53,0,"Costa_Rica","CR","CRI",5047561,"America",13.05581052
"6834",2020-06-14,14,6,2020,50,0,"Costa_Rica","CR","CRI",5047561,"America",12.18410238
"6835",2020-06-13,13,6,2020,74,0,"Costa_Rica","CR","CRI",5047561,"America",11.68881367
"6836",2020-06-12,12,6,2020,77,0,"Costa_Rica","CR","CRI",5047561,"America",10.65861314
"6837",2020-06-11,11,6,2020,86,1,"Costa_Rica","CR","CRI",5047561,"America",9.45010868
"6838",2020-06-10,10,6,2020,33,1,"Costa_Rica","CR","CRI",5047561,"America",8.30103886
"6839",2020-06-09,9,6,2020,24,0,"Costa_Rica","CR","CRI",5047561,"America",7.7463155
"6840",2020-06-08,8,6,2020,55,0,"Costa_Rica","CR","CRI",5047561,"America",7.68688085
"6841",2020-06-07,7,6,2020,35,0,"Costa_Rica","CR","CRI",5047561,"America",6.83498426
"6842",2020-06-06,6,6,2020,34,0,"Costa_Rica","CR","CRI",5047561,"America",6.2802609
"6843",2020-06-05,5,6,2020,37,0,"Costa_Rica","CR","CRI",5047561,"America",5.76516064
