"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"6749",2020-07-20,20,7,2020,207,1,"Cote_dIvoire","CI","CIV",25716554,"Africa",13.01496305
"6750",2020-07-19,19,7,2020,216,4,"Cote_dIvoire","CI","CIV",25716554,"Africa",13.41548327
"6751",2020-07-18,18,7,2020,142,0,"Cote_dIvoire","CI","CIV",25716554,"Africa",13.42326036
"6752",2020-07-17,17,7,2020,151,0,"Cote_dIvoire","CI","CIV",25716554,"Africa",13.85100041
"6753",2020-07-16,16,7,2020,366,0,"Cote_dIvoire","CI","CIV",25716554,"Africa",14.39150829
"6754",2020-07-15,15,7,2020,165,3,"Cote_dIvoire","CI","CIV",25716554,"Africa",13.75767531
"6755",2020-07-14,14,7,2020,106,0,"Cote_dIvoire","CI","CIV",25716554,"Africa",14.22430081
"6756",2020-07-13,13,7,2020,323,2,"Cote_dIvoire","CI","CIV",25716554,"Africa",14.86202234
"6757",2020-07-12,12,7,2020,391,1,"Cote_dIvoire","CI","CIV",25716554,"Africa",14.40317392
"6758",2020-07-11,11,7,2020,302,2,"Cote_dIvoire","CI","CIV",25716554,"Africa",14.45761357
"6759",2020-07-10,10,7,2020,246,1,"Cote_dIvoire","CI","CIV",25716554,"Africa",13.94432551
"6760",2020-07-09,9,7,2020,538,3,"Cote_dIvoire","CI","CIV",25716554,"Africa",13.99876515
"6761",2020-07-08,8,7,2020,0,0,"Cote_dIvoire","CI","CIV",25716554,"Africa",11.90672747
"6762",2020-07-07,7,7,2020,194,1,"Cote_dIvoire","CI","CIV",25716554,"Africa",13.50880837
"6763",2020-07-06,6,7,2020,310,2,"Cote_dIvoire","CI","CIV",25716554,"Africa",12.75443047
"6764",2020-07-05,5,7,2020,218,2,"Cote_dIvoire","CI","CIV",25716554,"Africa",13.9521026
"6765",2020-07-04,4,7,2020,252,2,"Cote_dIvoire","CI","CIV",25716554,"Africa",14.77647433
"6766",2020-07-03,3,7,2020,290,0,"Cote_dIvoire","CI","CIV",25716554,"Africa",15.27809675
"6767",2020-07-02,2,7,2020,203,0,"Cote_dIvoire","CI","CIV",25716554,"Africa",14.15041844
"6768",2020-07-01,1,7,2020,285,2,"Cote_dIvoire","CI","CIV",25716554,"Africa",14.85424525
"6769",2020-06-30,30,6,2020,270,0,"Cote_dIvoire","CI","CIV",25716554,"Africa",14.67926068
"6770",2020-06-29,29,6,2020,205,2,"Cote_dIvoire","CI","CIV",25716554,"Africa",15.00978708
"6771",2020-06-28,28,6,2020,405,4,"Cote_dIvoire","CI","CIV",25716554,"Africa",15.130332
"6772",2020-06-27,27,6,2020,170,2,"Cote_dIvoire","CI","CIV",25716554,"Africa",14.19319245
"6773",2020-06-26,26,6,2020,260,0,"Cote_dIvoire","CI","CIV",25716554,"Africa",14.62093249
"6774",2020-06-25,25,6,2020,0,0,"Cote_dIvoire","CI","CIV",25716554,"Africa",14.4770563
"6775",2020-06-24,24,6,2020,412,4,"Cote_dIvoire","CI","CIV",25716554,"Africa",15.20032583
"6776",2020-06-23,23,6,2020,0,3,"Cote_dIvoire","CI","CIV",25716554,"Africa",14.04153916
"6777",2020-06-22,22,6,2020,618,2,"Cote_dIvoire","CI","CIV",25716554,"Africa",14.59371267
"6778",2020-06-21,21,6,2020,430,0,"Cote_dIvoire","CI","CIV",25716554,"Africa",12.89830667
"6779",2020-06-20,20,6,2020,381,1,"Cote_dIvoire","CI","CIV",25716554,"Africa",11.71618872
"6780",2020-06-19,19,6,2020,0,0,"Cote_dIvoire","CI","CIV",25716554,"Africa",10.891817
