"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"6643",2020-07-15,15,7,2020,52,1,"Croatia","HR","HRV",4076246,"Europe",25.75899492
"6644",2020-07-14,14,7,2020,53,0,"Croatia","HR","HRV",4076246,"Europe",25.75899492
"6645",2020-07-13,13,7,2020,50,1,"Croatia","HR","HRV",4076246,"Europe",25.29287977
"6646",2020-07-12,12,7,2020,140,1,"Croatia","HR","HRV",4076246,"Europe",25.70993017
"6647",2020-07-11,11,7,2020,116,2,"Croatia","HR","HRV",4076246,"Europe",24.36064948
"6648",2020-07-10,10,7,2020,91,1,"Croatia","HR","HRV",4076246,"Europe",22.88870691
"6649",2020-07-09,9,7,2020,53,1,"Croatia","HR","HRV",4076246,"Europe",22.98683642
"6650",2020-07-08,8,7,2020,52,0,"Croatia","HR","HRV",4076246,"Europe",22.22633276
"6651",2020-07-07,7,7,2020,69,0,"Croatia","HR","HRV",4076246,"Europe",21.68662048
"6652",2020-07-06,6,7,2020,57,0,"Croatia","HR","HRV",4076246,"Europe",20.46000168
"6653",2020-07-05,5,7,2020,86,1,"Croatia","HR","HRV",4076246,"Europe",19.50323901
"6654",2020-07-04,4,7,2020,96,2,"Croatia","HR","HRV",4076246,"Europe",17.85956981
"6655",2020-07-03,3,7,2020,81,2,"Croatia","HR","HRV",4076246,"Europe",15.77431784
"6656",2020-07-02,2,7,2020,54,1,"Croatia","HR","HRV",4076246,"Europe",14.05705151
"6657",2020-07-01,1,7,2020,52,0,"Croatia","HR","HRV",4076246,"Europe",12.80590033
"6658",2020-06-30,30,6,2020,34,0,"Croatia","HR","HRV",4076246,"Europe",11.55474915
"6659",2020-06-29,29,6,2020,67,0,"Croatia","HR","HRV",4076246,"Europe",10.76971311
"6660",2020-06-28,28,6,2020,85,0,"Croatia","HR","HRV",4076246,"Europe",9.15057629
"6661",2020-06-27,27,6,2020,56,0,"Croatia","HR","HRV",4076246,"Europe",7.11438907
"6662",2020-06-26,26,6,2020,95,0,"Croatia","HR","HRV",4076246,"Europe",5.74057601
"6663",2020-06-25,25,6,2020,22,0,"Croatia","HR","HRV",4076246,"Europe",3.41000028
"6664",2020-06-24,24,6,2020,30,0,"Croatia","HR","HRV",4076246,"Europe",2.91935276
"6665",2020-06-23,23,6,2020,19,0,"Croatia","HR","HRV",4076246,"Europe",2.18338147
"6666",2020-06-22,22,6,2020,18,0,"Croatia","HR","HRV",4076246,"Europe",1.71726633
"6667",2020-06-21,21,6,2020,19,0,"Croatia","HR","HRV",4076246,"Europe",1.27568356
"6668",2020-06-20,20,6,2020,11,0,"Croatia","HR","HRV",4076246,"Europe",0.80956841
"6669",2020-06-19,19,6,2020,11,0,"Croatia","HR","HRV",4076246,"Europe",0.53971227
"6670",2020-06-18,18,6,2020,3,0,"Croatia","HR","HRV",4076246,"Europe",0.29438851
"6671",2020-06-17,17,6,2020,1,0,"Croatia","HR","HRV",4076246,"Europe",0.22079139
"6672",2020-06-16,16,6,2020,2,0,"Croatia","HR","HRV",4076246,"Europe",0.19625901
"6673",2020-06-15,15,6,2020,1,0,"Croatia","HR","HRV",4076246,"Europe",0.14719426
"6674",2020-06-14,14,6,2020,2,0,"Croatia","HR","HRV",4076246,"Europe",0.12266188
"6675",2020-06-13,13,6,2020,0,1,"Croatia","HR","HRV",4076246,"Europe",0.0981295
"6676",2020-06-12,12,6,2020,0,0,"Croatia","HR","HRV",4076246,"Europe",0.0981295
"6677",2020-06-11,11,6,2020,2,0,"Croatia","HR","HRV",4076246,"Europe",0.12266188
"6678",2020-06-10,10,6,2020,0,2,"Croatia","HR","HRV",4076246,"Europe",0.07359713
"6679",2020-06-09,9,6,2020,0,0,"Croatia","HR","HRV",4076246,"Europe",0.07359713
"6680",2020-06-08,8,6,2020,0,0,"Croatia","HR","HRV",4076246,"Europe",0.07359713
"6681",2020-06-07,7,6,2020,0,1,"Croatia","HR","HRV",4076246,"Europe",0.0981295
"6682",2020-06-06,6,6,2020,0,0,"Croatia","HR","HRV",4076246,"Europe",0.0981295
"6683",2020-06-05,5,6,2020,1,0,"Croatia","HR","HRV",4076246,"Europe",0.24532376
"6684",2020-06-04,4,6,2020,0,0,"Croatia","HR","HRV",4076246,"Europe",0.29438851
"6685",2020-06-03,3,6,2020,0,0,"Croatia","HR","HRV",4076246,"Europe",0.34345327
"6686",2020-06-02,2,6,2020,0,0,"Croatia","HR","HRV",4076246,"Europe",0.44158277
"6687",2020-06-01,1,6,2020,0,0,"Croatia","HR","HRV",4076246,"Europe",0.49064752
"6688",2020-05-31,31,5,2020,1,0,"Croatia","HR","HRV",4076246,"Europe",0.53971227
"6689",2020-05-30,30,5,2020,0,1,"Croatia","HR","HRV",4076246,"Europe",0.56424465
"6690",2020-05-29,29,5,2020,1,1,"Croatia","HR","HRV",4076246,"Europe",0.58877703
"6691",2020-05-28,28,5,2020,0,0,"Croatia","HR","HRV",4076246,"Europe",0.76050366
"6692",2020-05-27,27,5,2020,0,1,"Croatia","HR","HRV",4076246,"Europe",0.90769792
"6693",2020-05-26,26,5,2020,0,1,"Croatia","HR","HRV",4076246,"Europe",1.17755405
"6694",2020-05-25,25,5,2020,1,0,"Croatia","HR","HRV",4076246,"Europe",1.39834544
"6695",2020-05-24,24,5,2020,0,0,"Croatia","HR","HRV",4076246,"Europe",1.6436692
"6696",2020-05-23,23,5,2020,6,2,"Croatia","HR","HRV",4076246,"Europe",2.01165484
"6697",2020-05-22,22,5,2020,3,1,"Croatia","HR","HRV",4076246,"Europe",2.74762612
"6698",2020-05-21,21,5,2020,2,0,"Croatia","HR","HRV",4076246,"Europe",2.82122325
"6699",2020-05-20,20,5,2020,4,1,"Croatia","HR","HRV",4076246,"Europe",2.94388513
"6700",2020-05-19,19,5,2020,2,0,"Croatia","HR","HRV",4076246,"Europe",3.11561177
"6701",2020-05-18,18,5,2020,2,0,"Croatia","HR","HRV",4076246,"Europe",3.18920889
"6702",2020-05-17,17,5,2020,2,0,"Croatia","HR","HRV",4076246,"Europe",3.33640315
"6703",2020-05-16,16,5,2020,1,1,"Croatia","HR","HRV",4076246,"Europe",3.36093553
"6704",2020-05-15,15,5,2020,8,0,"Croatia","HR","HRV",4076246,"Europe",3.55719454
"6705",2020-05-14,14,5,2020,6,3,"Croatia","HR","HRV",4076246,"Europe",3.70438879
"6706",2020-05-13,13,5,2020,11,0,"Croatia","HR","HRV",4076246,"Europe",3.92518018
