"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"7270",2020-07-24,24,7,2020,4,0,"Cuba","CU","CUB",11333484,"America",0.55587496
"7271",2020-07-23,23,7,2020,13,0,"Cuba","CU","CUB",11333484,"America",0.55587496
"7272",2020-07-22,22,7,2020,3,0,"Cuba","CU","CUB",11333484,"America",0.47646425
"7273",2020-07-21,21,7,2020,0,0,"Cuba","CU","CUB",11333484,"America",0.5823452
"7274",2020-07-20,20,7,2020,1,0,"Cuba","CU","CUB",11333484,"America",0.6529325
"7275",2020-07-19,19,7,2020,1,0,"Cuba","CU","CUB",11333484,"America",0.67057932
"7276",2020-07-18,18,7,2020,4,0,"Cuba","CU","CUB",11333484,"America",0.73234321
"7277",2020-07-17,17,7,2020,2,0,"Cuba","CU","CUB",11333484,"America",0.76763685
"7278",2020-07-16,16,7,2020,6,0,"Cuba","CU","CUB",11333484,"America",0.79410709
"7279",2020-07-15,15,7,2020,4,0,"Cuba","CU","CUB",11333484,"America",0.8029305
"7280",2020-07-14,14,7,2020,2,0,"Cuba","CU","CUB",11333484,"America",0.77646027
"7281",2020-07-13,13,7,2020,6,0,"Cuba","CU","CUB",11333484,"America",0.82940074
"7282",2020-07-12,12,7,2020,7,1,"Cuba","CU","CUB",11333484,"America",0.79410709
"7283",2020-07-11,11,7,2020,10,0,"Cuba","CU","CUB",11333484,"America",0.77646027
"7284",2020-07-10,10,7,2020,4,0,"Cuba","CU","CUB",11333484,"America",0.72351979
"7285",2020-07-09,9,7,2020,4,0,"Cuba","CU","CUB",11333484,"America",0.70587297
"7286",2020-07-08,8,7,2020,15,0,"Cuba","CU","CUB",11333484,"America",0.67940273
"7287",2020-07-07,7,7,2020,8,0,"Cuba","CU","CUB",11333484,"America",0.57352179
"7288",2020-07-06,6,7,2020,3,0,"Cuba","CU","CUB",11333484,"America",0.52940473
"7289",2020-07-05,5,7,2020,8,0,"Cuba","CU","CUB",11333484,"America",0.52940473
"7290",2020-07-04,4,7,2020,8,0,"Cuba","CU","CUB",11333484,"America",0.49411108
"7291",2020-07-03,3,7,2020,5,0,"Cuba","CU","CUB",11333484,"America",0.5117579
"7292",2020-07-02,2,7,2020,7,0,"Cuba","CU","CUB",11333484,"America",0.59999202
"7293",2020-07-01,1,7,2020,1,0,"Cuba","CU","CUB",11333484,"America",0.59999202
"7294",2020-06-30,30,6,2020,8,0,"Cuba","CU","CUB",11333484,"America",0.68822614
"7295",2020-06-29,29,6,2020,2,0,"Cuba","CU","CUB",11333484,"America",0.74116662
"7296",2020-06-28,28,6,2020,5,1,"Cuba","CU","CUB",11333484,"America",0.81175391
"7297",2020-06-27,27,6,2020,4,0,"Cuba","CU","CUB",11333484,"America",0.81175391
"7298",2020-06-26,26,6,2020,2,0,"Cuba","CU","CUB",11333484,"America",0.89998804
"7299",2020-06-25,25,6,2020,1,0,"Cuba","CU","CUB",11333484,"America",0.95292851
"7300",2020-06-24,24,6,2020,3,0,"Cuba","CU","CUB",11333484,"America",0.99704557
"7301",2020-06-23,23,6,2020,3,0,"Cuba","CU","CUB",11333484,"America",1.01469239
"7302",2020-06-22,22,6,2020,3,0,"Cuba","CU","CUB",11333484,"America",1.06763287
"7303",2020-06-21,21,6,2020,4,0,"Cuba","CU","CUB",11333484,"America",1.19998405
"7304",2020-06-20,20,6,2020,10,0,"Cuba","CU","CUB",11333484,"America",1.51762688
"7305",2020-06-19,19,6,2020,15,1,"Cuba","CU","CUB",11333484,"America",1.55292053
"7306",2020-06-18,18,6,2020,7,0,"Cuba","CU","CUB",11333484,"America",1.5264503
"7307",2020-06-17,17,6,2020,11,0,"Cuba","CU","CUB",11333484,"America",1.59703759
"7308",2020-06-16,16,6,2020,14,0,"Cuba","CU","CUB",11333484,"America",1.57939077
"7309",2020-06-15,15,6,2020,10,0,"Cuba","CU","CUB",11333484,"America",1.79115266
"7310",2020-06-14,14,6,2020,5,0,"Cuba","CU","CUB",11333484,"America",1.87938678
"7311",2020-06-13,13,6,2020,14,0,"Cuba","CU","CUB",11333484,"America",2.01173796
"7312",2020-06-12,12,6,2020,8,1,"Cuba","CU","CUB",11333484,"America",2.08232526
"7313",2020-06-11,11,6,2020,6,0,"Cuba","CU","CUB",11333484,"America",2.09114867
"7314",2020-06-10,10,6,2020,5,0,"Cuba","CU","CUB",11333484,"America",2.13526573
"7315",2020-06-09,9,6,2020,9,0,"Cuba","CU","CUB",11333484,"America",2.23232326
"7316",2020-06-08,8,6,2020,18,0,"Cuba","CU","CUB",11333484,"America",2.20585303
