"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"7500",2020-07-26,26,7,2020,0,0,"Curaçao","CW","CUW",163423,"America",2.44763589
"7501",2020-07-25,25,7,2020,1,0,"Curaçao","CW","CUW",163423,"America",2.44763589
"7502",2020-07-24,24,7,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.83572692
"7503",2020-07-23,23,7,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.83572692
"7504",2020-07-22,22,7,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.83572692
"7505",2020-07-21,21,7,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.83572692
"7506",2020-07-20,20,7,2020,2,0,"Curaçao","CW","CUW",163423,"America",1.83572692
"7507",2020-07-19,19,7,2020,0,0,"Curaçao","CW","CUW",163423,"America",0.61190897
"7508",2020-07-18,18,7,2020,0,0,"Curaçao","CW","CUW",163423,"America",0.61190897
"7509",2020-07-17,17,7,2020,0,0,"Curaçao","CW","CUW",163423,"America",0.61190897
"7510",2020-07-16,16,7,2020,0,0,"Curaçao","CW","CUW",163423,"America",0.61190897
"7511",2020-07-15,15,7,2020,0,0,"Curaçao","CW","CUW",163423,"America",0.61190897
"7512",2020-07-14,14,7,2020,1,0,"Curaçao","CW","CUW",163423,"America",1.22381794
"7513",2020-07-13,13,7,2020,0,0,"Curaçao","CW","CUW",163423,"America",0.61190897
"7514",2020-07-12,12,7,2020,0,0,"Curaçao","CW","CUW",163423,"America",0.61190897
"7515",2020-07-11,11,7,2020,0,0,"Curaçao","CW","CUW",163423,"America",0.61190897
"7516",2020-07-10,10,7,2020,0,0,"Curaçao","CW","CUW",163423,"America",0.61190897
"7517",2020-07-09,9,7,2020,0,0,"Curaçao","CW","CUW",163423,"America",0.61190897
"7518",2020-07-08,8,7,2020,0,0,"Curaçao","CW","CUW",163423,"America",0.61190897
"7519",2020-07-07,7,7,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.22381794
"7520",2020-07-06,6,7,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.22381794
"7521",2020-07-05,5,7,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.22381794
"7522",2020-07-04,4,7,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.22381794
"7523",2020-07-03,3,7,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.22381794
"7524",2020-07-02,2,7,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.22381794
"7525",2020-07-01,1,7,2020,1,0,"Curaçao","CW","CUW",163423,"America",1.83572692
"7526",2020-06-30,30,6,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.22381794
"7527",2020-06-29,29,6,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.22381794
"7528",2020-06-28,28,6,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.22381794
"7529",2020-06-27,27,6,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.22381794
"7530",2020-06-26,26,6,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.22381794
"7531",2020-06-25,25,6,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.83572692
"7532",2020-06-24,24,6,2020,1,0,"Curaçao","CW","CUW",163423,"America",1.83572692
"7533",2020-06-23,23,6,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.22381794
"7534",2020-06-22,22,6,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.22381794
"7535",2020-06-21,21,6,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.22381794
"7536",2020-06-20,20,6,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.22381794
"7537",2020-06-19,19,6,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.22381794
"7538",2020-06-18,18,6,2020,1,0,"Curaçao","CW","CUW",163423,"America",1.83572692
"7539",2020-06-17,17,6,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.22381794
"7540",2020-06-16,16,6,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.22381794
"7541",2020-06-15,15,6,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.83572692
"7542",2020-06-14,14,6,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.83572692
"7543",2020-06-13,13,6,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.83572692
"7544",2020-06-12,12,6,2020,1,0,"Curaçao","CW","CUW",163423,"America",1.83572692
"7545",2020-06-11,11,6,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.83572692
"7546",2020-06-10,10,6,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.83572692
"7547",2020-06-09,9,6,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.83572692
"7548",2020-06-08,8,6,2020,0,0,"Curaçao","CW","CUW",163423,"America",2.44763589
"7549",2020-06-07,7,6,2020,0,0,"Curaçao","CW","CUW",163423,"America",3.05954486
"7550",2020-06-06,6,6,2020,0,0,"Curaçao","CW","CUW",163423,"America",3.05954486
"7551",2020-06-05,5,6,2020,1,0,"Curaçao","CW","CUW",163423,"America",3.05954486
"7552",2020-06-04,4,6,2020,0,0,"Curaçao","CW","CUW",163423,"America",2.44763589
"7553",2020-06-03,3,6,2020,0,0,"Curaçao","CW","CUW",163423,"America",2.44763589
"7554",2020-06-02,2,6,2020,1,0,"Curaçao","CW","CUW",163423,"America",2.44763589
"7555",2020-06-01,1,6,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.83572692
"7556",2020-05-31,31,5,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.83572692
"7557",2020-05-30,30,5,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.83572692
"7558",2020-05-29,29,5,2020,1,0,"Curaçao","CW","CUW",163423,"America",1.83572692
"7559",2020-05-28,28,5,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.22381794
"7560",2020-05-27,27,5,2020,0,0,"Curaçao","CW","CUW",163423,"America",1.22381794
"7561",2020-05-26,26,5,2020,1,0,"Curaçao","CW","CUW",163423,"America",1.22381794
