"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"7048",2020-07-12,12,7,2020,53,0,"Czechia","CZ","CZE",10649800,"Europe",17.06135326
"7049",2020-07-11,11,7,2020,143,0,"Czechia","CZ","CZE",10649800,"Europe",19.00505174
"7050",2020-07-10,10,7,2020,105,1,"Czechia","CZ","CZE",10649800,"Europe",19.23979793
"7051",2020-07-09,9,7,2020,129,0,"Czechia","CZ","CZE",10649800,"Europe",19.12711976
"7052",2020-07-08,8,7,2020,119,1,"Czechia","CZ","CZE",10649800,"Europe",19.10834006
"7053",2020-07-07,7,7,2020,51,2,"Czechia","CZ","CZE",10649800,"Europe",18.82664463
"7054",2020-07-06,6,7,2020,75,-3,"Czechia","CZ","CZE",10649800,"Europe",18.9393228
"7055",2020-07-05,5,7,2020,121,-1,"Czechia","CZ","CZE",10649800,"Europe",18.70457661
"7056",2020-07-04,4,7,2020,141,1,"Czechia","CZ","CZE",10649800,"Europe",17.96277864
"7057",2020-07-03,3,7,2020,132,2,"Czechia","CZ","CZE",10649800,"Europe",18.29142331
"7058",2020-07-02,2,7,2020,92,0,"Czechia","CZ","CZE",10649800,"Europe",17.69047306
"7059",2020-07-01,1,7,2020,149,1,"Czechia","CZ","CZE",10649800,"Europe",17.3054893
"7060",2020-06-30,30,6,2020,202,0,"Czechia","CZ","CZE",10649800,"Europe",16.34772484
"7061",2020-06-29,29,6,2020,305,1,"Czechia","CZ","CZE",10649800,"Europe",14.82656951
"7062",2020-06-28,28,6,2020,260,2,"Czechia","CZ","CZE",10649800,"Europe",12.27253094
"7063",2020-06-27,27,6,2020,168,0,"Czechia","CZ","CZE",10649800,"Europe",10.32883247
"7064",2020-06-26,26,6,2020,93,2,"Czechia","CZ","CZE",10649800,"Europe",9.23961013
"7065",2020-06-25,25,6,2020,127,4,"Czechia","CZ","CZE",10649800,"Europe",8.94852485
"7066",2020-06-24,24,6,2020,89,3,"Czechia","CZ","CZE",10649800,"Europe",8.44147308
"7067",2020-06-23,23,6,2020,63,0,"Czechia","CZ","CZE",10649800,"Europe",8.11282841
"7068",2020-06-22,22,6,2020,50,0,"Czechia","CZ","CZE",10649800,"Europe",8.1691675
"7069",2020-06-21,21,6,2020,42,1,"Czechia","CZ","CZE",10649800,"Europe",8.27245582
"7070",2020-06-20,20,6,2020,176,1,"Czechia","CZ","CZE",10649800,"Europe",8.23489643
"7071",2020-06-19,19,6,2020,68,1,"Czechia","CZ","CZE",10649800,"Europe",6.9109279
"7072",2020-06-18,18,6,2020,51,2,"Czechia","CZ","CZE",10649800,"Europe",6.79824973
"7073",2020-06-17,17,6,2020,47,1,"Czechia","CZ","CZE",10649800,"Europe",7.01421623
"7074",2020-06-16,16,6,2020,40,1,"Czechia","CZ","CZE",10649800,"Europe",7.15506394
"7075",2020-06-15,15,6,2020,33,0,"Czechia","CZ","CZE",10649800,"Europe",7.05177562
"7076",2020-06-14,14,6,2020,53,0,"Czechia","CZ","CZE",10649800,"Europe",7.1456741
"7077",2020-06-13,13,6,2020,52,0,"Czechia","CZ","CZE",10649800,"Europe",6.96726699
"7078",2020-06-12,12,6,2020,62,1,"Czechia","CZ","CZE",10649800,"Europe",7.00482638
"7079",2020-06-11,11,6,2020,73,0,"Czechia","CZ","CZE",10649800,"Europe",6.9297076
"7080",2020-06-10,10,6,2020,54,0,"Czechia","CZ","CZE",10649800,"Europe",6.58228324
"7081",2020-06-09,9,6,2020,69,1,"Czechia","CZ","CZE",10649800,"Europe",6.50716445
"7082",2020-06-08,8,6,2020,61,0,"Czechia","CZ","CZE",10649800,"Europe",6.3005878
"7083",2020-06-07,7,6,2020,38,0,"Czechia","CZ","CZE",10649800,"Europe",6.35692689
"7084",2020-06-06,6,6,2020,35,1,"Czechia","CZ","CZE",10649800,"Europe",6.72313095
"7085",2020-06-05,5,6,2020,56,2,"Czechia","CZ","CZE",10649800,"Europe",6.9484873
"7086",2020-06-04,4,6,2020,74,1,"Czechia","CZ","CZE",10649800,"Europe",6.7325208
"7087",2020-06-03,3,6,2020,62,2,"Czechia","CZ","CZE",10649800,"Europe",6.7325208
"7088",2020-06-02,2,6,2020,29,1,"Czechia","CZ","CZE",10649800,"Europe",6.72313095
"7089",2020-06-01,1,6,2020,43,1,"Czechia","CZ","CZE",10649800,"Europe",7.49309846
"7090",2020-05-31,31,5,2020,34,0,"Czechia","CZ","CZE",10649800,"Europe",7.27713196
"7091",2020-05-30,30,5,2020,56,0,"Czechia","CZ","CZE",10649800,"Europe",7.41797968
"7092",2020-05-29,29,5,2020,54,2,"Czechia","CZ","CZE",10649800,"Europe",7.40858983
"7093",2020-05-28,28,5,2020,36,0,"Czechia","CZ","CZE",10649800,"Europe",7.67150557
"7094",2020-05-27,27,5,2020,46,0,"Czechia","CZ","CZE",10649800,"Europe",7.78418374
"7095",2020-05-26,26,5,2020,47,2,"Czechia","CZ","CZE",10649800,"Europe",7.77479389
"7096",2020-05-25,25,5,2020,67,1,"Czechia","CZ","CZE",10649800,"Europe",7.83113298
"7097",2020-05-24,24,5,2020,77,2,"Czechia","CZ","CZE",10649800,"Europe",7.46492892
"7098",2020-05-23,23,5,2020,59,6,"Czechia","CZ","CZE",10649800,"Europe",6.9109279
"7099",2020-05-22,22,5,2020,33,2,"Czechia","CZ","CZE",10649800,"Europe",6.78885988
"7100",2020-05-21,21,5,2020,74,2,"Czechia","CZ","CZE",10649800,"Europe",7.01421623
"7101",2020-05-20,20,5,2020,61,5,"Czechia","CZ","CZE",10649800,"Europe",7.05177562
"7102",2020-05-19,19,5,2020,111,0,"Czechia","CZ","CZE",10649800,"Europe",7.20201318
"7103",2020-05-18,18,5,2020,20,1,"Czechia","CZ","CZE",10649800,"Europe",6.5165543
"7104",2020-05-17,17,5,2020,49,1,"Czechia","CZ","CZE",10649800,"Europe",6.57289339
"7105",2020-05-16,16,5,2020,55,2,"Czechia","CZ","CZE",10649800,"Europe",6.28180811
"7106",2020-05-15,15,5,2020,82,3,"Czechia","CZ","CZE",10649800,"Europe",6.28180811
"7107",2020-05-14,14,5,2020,48,7,"Czechia","CZ","CZE",10649800,"Europe",6.47899491
"7108",2020-05-13,13,5,2020,45,1,"Czechia","CZ","CZE",10649800,"Europe",6.7325208
"7109",2020-05-12,12,5,2020,53,2,"Czechia","CZ","CZE",10649800,"Europe",6.82641928
"7110",2020-05-11,11,5,2020,28,4,"Czechia","CZ","CZE",10649800,"Europe",6.75130049
"7111",2020-05-10,10,5,2020,18,3,"Czechia","CZ","CZE",10649800,"Europe",6.97665684
"7112",2020-05-09,9,5,2020,46,3,"Czechia","CZ","CZE",10649800,"Europe",7.54943755
"7113",2020-05-08,8,5,2020,57,8,"Czechia","CZ","CZE",10649800,"Europe",7.91564161
"7114",2020-05-07,7,5,2020,78,5,"Czechia","CZ","CZE",10649800,"Europe",7.86869237
"7115",2020-05-06,6,5,2020,77,5,"Czechia","CZ","CZE",10649800,"Europe",8.02831978
"7116",2020-05-05,5,5,2020,38,4,"Czechia","CZ","CZE",10649800,"Europe",8.49781217
"7117",2020-05-04,4,5,2020,26,3,"Czechia","CZ","CZE",10649800,"Europe",9.33350861
"7118",2020-05-03,3,5,2020,18,5,"Czechia","CZ","CZE",10649800,"Europe",10.33822231
"7119",2020-05-02,2,5,2020,55,4,"Czechia","CZ","CZE",10649800,"Europe",11.15513906
"7120",2020-05-01,1,5,2020,103,9,"Czechia","CZ","CZE",10649800,"Europe",11.72791977
"7121",2020-04-30,30,4,2020,75,0,"Czechia","CZ","CZE",10649800,"Europe",11.98144566
"7122",2020-04-29,29,4,2020,55,4,"Czechia","CZ","CZE",10649800,"Europe",12.79836241
"7123",2020-04-28,28,4,2020,45,2,"Czechia","CZ","CZE",10649800,"Europe",13.0518883
"7124",2020-04-27,27,4,2020,52,3,"Czechia","CZ","CZE",10649800,"Europe",13.2678548
"7125",2020-04-26,26,4,2020,79,3,"Czechia","CZ","CZE",10649800,"Europe",13.61527916
"7126",2020-04-25,25,4,2020,85,2,"Czechia","CZ","CZE",10649800,"Europe",14.4697553
"7127",2020-04-24,24,4,2020,52,3,"Czechia","CZ","CZE",10649800,"Europe",15.20216342
"7128",2020-04-23,23,4,2020,95,9,"Czechia","CZ","CZE",10649800,"Europe",17.1270822
"7129",2020-04-22,22,4,2020,127,5,"Czechia","CZ","CZE",10649800,"Europe",19.00505174
"7130",2020-04-21,21,4,2020,127,8,"Czechia","CZ","CZE",10649800,"Europe",19.64356138
"7131",2020-04-20,20,4,2020,133,7,"Czechia","CZ","CZE",10649800,"Europe",20.65766493
"7132",2020-04-19,19,4,2020,105,8,"Czechia","CZ","CZE",10649800,"Europe",20.48864767
"7133",2020-04-18,18,4,2020,116,4,"Czechia","CZ","CZE",10649800,"Europe",22.15065072
"7134",2020-04-17,17,4,2020,130,3,"Czechia","CZ","CZE",10649800,"Europe",24.17885782
"7135",2020-04-16,16,4,2020,162,5,"Czechia","CZ","CZE",10649800,"Europe",25.48404665
"7136",2020-04-15,15,4,2020,82,18,"Czechia","CZ","CZE",10649800,"Europe",26.60143852
"7137",2020-04-14,14,4,2020,68,5,"Czechia","CZ","CZE",10649800,"Europe",28.70476441
"7138",2020-04-13,13,4,2020,89,9,"Czechia","CZ","CZE",10649800,"Europe",29.69069842
"7139",2020-04-12,12,4,2020,170,10,"Czechia","CZ","CZE",10649800,"Europe",30.41371669
"7140",2020-04-11,11,4,2020,163,7,"Czechia","CZ","CZE",10649800,"Europe",32.4231441
"7141",2020-04-10,10,4,2020,257,13,"Czechia","CZ","CZE",10649800,"Europe",32.93019587
"7142",2020-04-09,9,4,2020,295,11,"Czechia","CZ","CZE",10649800,"Europe",34.34806287
"7143",2020-04-08,8,4,2020,195,10,"Czechia","CZ","CZE",10649800,"Europe",34.01941821
"7144",2020-04-07,7,4,2020,235,11,"Czechia","CZ","CZE",10649800,"Europe",33.67199384
"7145",2020-04-06,6,4,2020,115,8,"Czechia","CZ","CZE",10649800,"Europe",32.13205882
"7146",2020-04-05,5,4,2020,282,6,"Czechia","CZ","CZE",10649800,"Europe",32.64850044
"7147",2020-04-04,4,4,2020,332,9,"Czechia","CZ","CZE",10649800,"Europe",30.85503953
"7148",2020-04-03,3,4,2020,269,5,"Czechia","CZ","CZE",10649800,"Europe",29.70947811
"7149",2020-04-02,2,4,2020,281,8,"Czechia","CZ","CZE",10649800,"Europe",28.79866289
"7150",2020-04-01,1,4,2020,306,7,"Czechia","CZ","CZE",10649800,"Europe",26.98642228
"7151",2020-03-31,31,3,2020,173,8,"Czechia","CZ","CZE",10649800,"Europe",24.95821518
"7152",2020-03-30,30,3,2020,166,5,"Czechia","CZ","CZE",10649800,"Europe",23.76570452
"7153",2020-03-29,29,3,2020,384,2,"Czechia","CZ","CZE",10649800,"Europe",22.99573701
"7154",2020-03-28,28,3,2020,217,0,"Czechia","CZ","CZE",10649800,"Europe",19.99098575
"7155",2020-03-27,27,3,2020,408,3,"Czechia","CZ","CZE",10649800,"Europe",18.27264362
"7156",2020-03-26,26,3,2020,260,3,"Czechia","CZ","CZE",10649800,"Europe",14.64816241
"7157",2020-03-25,25,3,2020,158,2,"Czechia","CZ","CZE",10649800,"Europe",12.49788728
"7158",2020-03-24,24,3,2020,71,0,"Czechia","CZ","CZE",10649800,"Europe",11.23025785
"7159",2020-03-23,23,3,2020,170,1,"Czechia","CZ","CZE",10649800,"Europe",10.63869744
"7160",2020-03-22,22,3,2020,91,0,"Czechia","CZ","CZE",10649800,"Europe",9.09876242
"7161",2020-03-21,21,3,2020,210,0,"Czechia","CZ","CZE",10649800,"Europe",8.31001521
"7162",2020-03-20,20,3,2020,172,0,"Czechia","CZ","CZE",10649800,"Europe",6.40387613
"7163",2020-03-19,19,3,2020,88,0,"Czechia","CZ","CZE",10649800,"Europe",4.82638172
"7164",2020-03-18,18,3,2020,90,0,"Czechia","CZ","CZE",10649800,"Europe",4.02824466
"7165",2020-03-17,17,3,2020,46,0,"Czechia","CZ","CZE",10649800,"Europe",3.18315837
"7166",2020-03-16,16,3,2020,84,0,"Czechia","CZ","CZE",10649800,"Europe",2.77000507
"7167",2020-03-15,15,3,2020,64,0,"Czechia","CZ","CZE",10649800,"Europe",2.00942741
"7168",2020-03-14,14,3,2020,34,0,"Czechia","CZ","CZE",10649800,"Europe",1.40847715
"7169",2020-03-13,13,3,2020,22,0,"Czechia","CZ","CZE",10649800,"Europe",1.08922233
"7170",2020-03-12,12,3,2020,31,0,"Czechia","CZ","CZE",10649800,"Europe",0.88264568
"7171",2020-03-11,11,3,2020,23,0,"Czechia","CZ","CZE",10649800,"Europe",0.5915604
"7172",2020-03-10,10,3,2020,8,0,"Czechia","CZ","CZE",10649800,"Europe",0.37559391
"7173",2020-03-09,9,3,2020,6,0,"Czechia","CZ","CZE",10649800,"Europe",0.30047513
"7174",2020-03-08,8,3,2020,7,0,"Czechia","CZ","CZE",10649800,"Europe",0.24413604
"7175",2020-03-07,7,3,2020,7,0,"Czechia","CZ","CZE",10649800,"Europe",0.17840711
"7176",2020-03-06,6,3,2020,4,0,"Czechia","CZ","CZE",10649800,"Europe",0.11267817
"7177",2020-03-05,5,3,2020,3,0,"Czechia","CZ","CZE",10649800,"Europe",0.07511878
"7178",2020-03-04,4,3,2020,0,0,"Czechia","CZ","CZE",10649800,"Europe",0.04694924
"7179",2020-03-03,3,3,2020,2,0,"Czechia","CZ","CZE",10649800,"Europe",0.04694924
"7180",2020-03-02,2,3,2020,3,0,"Czechia","CZ","CZE",10649800,"Europe",0.02816954
"7181",2020-03-01,1,3,2020,0,0,"Czechia","CZ","CZE",10649800,"Europe",0
"7182",2020-02-29,29,2,2020,0,0,"Czechia","CZ","CZE",10649800,"Europe",0
"7183",2020-02-28,28,2,2020,0,0,"Czechia","CZ","CZE",10649800,"Europe",0
"7184",2020-02-27,27,2,2020,0,0,"Czechia","CZ","CZE",10649800,"Europe",0
"7185",2020-02-26,26,2,2020,0,0,"Czechia","CZ","CZE",10649800,"Europe",0
"7186",2020-02-25,25,2,2020,0,0,"Czechia","CZ","CZE",10649800,"Europe",0
"7187",2020-02-24,24,2,2020,0,0,"Czechia","CZ","CZE",10649800,"Europe",0
"7188",2020-02-23,23,2,2020,0,0,"Czechia","CZ","CZE",10649800,"Europe",0
"7189",2020-02-22,22,2,2020,0,0,"Czechia","CZ","CZE",10649800,"Europe",0
"7190",2020-02-21,21,2,2020,0,0,"Czechia","CZ","CZE",10649800,"Europe",0
"7191",2020-02-20,20,2,2020,0,0,"Czechia","CZ","CZE",10649800,"Europe",0
"7192",2020-02-19,19,2,2020,0,0,"Czechia","CZ","CZE",10649800,"Europe",0
"7193",2020-02-18,18,2,2020,0,0,"Czechia","CZ","CZE",10649800,"Europe",0
"7194",2020-02-17,17,2,2020,0,0,"Czechia","CZ","CZE",10649800,"Europe",0
"7195",2020-02-16,16,2,2020,0,0,"Czechia","CZ","CZE",10649800,"Europe",0
"7196",2020-02-15,15,2,2020,0,0,"Czechia","CZ","CZE",10649800,"Europe",0
"7197",2020-02-14,14,2,2020,0,0,"Czechia","CZ","CZE",10649800,"Europe",0
"7198",2020-02-13,13,2,2020,0,0,"Czechia","CZ","CZE",10649800,"Europe",0
"7199",2020-02-12,12,2,2020,0,0,"Czechia","CZ","CZE",10649800,"Europe",0
"7200",2020-02-11,11,2,2020,0,0,"Czechia","CZ","CZE",10649800,"Europe",0
"7201",2020-02-10,10,2,2020,0,0,"Czechia","CZ","CZE",10649800,"Europe",0
"7202",2020-02-09,9,2,2020,0,0,"Czechia","CZ","CZE",10649800,"Europe",0
"7203",2020-02-08,8,2,2020,0,0,"Czechia","CZ","CZE",10649800,"Europe",0
"7204",2020-02-07,7,2,2020,0,0,"Czechia","CZ","CZE",10649800,"Europe",0
