"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"7867",2020-07-24,24,7,2020,94,3,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.00702187
"7868",2020-07-23,23,7,2020,92,2,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.02315265
"7869",2020-07-22,22,7,2020,91,1,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.00586967
"7870",2020-07-21,21,7,2020,40,1,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.16372092
"7871",2020-07-20,20,7,2020,79,1,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.14298134
"7872",2020-07-19,19,7,2020,75,0,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.08882799
"7873",2020-07-18,18,7,2020,50,0,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.22133087
"7874",2020-07-17,17,7,2020,36,1,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.16372092
"7875",2020-07-16,16,7,2020,27,2,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.19943909
"7876",2020-07-15,15,7,2020,61,0,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.26396223
"7877",2020-07-14,14,7,2020,42,1,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.30774579
"7878",2020-07-13,13,7,2020,62,0,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.38955192
"7879",2020-07-12,12,7,2020,66,0,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.63381809
"7880",2020-07-11,11,7,2020,59,0,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.55777296
"7881",2020-07-10,10,7,2020,108,4,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.65225327
"7882",2020-07-09,9,7,2020,77,2,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.97026018
"7883",2020-07-08,8,7,2020,228,0,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.88154086
"7884",2020-07-07,7,7,2020,22,1,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.73636379
"7885",2020-07-06,6,7,2020,32,0,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.82508311
"7886",2020-07-05,5,7,2020,190,6,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.96680358
"7887",2020-07-04,4,7,2020,0,0,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.97256458
"7888",2020-07-03,3,7,2020,67,1,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",2.19609117
"7889",2020-07-02,2,7,2020,83,5,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",2.32974625
"7890",2020-07-01,1,7,2020,99,2,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",2.3781386
"7891",2020-06-30,30,6,2020,113,10,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",2.42192216
"7892",2020-06-29,29,6,2020,274,8,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",2.36085562
"7893",2020-06-28,28,6,2020,0,0,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",2.10737185
"7894",2020-06-27,27,6,2020,141,7,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",2.20761316
"7895",2020-06-26,26,6,2020,384,7,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",2.18572138
"7896",2020-06-25,25,6,2020,0,0,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.88730186
"7897",2020-06-24,24,6,2020,102,0,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",2.03823992
"7898",2020-06-23,23,6,2020,99,5,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",2.09700206
"7899",2020-06-22,22,6,2020,155,6,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",2.08548007
"7900",2020-06-21,21,6,2020,195,3,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",2.06589269
"7901",2020-06-20,20,6,2020,194,4,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.97256458
"7902",2020-06-19,19,6,2020,183,2,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.88845405
"7903",2020-06-18,18,6,2020,125,3,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.84927929
"7904",2020-06-17,17,6,2020,137,0,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.89997604
"7905",2020-06-16,16,6,2020,60,6,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.89306285
"7906",2020-06-15,15,6,2020,54,1,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.99099976
"7907",2020-06-14,14,6,2020,87,5,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",2.02441353
"7908",2020-06-13,13,6,2020,122,3,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",2.07741468
"7909",2020-06-12,12,6,2020,125,2,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.93799861
"7910",2020-06-11,11,6,2020,131,6,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.99330416
"7911",2020-06-10,10,6,2020,153,2,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.97371678
"7912",2020-06-09,9,6,2020,89,2,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",2.08317567
"7913",2020-06-08,8,6,2020,138,4,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.98062997
"7914",2020-06-07,7,6,2020,114,0,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",2.00136955
"7915",2020-06-06,6,6,2020,121,3,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",2.00367395
"7916",2020-06-05,5,6,2020,149,3,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.95643379
"7917",2020-06-04,4,6,2020,169,3,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.91149803
"7918",2020-06-03,3,6,2020,131,0,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.8366051
"7919",2020-06-02,2,6,2020,145,1,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.80319133
"7920",2020-06-01,1,6,2020,83,2,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.8377573
"7921",2020-05-31,31,5,2020,133,0,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.74212479
"7922",2020-05-30,30,5,2020,1,0,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.68681924
"7923",2020-05-29,29,5,2020,173,1,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.76747317
"7924",2020-05-28,28,5,2020,114,1,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.63266589
"7925",2020-05-27,27,5,2020,248,0,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.58542573
"7926",2020-05-26,26,5,2020,0,0,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.37687773
"7927",2020-05-25,25,5,2020,156,4,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.46674924
"7928",2020-05-24,24,5,2020,116,0,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.32502878
"7929",2020-05-23,23,5,2020,80,0,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.25359244
"7930",2020-05-22,22,5,2020,110,2,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.20750448
"7931",2020-05-21,21,5,2020,104,0,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.11993736
"7932",2020-05-20,20,5,2020,102,0,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.18215611
"7933",2020-05-19,19,5,2020,175,1,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",1.08882799
"7934",2020-05-18,18,5,2020,0,0,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",0.88719318
"7935",2020-05-17,17,5,2020,85,0,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",0.89871517
"7936",2020-05-16,16,5,2020,71,10,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",0.88143219
"7937",2020-05-15,15,5,2020,56,0,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",0.83649643
"7938",2020-05-14,14,5,2020,73,0,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",0.85493161
"7939",2020-05-13,13,5,2020,67,6,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",0.78119088
"7940",2020-05-12,12,5,2020,78,3,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",0.72703753
"7941",2020-05-11,11,5,2020,33,0,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",0.6509924
"7942",2020-05-10,10,5,2020,54,2,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",0.63255722
"7943",2020-05-09,9,5,2020,40,3,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",0.60029565
"7944",2020-05-08,8,5,2020,34,0,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",0.57955606
"7945",2020-05-07,7,5,2020,158,2,"Democratic_Republic_of_the_Congo","CD","COD",86790568,"Africa",0.55996868
