"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"7736",2020-07-19,19,7,2020,0,0,"Denmark","DK","DNK",5806081,"Europe",5.87315265
"7737",2020-07-18,18,7,2020,49,1,"Denmark","DK","DNK",5806081,"Europe",5.87315265
"7738",2020-07-17,17,7,2020,32,0,"Denmark","DK","DNK",5806081,"Europe",5.32200636
"7739",2020-07-16,16,7,2020,31,0,"Denmark","DK","DNK",5806081,"Europe",5.13254982
"7740",2020-07-15,15,7,2020,24,0,"Denmark","DK","DNK",5806081,"Europe",5.04643321
"7741",2020-07-14,14,7,2020,91,1,"Denmark","DK","DNK",5806081,"Europe",4.92586996
"7742",2020-07-13,13,7,2020,0,0,"Denmark","DK","DNK",5806081,"Europe",4.66752014
"7743",2020-07-12,12,7,2020,0,0,"Denmark","DK","DNK",5806081,"Europe",4.66752014
"7744",2020-07-11,11,7,2020,30,0,"Denmark","DK","DNK",5806081,"Europe",4.66752014
"7745",2020-07-10,10,7,2020,16,0,"Denmark","DK","DNK",5806081,"Europe",4.82253003
"7746",2020-07-09,9,7,2020,12,0,"Denmark","DK","DNK",5806081,"Europe",4.90864664
"7747",2020-07-08,8,7,2020,10,2,"Denmark","DK","DNK",5806081,"Europe",5.63202615
"7748",2020-07-07,7,7,2020,46,1,"Denmark","DK","DNK",5806081,"Europe",6.04538586
"7749",2020-07-06,6,7,2020,0,0,"Denmark","DK","DNK",5806081,"Europe",7.5954848
"7750",2020-07-05,5,7,2020,0,0,"Denmark","DK","DNK",5806081,"Europe",7.5954848
"7751",2020-07-04,4,7,2020,17,0,"Denmark","DK","DNK",5806081,"Europe",7.5954848
"7752",2020-07-03,3,7,2020,21,0,"Denmark","DK","DNK",5806081,"Europe",8.11218445
"7753",2020-07-02,2,7,2020,26,1,"Denmark","DK","DNK",5806081,"Europe",8.61166077
"7754",2020-07-01,1,7,2020,17,0,"Denmark","DK","DNK",5806081,"Europe",8.92168056
"7755",2020-06-30,30,6,2020,76,1,"Denmark","DK","DNK",5806081,"Europe",9.19725371
"7756",2020-06-29,29,6,2020,0,0,"Denmark","DK","DNK",5806081,"Europe",8.30164099
"7757",2020-06-28,28,6,2020,0,0,"Denmark","DK","DNK",5806081,"Europe",9.23170035
"7758",2020-06-27,27,6,2020,39,1,"Denmark","DK","DNK",5806081,"Europe",9.92063321
"7759",2020-06-26,26,6,2020,21,0,"Denmark","DK","DNK",5806081,"Europe",10.35121625
"7760",2020-06-25,25,6,2020,54,0,"Denmark","DK","DNK",5806081,"Europe",10.31676961
"7761",2020-06-24,24,6,2020,34,1,"Denmark","DK","DNK",5806081,"Europe",9.64506007
"7762",2020-06-23,23,6,2020,136,2,"Denmark","DK","DNK",5806081,"Europe",9.73117667
"7763",2020-06-22,22,6,2020,0,0,"Denmark","DK","DNK",5806081,"Europe",7.62993145
"7764",2020-06-21,21,6,2020,0,0,"Denmark","DK","DNK",5806081,"Europe",8.04329116
"7765",2020-06-20,20,6,2020,47,0,"Denmark","DK","DNK",5806081,"Europe",8.88723392
"7766",2020-06-19,19,6,2020,50,2,"Denmark","DK","DNK",5806081,"Europe",9.18003039
"7767",2020-06-18,18,6,2020,44,0,"Denmark","DK","DNK",5806081,"Europe",9.00779717
"7768",2020-06-17,17,6,2020,33,0,"Denmark","DK","DNK",5806081,"Europe",8.88723392
"7769",2020-06-16,16,6,2020,24,1,"Denmark","DK","DNK",5806081,"Europe",8.92168056
"7770",2020-06-15,15,6,2020,54,0,"Denmark","DK","DNK",5806081,"Europe",9.02502049
"7771",2020-06-14,14,6,2020,40,3,"Denmark","DK","DNK",5806081,"Europe",8.7150007
"7772",2020-06-13,13,6,2020,64,1,"Denmark","DK","DNK",5806081,"Europe",8.7150007
"7773",2020-06-12,12,6,2020,19,0,"Denmark","DK","DNK",5806081,"Europe",9.00779717
"7774",2020-06-11,11,6,2020,15,0,"Denmark","DK","DNK",5806081,"Europe",9.23170035
"7775",2020-06-10,10,6,2020,39,0,"Denmark","DK","DNK",5806081,"Europe",9.86896325
"7776",2020-06-09,9,6,2020,14,4,"Denmark","DK","DNK",5806081,"Europe",9.90340989
"7777",2020-06-08,8,6,2020,24,2,"Denmark","DK","DNK",5806081,"Europe",10.12731307
"7778",2020-06-07,7,6,2020,49,1,"Denmark","DK","DNK",5806081,"Europe",10.93680918
"7779",2020-06-06,6,6,2020,64,4,"Denmark","DK","DNK",5806081,"Europe",11.1090424
"7780",2020-06-05,5,6,2020,40,2,"Denmark","DK","DNK",5806081,"Europe",10.83346925
"7781",2020-06-04,4,6,2020,37,0,"Denmark","DK","DNK",5806081,"Europe",11.26405229
"7782",2020-06-03,3,6,2020,35,4,"Denmark","DK","DNK",5806081,"Europe",11.88409187
"7783",2020-06-02,2,6,2020,30,2,"Denmark","DK","DNK",5806081,"Europe",12.59024805
"7784",2020-06-01,1,6,2020,36,3,"Denmark","DK","DNK",5806081,"Europe",12.77970459
"7785",2020-05-31,31,5,2020,40,3,"Denmark","DK","DNK",5806081,"Europe",13.3480742
