"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"8180",2020-07-19,19,7,2020,1406,29,"Dominican_Republic","DO","DOM",10738957,"America",142.79785272
"8181",2020-07-18,18,7,2020,1370,1,"Dominican_Republic","DO","DOM",10738957,"America",139.35245294
"8182",2020-07-17,17,7,2020,1072,12,"Dominican_Republic","DO","DOM",10738957,"America",135.4507705
"8183",2020-07-16,16,7,2020,1366,19,"Dominican_Republic","DO","DOM",10738957,"America",133.01105498
"8184",2020-07-15,15,7,2020,799,7,"Dominican_Republic","DO","DOM",10738957,"America",127.91745046
"8185",2020-07-14,14,7,2020,974,6,"Dominican_Republic","DO","DOM",10738957,"America",127.47979157
"8186",2020-07-13,13,7,2020,1418,17,"Dominican_Republic","DO","DOM",10738957,"America",122.5351773
"8187",2020-07-12,12,7,2020,1199,16,"Dominican_Republic","DO","DOM",10738957,"America",116.35208149
"8188",2020-07-11,11,7,2020,1125,22,"Dominican_Republic","DO","DOM",10738957,"America",113.14879089
"8189",2020-07-10,10,7,2020,1202,13,"Dominican_Republic","DO","DOM",10738957,"America",108.47422147
"8190",2020-07-09,9,7,2020,1158,8,"Dominican_Republic","DO","DOM",10738957,"America",102.03039271
"8191",2020-07-08,8,7,2020,302,17,"Dominican_Republic","DO","DOM",10738957,"America",97.71898705
"8192",2020-07-07,7,7,2020,703,10,"Dominican_Republic","DO","DOM",10738957,"America",100.17732635
"8193",2020-07-06,6,7,2020,1241,8,"Dominican_Republic","DO","DOM",10738957,"America",100.08420743
"8194",2020-07-05,5,7,2020,1036,11,"Dominican_Republic","DO","DOM",10738957,"America",96.89954062
"8195",2020-07-04,4,7,2020,951,10,"Dominican_Republic","DO","DOM",10738957,"America",93.86386406
"8196",2020-07-03,3,7,2020,810,11,"Dominican_Republic","DO","DOM",10738957,"America",88.94718547
"8197",2020-07-02,2,7,2020,819,7,"Dominican_Republic","DO","DOM",10738957,"America",86.43297482
"8198",2020-07-01,1,7,2020,752,14,"Dominican_Republic","DO","DOM",10738957,"America",82.70821831
"8199",2020-06-30,30,6,2020,443,7,"Dominican_Republic","DO","DOM",10738957,"America",79.57011095
