"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"7974",2020-07-12,12,7,2020,1408,48,"Ecuador","EC","ECU",17373657,"America",72.72504574
"7975",2020-07-11,11,7,2020,783,44,"Ecuador","EC","ECU",17373657,"America",68.75351574
"7976",2020-07-10,10,7,2020,797,39,"Ecuador","EC","ECU",17373657,"America",68.27578097
"7977",2020-07-09,9,7,2020,976,27,"Ecuador","EC","ECU",17373657,"America",68.41967699
"7978",2020-07-08,8,7,2020,865,52,"Ecuador","EC","ECU",17373657,"America",66.77926242
"7979",2020-07-07,7,7,2020,422,40,"Ecuador","EC","ECU",17373657,"America",67.57356842
"7980",2020-07-06,6,7,2020,423,12,"Ecuador","EC","ECU",17373657,"America",65.1446037
"7981",2020-07-05,5,7,2020,878,69,"Ecuador","EC","ECU",17373657,"America",65.34030227
"7982",2020-07-04,4,7,2020,1189,61,"Ecuador","EC","ECU",17373657,"America",62.88831419
"7983",2020-07-03,3,7,2020,1211,63,"Ecuador","EC","ECU",17373657,"America",59.69382266
"7984",2020-07-02,2,7,2020,1825,49,"Ecuador","EC","ECU",17373657,"America",56.21729495
"7985",2020-07-01,1,7,2020,767,25,"Ecuador","EC","ECU",17373657,"America",48.86133069
"7986",2020-06-30,30,6,2020,410,73,"Ecuador","EC","ECU",17373657,"America",48.02097797
"7987",2020-06-29,29,6,2020,681,5,"Ecuador","EC","ECU",17373657,"America",48.9476683
"7988",2020-06-28,28,6,2020,718,18,"Ecuador","EC","ECU",17373657,"America",47.30149789
"7989",2020-06-27,27,6,2020,700,63,"Ecuador","EC","ECU",17373657,"America",46.49568021
"7990",2020-06-26,26,6,2020,822,34,"Ecuador","EC","ECU",17373657,"America",50.1679065
"7991",2020-06-25,25,6,2020,691,35,"Ecuador","EC","ECU",17373657,"America",45.43660555
"7992",2020-06-24,24,6,2020,1003,51,"Ecuador","EC","ECU",17373657,"America",44.46962433
"7993",2020-06-23,23,6,2020,0,0,"Ecuador","EC","ECU",17373657,"America",41.7989143
"7994",2020-06-22,22,6,2020,457,24,"Ecuador","EC","ECU",17373657,"America",43.28392117
"7995",2020-06-21,21,6,2020,452,43,"Ecuador","EC","ECU",17373657,"America",42.90979153
"7996",2020-06-20,20,6,2020,634,69,"Ecuador","EC","ECU",17373657,"America",46.94463578
"7997",2020-06-19,19,6,2020,607,80,"Ecuador","EC","ECU",17373657,"America",46.80073976
"7998",2020-06-18,18,6,2020,547,37,"Ecuador","EC","ECU",17373657,"America",43.30694453
"7999",2020-06-17,17,6,2020,621,41,"Ecuador","EC","ECU",17373657,"America",43.33572373
"8000",2020-06-16,16,6,2020,571,33,"Ecuador","EC","ECU",17373657,"America",42.17879978
"8001",2020-06-15,15,6,2020,395,22,"Ecuador","EC","ECU",17373657,"America",44.04944797
"8002",2020-06-14,14,6,2020,578,46,"Ecuador","EC","ECU",17373657,"America",44.80921892
"8003",2020-06-13,13,6,2020,1338,108,"Ecuador","EC","ECU",17373657,"America",41.48234307
"8004",2020-06-12,12,6,2020,0,0,"Ecuador","EC","ECU",17373657,"America",34.35661243
"8005",2020-06-11,11,6,2020,523,30,"Ecuador","EC","ECU",17373657,"America",36.47476176
"8006",2020-06-10,10,6,2020,539,48,"Ecuador","EC","ECU",17373657,"America",37.76982589
"8007",2020-06-09,9,6,2020,258,21,"Ecuador","EC","ECU",17373657,"America",34.66742782
"8008",2020-06-08,8,6,2020,392,13,"Ecuador","EC","ECU",17373657,"America",36.63016946
"8009",2020-06-07,7,6,2020,1153,74,"Ecuador","EC","ECU",17373657,"America",37.24028856
"8010",2020-06-06,6,6,2020,609,48,"Ecuador","EC","ECU",17373657,"America",33.07881582
"8011",2020-06-05,5,6,2020,0,0,"Ecuador","EC","ECU",17373657,"America",32.57805769
"8012",2020-06-04,4,6,2020,552,48,"Ecuador","EC","ECU",17373657,"America",35.17969763
"8013",2020-06-03,3,6,2020,420,44,"Ecuador","EC","ECU",17373657,"America",36.04882956
"8014",2020-06-02,2,6,2020,896,36,"Ecuador","EC","ECU",17373657,"America",36.90644981
"8015",2020-06-01,1,6,2020,527,24,"Ecuador","EC","ECU",17373657,"America",34.05155288
"8016",2020-05-31,31,5,2020,0,0,"Ecuador","EC","ECU",17373657,"America",33.42992209
"8017",2020-05-30,30,5,2020,100,21,"Ecuador","EC","ECU",17373657,"America",40.88949149
"8018",2020-05-29,29,5,2020,368,38,"Ecuador","EC","ECU",17373657,"America",45.86829359
"8019",2020-05-28,28,5,2020,748,72,"Ecuador","EC","ECU",17373657,"America",43.84223771
"8020",2020-05-27,27,5,2020,0,0,"Ecuador","EC","ECU",17373657,"America",39.92251027
"8021",2020-05-26,26,5,2020,599,95,"Ecuador","EC","ECU",17373657,"America",45.1603252
"8022",2020-05-25,25,5,2020,498,12,"Ecuador","EC","ECU",17373657,"America",41.42478466
"8023",2020-05-24,24,5,2020,430,40,"Ecuador","EC","ECU",17373657,"America",41.36722626
"8024",2020-05-23,23,5,2020,522,117,"Ecuador","EC","ECU",17373657,"America",40.34844247
"8025",2020-05-22,22,5,2020,452,51,"Ecuador","EC","ECU",17373657,"America",28.82524963
"8026",2020-05-21,21,5,2020,703,49,"Ecuador","EC","ECU",17373657,"America",31.27723772
"8027",2020-05-20,20,5,2020,569,40,"Ecuador","EC","ECU",17373657,"America",13.06575812
"8028",2020-05-19,19,5,2020,400,63,"Ecuador","EC","ECU",17373657,"America",9.79068483
"8029",2020-05-18,18,5,2020,419,48,"Ecuador","EC","ECU",17373657,"America",20.97428308
"8030",2020-05-17,17,5,2020,1296,94,"Ecuador","EC","ECU",17373657,"America",30.50019924
"8031",2020-05-16,16,5,2020,965,256,"Ecuador","EC","ECU",17373657,"America",29.53321802
"8032",2020-05-15,15,5,2020,16,4,"Ecuador","EC","ECU",17373657,"America",32.04852035
"8033",2020-05-14,14,5,2020,67,7,"Ecuador","EC","ECU",17373657,"America",33.44718962
"8034",2020-05-13,13,5,2020,910,182,"Ecuador","EC","ECU",17373657,"America",35.46173382
"8035",2020-05-12,12,5,2020,-50,18,"Ecuador","EC","ECU",17373657,"America",36.0833646
"8036",2020-05-11,11,5,2020,488,410,"Ecuador","EC","ECU",17373657,"America",39.36994957
"8037",2020-05-10,10,5,2020,253,13,"Ecuador","EC","ECU",17373657,"America",102.96047631
