"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"8454",2020-07-17,17,7,2020,928,53,"Egypt","EG","EGY",100388076,"Africa",14.41605475
"8455",2020-07-16,16,7,2020,913,59,"Egypt","EG","EGY",100388076,"Africa",14.97090152
"8456",2020-07-15,15,7,2020,929,73,"Egypt","EG","EGY",100388076,"Africa",15.55862073
"8457",2020-07-14,14,7,2020,1843,166,"Egypt","EG","EGY",100388076,"Africa",16.18419303
"8458",2020-07-13,13,7,2020,0,0,"Egypt","EG","EGY",100388076,"Africa",15.90826385
"8459",2020-07-12,12,7,2020,923,67,"Egypt","EG","EGY",100388076,"Africa",17.16837366
"8460",2020-07-11,11,7,2020,981,85,"Egypt","EG","EGY",100388076,"Africa",17.41242655
"8461",2020-07-10,10,7,2020,950,53,"Egypt","EG","EGY",100388076,"Africa",18.053937
"8462",2020-07-09,9,7,2020,1025,75,"Egypt","EG","EGY",100388076,"Africa",20.08505472
"8463",2020-07-08,8,7,2020,1057,67,"Egypt","EG","EGY",100388076,"Africa",19.06401712
"8464",2020-07-07,7,7,2020,969,79,"Egypt","EG","EGY",100388076,"Africa",19.33795404
"8465",2020-07-06,6,7,2020,1218,63,"Egypt","EG","EGY",100388076,"Africa",19.94260753
"8466",2020-07-05,5,7,2020,1324,79,"Egypt","EG","EGY",100388076,"Africa",20.19861403
"8467",2020-07-04,4,7,2020,1412,81,"Egypt","EG","EGY",100388076,"Africa",20.42075196
"8468",2020-07-03,3,7,2020,1485,86,"Egypt","EG","EGY",100388076,"Africa",20.78135256
"8469",2020-07-02,2,7,2020,1503,81,"Egypt","EG","EGY",100388076,"Africa",20.51538472
"8470",2020-07-01,1,7,2020,1557,81,"Egypt","EG","EGY",100388076,"Africa",20.37592592
"8471",2020-06-30,30,6,2020,1566,83,"Egypt","EG","EGY",100388076,"Africa",20.38588726
"8472",2020-06-29,29,6,2020,1265,81,"Egypt","EG","EGY",100388076,"Africa",20.51040404
"8473",2020-06-28,28,6,2020,1168,88,"Egypt","EG","EGY",100388076,"Africa",20.86203943
"8474",2020-06-27,27,6,2020,1625,87,"Egypt","EG","EGY",100388076,"Africa",21.36807563
"8475",2020-06-26,26,6,2020,2989,168,"Egypt","EG","EGY",100388076,"Africa",21.32125732
"8476",2020-06-25,25,6,2020,0,0,"Egypt","EG","EGY",100388076,"Africa",19.78023764
"8477",2020-06-24,24,6,2020,1332,87,"Egypt","EG","EGY",100388076,"Africa",21.22961297
"8478",2020-06-23,23,6,2020,1576,85,"Egypt","EG","EGY",100388076,"Africa",21.28240808
"8479",2020-06-22,22,6,2020,1475,87,"Egypt","EG","EGY",100388076,"Africa",21.07222376
"8480",2020-06-21,21,6,2020,1547,89,"Egypt","EG","EGY",100388076,"Africa",21.06425468
"8481",2020-06-20,20,6,2020,1774,79,"Egypt","EG","EGY",100388076,"Africa",21.01444797
"8482",2020-06-19,19,6,2020,1218,88,"Egypt","EG","EGY",100388076,"Africa",20.59009478
"8483",2020-06-18,18,6,2020,1363,84,"Egypt","EG","EGY",100388076,"Africa",20.52434992
"8484",2020-06-17,17,6,2020,1567,94,"Egypt","EG","EGY",100388076,"Africa",20.2414478
"8485",2020-06-16,16,6,2020,1691,97,"Egypt","EG","EGY",100388076,"Africa",19.82805209
"8486",2020-06-15,15,6,2020,1618,91,"Egypt","EG","EGY",100388076,"Africa",19.53718089
"8487",2020-06-14,14,6,2020,1676,62,"Egypt","EG","EGY",100388076,"Africa",19.45549788
"8488",2020-06-13,13,6,2020,1578,45,"Egypt","EG","EGY",100388076,"Africa",19.1476924
"8489",2020-06-12,12,6,2020,1442,35,"Egypt","EG","EGY",100388076,"Africa",18.85980961
"8490",2020-06-11,11,6,2020,1455,36,"Egypt","EG","EGY",100388076,"Africa",18.54602732
