"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"9323",2020-07-24,24,7,2020,10,0,"Eritrea","ER","ERI",3497117,"Africa",0.8292545
"9324",2020-07-23,23,7,2020,0,0,"Eritrea","ER","ERI",3497117,"Africa",1.02941938
"9325",2020-07-22,22,7,2020,0,0,"Eritrea","ER","ERI",3497117,"Africa",1.02941938
"9326",2020-07-21,21,7,2020,0,0,"Eritrea","ER","ERI",3497117,"Africa",1.02941938
"9327",2020-07-20,20,7,2020,0,0,"Eritrea","ER","ERI",3497117,"Africa",1.02941938
"9328",2020-07-19,19,7,2020,0,0,"Eritrea","ER","ERI",3497117,"Africa",1.02941938
"9329",2020-07-18,18,7,2020,0,0,"Eritrea","ER","ERI",3497117,"Africa",1.02941938
"9330",2020-07-17,17,7,2020,19,0,"Eritrea","ER","ERI",3497117,"Africa",1.02941938
"9331",2020-07-16,16,7,2020,0,0,"Eritrea","ER","ERI",3497117,"Africa",0.8292545
"9332",2020-07-15,15,7,2020,0,0,"Eritrea","ER","ERI",3497117,"Africa",0.8292545
"9333",2020-07-14,14,7,2020,0,0,"Eritrea","ER","ERI",3497117,"Africa",1.17239429
"9334",2020-07-13,13,7,2020,0,0,"Eritrea","ER","ERI",3497117,"Africa",1.17239429
"9335",2020-07-12,12,7,2020,0,0,"Eritrea","ER","ERI",3497117,"Africa",1.17239429
"9336",2020-07-11,11,7,2020,0,0,"Eritrea","ER","ERI",3497117,"Africa",1.85867387
"9337",2020-07-10,10,7,2020,17,0,"Eritrea","ER","ERI",3497117,"Africa",2.51635847
"9338",2020-07-09,9,7,2020,0,0,"Eritrea","ER","ERI",3497117,"Africa",2.05883875
"9339",2020-07-08,8,7,2020,0,0,"Eritrea","ER","ERI",3497117,"Africa",2.05883875
"9340",2020-07-07,7,7,2020,0,0,"Eritrea","ER","ERI",3497117,"Africa",2.05883875
"9341",2020-07-06,6,7,2020,0,0,"Eritrea","ER","ERI",3497117,"Africa",2.05883875
"9342",2020-07-05,5,7,2020,0,0,"Eritrea","ER","ERI",3497117,"Africa",2.05883875
"9343",2020-07-04,4,7,2020,0,0,"Eritrea","ER","ERI",3497117,"Africa",2.08743373
