"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"9572",2020-07-26,26,7,2020,5,0,"Estonia","EE","EST",1324820,"Europe",1.43415709
"9573",2020-07-25,25,7,2020,1,0,"Estonia","EE","EST",1324820,"Europe",1.13222928
"9574",2020-07-24,24,7,2020,2,0,"Estonia","EE","EST",1324820,"Europe",1.20771124
"9575",2020-07-23,23,7,2020,3,0,"Estonia","EE","EST",1324820,"Europe",1.66060295
"9576",2020-07-22,22,7,2020,1,0,"Estonia","EE","EST",1324820,"Europe",2.03801271
"9577",2020-07-21,21,7,2020,0,0,"Estonia","EE","EST",1324820,"Europe",2.03801271
"9578",2020-07-20,20,7,2020,0,0,"Estonia","EE","EST",1324820,"Europe",2.11349466
"9579",2020-07-19,19,7,2020,1,0,"Estonia","EE","EST",1324820,"Europe",2.11349466
"9580",2020-07-18,18,7,2020,4,0,"Estonia","EE","EST",1324820,"Europe",2.18897662
"9581",2020-07-17,17,7,2020,0,0,"Estonia","EE","EST",1324820,"Europe",1.96253076
"9582",2020-07-16,16,7,2020,1,0,"Estonia","EE","EST",1324820,"Europe",2.03801271
"9583",2020-07-15,15,7,2020,1,0,"Estonia","EE","EST",1324820,"Europe",1.96253076
"9584",2020-07-14,14,7,2020,0,0,"Estonia","EE","EST",1324820,"Europe",2.03801271
"9585",2020-07-13,13,7,2020,0,0,"Estonia","EE","EST",1324820,"Europe",2.03801271
"9586",2020-07-12,12,7,2020,1,0,"Estonia","EE","EST",1324820,"Europe",2.11349466
"9587",2020-07-11,11,7,2020,2,0,"Estonia","EE","EST",1324820,"Europe",2.03801271
"9588",2020-07-10,10,7,2020,8,0,"Estonia","EE","EST",1324820,"Europe",2.03801271
"9589",2020-07-09,9,7,2020,8,0,"Estonia","EE","EST",1324820,"Europe",1.50963905
"9590",2020-07-08,8,7,2020,1,0,"Estonia","EE","EST",1324820,"Europe",0.98126538
"9591",2020-07-07,7,7,2020,1,0,"Estonia","EE","EST",1324820,"Europe",0.98126538
"9592",2020-07-06,6,7,2020,0,0,"Estonia","EE","EST",1324820,"Europe",0.90578343
"9593",2020-07-05,5,7,2020,2,0,"Estonia","EE","EST",1324820,"Europe",0.90578343
"9594",2020-07-04,4,7,2020,1,0,"Estonia","EE","EST",1324820,"Europe",0.90578343
"9595",2020-07-03,3,7,2020,1,0,"Estonia","EE","EST",1324820,"Europe",0.98126538
"9596",2020-07-02,2,7,2020,0,0,"Estonia","EE","EST",1324820,"Europe",0.90578343
"9597",2020-07-01,1,7,2020,2,0,"Estonia","EE","EST",1324820,"Europe",1.05674733
"9598",2020-06-30,30,6,2020,0,0,"Estonia","EE","EST",1324820,"Europe",0.98126538
"9599",2020-06-29,29,6,2020,1,0,"Estonia","EE","EST",1324820,"Europe",1.05674733
"9600",2020-06-28,28,6,2020,0,0,"Estonia","EE","EST",1324820,"Europe",0.98126538
"9601",2020-06-27,27,6,2020,2,0,"Estonia","EE","EST",1324820,"Europe",1.20771124
"9602",2020-06-26,26,6,2020,1,0,"Estonia","EE","EST",1324820,"Europe",1.43415709
"9603",2020-06-25,25,6,2020,1,0,"Estonia","EE","EST",1324820,"Europe",1.88704881
"9604",2020-06-24,24,6,2020,1,0,"Estonia","EE","EST",1324820,"Europe",2.64186833
"9605",2020-06-23,23,6,2020,0,0,"Estonia","EE","EST",1324820,"Europe",3.09476004
"9606",2020-06-22,22,6,2020,0,0,"Estonia","EE","EST",1324820,"Europe",3.170242
"9607",2020-06-21,21,6,2020,2,0,"Estonia","EE","EST",1324820,"Europe",3.77409761
"9608",2020-06-20,20,6,2020,2,0,"Estonia","EE","EST",1324820,"Europe",5.20825471
"9609",2020-06-19,19,6,2020,0,0,"Estonia","EE","EST",1324820,"Europe",6.56692985
"9610",2020-06-18,18,6,2020,2,0,"Estonia","EE","EST",1324820,"Europe",7.32174937
"9611",2020-06-17,17,6,2020,1,0,"Estonia","EE","EST",1324820,"Europe",7.92560499
"9612",2020-06-16,16,6,2020,1,0,"Estonia","EE","EST",1324820,"Europe",7.85012304
"9613",2020-06-15,15,6,2020,0,0,"Estonia","EE","EST",1324820,"Europe",7.85012304
"9614",2020-06-14,14,6,2020,3,0,"Estonia","EE","EST",1324820,"Europe",8.15205084
"9615",2020-06-13,13,6,2020,5,0,"Estonia","EE","EST",1324820,"Europe",8.3784967
"9616",2020-06-12,12,6,2020,7,0,"Estonia","EE","EST",1324820,"Europe",8.60494256
"9617",2020-06-11,11,6,2020,11,0,"Estonia","EE","EST",1324820,"Europe",8.90687037
"9618",2020-06-10,10,6,2020,7,0,"Estonia","EE","EST",1324820,"Europe",8.52946061
"9619",2020-06-09,9,6,2020,1,0,"Estonia","EE","EST",1324820,"Europe",8.75590646
"9620",2020-06-08,8,6,2020,8,0,"Estonia","EE","EST",1324820,"Europe",8.75590646
