"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"9209",2020-07-17,17,7,2020,63,1,"Eswatini","SZ","SWZ",1148133,"Africa",59.13948994
"9210",2020-07-16,16,7,2020,55,0,"Eswatini","SZ","SWZ",1148133,"Africa",56.52655224
"9211",2020-07-15,15,7,2020,45,0,"Eswatini","SZ","SWZ",1148133,"Africa",54.17490831
"9212",2020-07-14,14,7,2020,38,0,"Eswatini","SZ","SWZ",1148133,"Africa",51.73616645
"9213",2020-07-13,13,7,2020,40,2,"Eswatini","SZ","SWZ",1148133,"Africa",49.64581629
"9214",2020-07-12,12,7,2020,54,0,"Eswatini","SZ","SWZ",1148133,"Africa",49.2974246
"9215",2020-07-11,11,7,2020,44,1,"Eswatini","SZ","SWZ",1148133,"Africa",46.07480144
"9216",2020-07-10,10,7,2020,75,3,"Eswatini","SZ","SWZ",1148133,"Africa",44.15864713
"9217",2020-07-09,9,7,2020,82,0,"Eswatini","SZ","SWZ",1148133,"Africa",39.01986965
"9218",2020-07-08,8,7,2020,45,1,"Eswatini","SZ","SWZ",1148133,"Africa",33.27140671
"9219",2020-07-07,7,7,2020,23,0,"Eswatini","SZ","SWZ",1148133,"Africa",32.05203578
"9220",2020-07-06,6,7,2020,34,0,"Eswatini","SZ","SWZ",1148133,"Africa",30.74556693
"9221",2020-07-05,5,7,2020,45,0,"Eswatini","SZ","SWZ",1148133,"Africa",28.48102093
"9222",2020-07-04,4,7,2020,36,2,"Eswatini","SZ","SWZ",1148133,"Africa",24.91000607
"9223",2020-07-03,3,7,2020,33,0,"Eswatini","SZ","SWZ",1148133,"Africa",24.99710399
"9224",2020-07-02,2,7,2020,28,0,"Eswatini","SZ","SWZ",1148133,"Africa",24.12612476
"9225",2020-07-01,1,7,2020,17,0,"Eswatini","SZ","SWZ",1148133,"Africa",25.43259361
"9226",2020-06-30,30,6,2020,14,0,"Eswatini","SZ","SWZ",1148133,"Africa",25.17129984
"9227",2020-06-29,29,6,2020,36,3,"Eswatini","SZ","SWZ",1148133,"Africa",25.34549569
"9228",2020-06-28,28,6,2020,17,0,"Eswatini","SZ","SWZ",1148133,"Africa",22.55836214
"9229",2020-06-27,27,6,2020,22,0,"Eswatini","SZ","SWZ",1148133,"Africa",22.29706837
"9230",2020-06-26,26,6,2020,16,1,"Eswatini","SZ","SWZ",1148133,"Africa",22.38416629
"9231",2020-06-25,25,6,2020,16,0,"Eswatini","SZ","SWZ",1148133,"Africa",25.43259361
"9232",2020-06-24,24,6,2020,31,1,"Eswatini","SZ","SWZ",1148133,"Africa",26.39067077
"9233",2020-06-23,23,6,2020,8,1,"Eswatini","SZ","SWZ",1148133,"Africa",26.39067077
"9234",2020-06-22,22,6,2020,8,0,"Eswatini","SZ","SWZ",1148133,"Africa",26.30357284
"9235",2020-06-21,21,6,2020,4,1,"Eswatini","SZ","SWZ",1148133,"Africa",26.56486661
"9236",2020-06-20,20,6,2020,37,0,"Eswatini","SZ","SWZ",1148133,"Africa",27.69713962
"9237",2020-06-19,19,6,2020,23,0,"Eswatini","SZ","SWZ",1148133,"Africa",24.91000607
"9238",2020-06-18,18,6,2020,43,0,"Eswatini","SZ","SWZ",1148133,"Africa",23.34224345
"9239",2020-06-17,17,6,2020,14,0,"Eswatini","SZ","SWZ",1148133,"Africa",19.77122859
"9240",2020-06-16,16,6,2020,16,0,"Eswatini","SZ","SWZ",1148133,"Africa",18.55185767
"9241",2020-06-15,15,6,2020,4,1,"Eswatini","SZ","SWZ",1148133,"Africa",17.85507428
"9242",2020-06-14,14,6,2020,14,0,"Eswatini","SZ","SWZ",1148133,"Africa",17.68087843
"9243",2020-06-13,13,6,2020,23,0,"Eswatini","SZ","SWZ",1148133,"Africa",16.8098992
"9244",2020-06-12,12,6,2020,51,0,"Eswatini","SZ","SWZ",1148133,"Africa",14.80664697
"9245",2020-06-11,11,6,2020,27,0,"Eswatini","SZ","SWZ",1148133,"Africa",10.97433834
"9246",2020-06-10,10,6,2020,31,0,"Eswatini","SZ","SWZ",1148133,"Africa",9.58077157
"9247",2020-06-09,9,6,2020,7,0,"Eswatini","SZ","SWZ",1148133,"Africa",7.31622556
"9248",2020-06-08,8,6,2020,11,0,"Eswatini","SZ","SWZ",1148133,"Africa",7.22912764
"9249",2020-06-07,7,6,2020,17,0,"Eswatini","SZ","SWZ",1148133,"Africa",7.31622556
"9250",2020-06-06,6,6,2020,5,0,"Eswatini","SZ","SWZ",1148133,"Africa",7.40332348
"9251",2020-06-05,5,6,2020,5,0,"Eswatini","SZ","SWZ",1148133,"Africa",6.96783387
"9252",2020-06-04,4,6,2020,2,0,"Eswatini","SZ","SWZ",1148133,"Africa",6.79363802
"9253",2020-06-03,3,6,2020,0,0,"Eswatini","SZ","SWZ",1148133,"Africa",7.40332348
"9254",2020-06-02,2,6,2020,8,1,"Eswatini","SZ","SWZ",1148133,"Africa",7.8388131
"9255",2020-06-01,1,6,2020,2,0,"Eswatini","SZ","SWZ",1148133,"Africa",7.14202971
"9256",2020-05-31,31,5,2020,4,0,"Eswatini","SZ","SWZ",1148133,"Africa",7.05493179
"9257",2020-05-30,30,5,2020,0,0,"Eswatini","SZ","SWZ",1148133,"Africa",7.75171518
"9258",2020-05-29,29,5,2020,7,0,"Eswatini","SZ","SWZ",1148133,"Africa",8.01300895
"9259",2020-05-28,28,5,2020,11,0,"Eswatini","SZ","SWZ",1148133,"Africa",7.40332348
"9260",2020-05-27,27,5,2020,5,0,"Eswatini","SZ","SWZ",1148133,"Africa",6.7065401
"9261",2020-05-26,26,5,2020,6,0,"Eswatini","SZ","SWZ",1148133,"Africa",7.05493179
