"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"9833",2020-07-19,19,7,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0.89892186
"9834",2020-07-18,18,7,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0.89892186
"9835",2020-07-17,17,7,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0.89892186
"9836",2020-07-16,16,7,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0.89892186
"9837",2020-07-15,15,7,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0.89892186
"9838",2020-07-14,14,7,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0.89892186
"9839",2020-07-13,13,7,2020,5,0,"Fiji","FJ","FJI",889955,"Oceania",0.89892186
"9840",2020-07-12,12,7,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0.3370957
"9841",2020-07-11,11,7,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0.3370957
"9842",2020-07-10,10,7,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0.3370957
"9843",2020-07-09,9,7,2020,2,0,"Fiji","FJ","FJI",889955,"Oceania",0.3370957
"9844",2020-07-08,8,7,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0.11236523
"9845",2020-07-07,7,7,2020,1,0,"Fiji","FJ","FJI",889955,"Oceania",0.11236523
"9846",2020-07-06,6,7,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0
"9847",2020-07-05,5,7,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0
"9848",2020-07-04,4,7,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0
"9849",2020-07-03,3,7,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0
"9850",2020-07-02,2,7,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0
"9851",2020-07-01,1,7,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0
"9852",2020-06-30,30,6,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0
"9853",2020-06-29,29,6,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0
"9854",2020-06-28,28,6,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0
"9855",2020-06-27,27,6,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0
"9856",2020-06-26,26,6,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0
"9857",2020-06-25,25,6,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0
"9858",2020-06-24,24,6,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0
"9859",2020-06-23,23,6,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0
"9860",2020-06-22,22,6,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0
"9861",2020-06-21,21,6,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0
"9862",2020-06-20,20,6,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0
"9863",2020-06-19,19,6,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0
"9864",2020-06-18,18,6,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0
"9865",2020-06-17,17,6,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0
"9866",2020-06-16,16,6,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0
"9867",2020-06-15,15,6,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0
"9868",2020-06-14,14,6,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0
"9869",2020-06-13,13,6,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0
"9870",2020-06-12,12,6,2020,0,0,"Fiji","FJ","FJI",889955,"Oceania",0
