"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"9479",2020-07-12,12,7,2020,0,0,"Finland","FI","FIN",5517919,"Europe",1.59480413
"9480",2020-07-11,11,7,2020,6,0,"Finland","FI","FIN",5517919,"Europe",1.59480413
"9481",2020-07-10,10,7,2020,8,0,"Finland","FI","FIN",5517919,"Europe",1.83040019
"9482",2020-07-09,9,7,2020,3,0,"Finland","FI","FIN",5517919,"Europe",1.77603187
"9483",2020-07-08,8,7,2020,5,0,"Finland","FI","FIN",5517919,"Europe",1.93913684
"9484",2020-07-07,7,7,2020,4,0,"Finland","FI","FIN",5517919,"Europe",2.04787348
"9485",2020-07-06,6,7,2020,5,0,"Finland","FI","FIN",5517919,"Europe",1.99350516
"9486",2020-07-05,5,7,2020,6,0,"Finland","FI","FIN",5517919,"Europe",1.92101406
"9487",2020-07-04,4,7,2020,1,1,"Finland","FI","FIN",5517919,"Europe",1.97538239
"9488",2020-07-03,3,7,2020,5,0,"Finland","FI","FIN",5517919,"Europe",2.247224
"9489",2020-07-02,2,7,2020,22,0,"Finland","FI","FIN",5517919,"Europe",2.15661013
"9490",2020-07-01,1,7,2020,5,0,"Finland","FI","FIN",5517919,"Europe",1.84852297
"9491",2020-06-30,30,6,2020,18,0,"Finland","FI","FIN",5517919,"Europe",1.83040019
"9492",2020-06-29,29,6,2020,0,0,"Finland","FI","FIN",5517919,"Europe",1.57668135
"9493",2020-06-28,28,6,2020,0,0,"Finland","FI","FIN",5517919,"Europe",1.88476852
"9494",2020-06-27,27,6,2020,19,1,"Finland","FI","FIN",5517919,"Europe",2.13848735
"9495",2020-06-26,26,6,2020,5,0,"Finland","FI","FIN",5517919,"Europe",1.95725961
"9496",2020-06-25,25,6,2020,12,0,"Finland","FI","FIN",5517919,"Europe",2.30159232
"9497",2020-06-24,24,6,2020,11,0,"Finland","FI","FIN",5517919,"Europe",2.35596064
"9498",2020-06-23,23,6,2020,1,1,"Finland","FI","FIN",5517919,"Europe",2.59155671
"9499",2020-06-22,22,6,2020,1,0,"Finland","FI","FIN",5517919,"Europe",2.93588942
"9500",2020-06-21,21,6,2020,9,0,"Finland","FI","FIN",5517919,"Europe",3.2258538
"9501",2020-06-20,20,6,2020,16,0,"Finland","FI","FIN",5517919,"Europe",3.47957264
"9502",2020-06-19,19,6,2020,0,0,"Finland","FI","FIN",5517919,"Europe",3.73329148
"9503",2020-06-18,18,6,2020,5,0,"Finland","FI","FIN",5517919,"Europe",3.73329148
"9504",2020-06-17,17,6,2020,4,0,"Finland","FI","FIN",5517919,"Europe",4.07762419
"9505",2020-06-16,16,6,2020,4,0,"Finland","FI","FIN",5517919,"Europe",4.04137864
"9506",2020-06-15,15,6,2020,17,1,"Finland","FI","FIN",5517919,"Europe",4.44007967
"9507",2020-06-14,14,6,2020,14,0,"Finland","FI","FIN",5517919,"Europe",4.73004406
"9508",2020-06-13,13,6,2020,9,0,"Finland","FI","FIN",5517919,"Europe",5.38246393
"9509",2020-06-12,12,6,2020,24,1,"Finland","FI","FIN",5517919,"Europe",5.81741051
"9510",2020-06-11,11,6,2020,15,0,"Finland","FI","FIN",5517919,"Europe",6.30672542
"9511",2020-06-10,10,6,2020,24,1,"Finland","FI","FIN",5517919,"Europe",7.19474135
"9512",2020-06-09,9,6,2020,20,0,"Finland","FI","FIN",5517919,"Europe",7.28535522
"9513",2020-06-08,8,6,2020,17,1,"Finland","FI","FIN",5517919,"Europe",7.28535522
"9514",2020-06-07,7,6,2020,23,0,"Finland","FI","FIN",5517919,"Europe",7.17661858
"9515",2020-06-06,6,6,2020,30,0,"Finland","FI","FIN",5517919,"Europe",7.32160077
"9516",2020-06-05,5,6,2020,0,1,"Finland","FI","FIN",5517919,"Europe",7.57531961
"9517",2020-06-04,4,6,2020,24,1,"Finland","FI","FIN",5517919,"Europe",8.48145832
"9518",2020-06-03,3,6,2020,2,0,"Finland","FI","FIN",5517919,"Europe",8.8439138
"9519",2020-06-02,2,6,2020,26,0,"Finland","FI","FIN",5517919,"Europe",9.15200096
"9520",2020-06-01,1,6,2020,33,4,"Finland","FI","FIN",5517919,"Europe",9.27886038
"9521",2020-05-31,31,5,2020,50,2,"Finland","FI","FIN",5517919,"Europe",9.78629806
"9522",2020-05-30,30,5,2020,33,1,"Finland","FI","FIN",5517919,"Europe",9.93128025
"9523",2020-05-29,29,5,2020,51,0,"Finland","FI","FIN",5517919,"Europe",10.83741896
"9524",2020-05-28,28,5,2020,64,1,"Finland","FI","FIN",5517919,"Europe",11.56232993
"9525",2020-05-27,27,5,2020,29,4,"Finland","FI","FIN",5517919,"Europe",11.32673386
"9526",2020-05-26,26,5,2020,20,1,"Finland","FI","FIN",5517919,"Europe",11.14550612
"9527",2020-05-25,25,5,2020,11,1,"Finland","FI","FIN",5517919,"Europe",11.18175167
"9528",2020-05-24,24,5,2020,31,0,"Finland","FI","FIN",5517919,"Europe",12.46846864
"9529",2020-05-23,23,5,2020,44,0,"Finland","FI","FIN",5517919,"Europe",14.48009657
"9530",2020-05-22,22,5,2020,50,2,"Finland","FI","FIN",5517919,"Europe",14.86067483
"9531",2020-05-21,21,5,2020,44,3,"Finland","FI","FIN",5517919,"Europe",15.76681354
"9532",2020-05-20,20,5,2020,19,1,"Finland","FI","FIN",5517919,"Europe",17.88717812
