"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"10636",2020-07-26,26,7,2020,0,0,"France","FR","FRA",67012883,"Europe",14.5882397
"10637",2020-07-25,25,7,2020,1130,10,"France","FR","FRA",67012883,"Europe",14.5882397
"10638",2020-07-24,24,7,2020,1062,10,"France","FR","FRA",67012883,"Europe",13.88389752
"10639",2020-07-23,23,7,2020,998,7,"France","FR","FRA",67012883,"Europe",13.2258151
"10640",2020-07-22,22,7,2020,584,0,"France","FR","FRA",67012883,"Europe",12.72591123
"10641",2020-07-21,21,7,2020,2080,13,"France","FR","FRA",67012883,"Europe",12.56325593
"10642",2020-07-20,20,7,2020,0,0,"France","FR","FRA",67012883,"Europe",11.51121942
"10643",2020-07-19,19,7,2020,0,0,"France","FR","FRA",67012883,"Europe",11.51121942
"10644",2020-07-18,18,7,2020,836,14,"France","FR","FRA",67012883,"Europe",11.51121942
"10645",2020-07-17,17,7,2020,534,18,"France","FR","FRA",67012883,"Europe",11.13218782
"10646",2020-07-16,16,7,2020,927,91,"France","FR","FRA",67012883,"Europe",11.31871912
"10647",2020-07-15,15,7,2020,0,0,"France","FR","FRA",67012883,"Europe",11.30528887
"10648",2020-07-14,14,7,2020,1625,25,"France","FR","FRA",67012883,"Europe",12.11259632
"10649",2020-07-13,13,7,2020,0,0,"France","FR","FRA",67012883,"Europe",11.66342896
"10650",2020-07-12,12,7,2020,0,0,"France","FR","FRA",67012883,"Europe",11.66342896
"10651",2020-07-11,11,7,2020,658,25,"France","FR","FRA",67012883,"Europe",11.66342896
"10652",2020-07-10,10,7,2020,621,14,"France","FR","FRA",67012883,"Europe",13.05122181
"10653",2020-07-09,9,7,2020,663,32,"France","FR","FRA",67012883,"Europe",12.12453432
"10654",2020-07-08,8,7,2020,475,13,"France","FR","FRA",67012883,"Europe",11.2560446
"10655",2020-07-07,7,7,2020,1375,27,"France","FR","FRA",67012883,"Europe",11.31871912
"10656",2020-07-06,6,7,2020,0,0,"France","FR","FRA",67012883,"Europe",9.82348424
"10657",2020-07-05,5,7,2020,0,0,"France","FR","FRA",67012883,"Europe",10.24728335
"10658",2020-07-04,4,7,2020,582,18,"France","FR","FRA",67012883,"Europe",11.20381584
"10659",2020-07-03,3,7,2020,659,14,"France","FR","FRA",67012883,"Europe",11.54554118
"10660",2020-07-02,2,7,2020,918,18,"France","FR","FRA",67012883,"Europe",11.2590291
"10661",2020-07-01,1,7,2020,541,30,"France","FR","FRA",67012883,"Europe",10.57259393
"10662",2020-06-30,30,6,2020,1324,35,"France","FR","FRA",67012883,"Europe",10.2786206
"10663",2020-06-29,29,6,2020,0,0,"France","FR","FRA",67012883,"Europe",8.52970316
"10664",2020-06-28,28,6,2020,0,0,"France","FR","FRA",67012883,"Europe",9.13704907
"10665",2020-06-27,27,6,2020,1588,26,"France","FR","FRA",67012883,"Europe",9.92197276
"10666",2020-06-26,26,6,2020,0,21,"France","FR","FRA",67012883,"Europe",8.63565294
"10667",2020-06-25,25,6,2020,81,11,"France","FR","FRA",67012883,"Europe",9.26985935
"10668",2020-06-24,24,6,2020,517,57,"France","FR","FRA",67012883,"Europe",9.96226352
"10669",2020-06-23,23,6,2020,373,23,"France","FR","FRA",67012883,"Europe",9.79214698
"10670",2020-06-22,22,6,2020,284,7,"France","FR","FRA",67012883,"Europe",9.55040242
"10671",2020-06-21,21,6,2020,641,16,"France","FR","FRA",67012883,"Europe",9.63844519
"10672",2020-06-20,20,6,2020,811,14,"France","FR","FRA",67012883,"Europe",9.54592567
"10673",2020-06-19,19,6,2020,467,28,"France","FR","FRA",67012883,"Europe",9.24747559
"10674",2020-06-18,18,6,2020,458,28,"France","FR","FRA",67012883,"Europe",9.69515071
"10675",2020-06-17,17,6,2020,344,111,"France","FR","FRA",67012883,"Europe",9.53697217
"10676",2020-06-16,16,6,2020,152,29,"France","FR","FRA",67012883,"Europe",7.88057425
"10677",2020-06-15,15,6,2020,407,9,"France","FR","FRA",67012883,"Europe",8.15813282
