"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"10336",2020-07-17,17,7,2020,0,0,"Gabon","GA","GAB",2172578,"Africa",27.98518626
"10337",2020-07-16,16,7,2020,95,0,"Gabon","GA","GAB",2172578,"Africa",27.98518626
"10338",2020-07-15,15,7,2020,0,0,"Gabon","GA","GAB",2172578,"Africa",29.08986467
"10339",2020-07-14,14,7,2020,84,0,"Gabon","GA","GAB",2172578,"Africa",29.08986467
"10340",2020-07-13,13,7,2020,0,0,"Gabon","GA","GAB",2172578,"Africa",33.73871962
"10341",2020-07-12,12,7,2020,0,0,"Gabon","GA","GAB",2172578,"Africa",33.73871962
"10342",2020-07-11,11,7,2020,71,0,"Gabon","GA","GAB",2172578,"Africa",33.73871962
"10343",2020-07-10,10,7,2020,0,0,"Gabon","GA","GAB",2172578,"Africa",36.08616123
"10344",2020-07-09,9,7,2020,128,0,"Gabon","GA","GAB",2172578,"Africa",42.11586419
"10345",2020-07-08,8,7,2020,0,0,"Gabon","GA","GAB",2172578,"Africa",40.04459218
"10346",2020-07-07,7,7,2020,123,2,"Gabon","GA","GAB",2172578,"Africa",46.21237995
"10347",2020-07-06,6,7,2020,0,0,"Gabon","GA","GAB",2172578,"Africa",54.86569412
"10348",2020-07-05,5,7,2020,0,0,"Gabon","GA","GAB",2172578,"Africa",54.86569412
"10349",2020-07-04,4,7,2020,107,2,"Gabon","GA","GAB",2172578,"Africa",54.86569412
"10350",2020-07-03,3,7,2020,0,0,"Gabon","GA","GAB",2172578,"Africa",53.99115705
"10351",2020-07-02,2,7,2020,119,0,"Gabon","GA","GAB",2172578,"Africa",59.10029467
"10352",2020-07-01,1,7,2020,0,0,"Gabon","GA","GAB",2172578,"Africa",58.91618161
"10353",2020-06-30,30,6,2020,185,2,"Gabon","GA","GAB",2172578,"Africa",62.64447122
"10354",2020-06-29,29,6,2020,0,0,"Gabon","GA","GAB",2172578,"Africa",80.36535397
"10355",2020-06-28,28,6,2020,0,0,"Gabon","GA","GAB",2172578,"Africa",80.36535397
"10356",2020-06-27,27,6,2020,122,0,"Gabon","GA","GAB",2172578,"Africa",80.36535397
"10357",2020-06-26,26,6,2020,131,1,"Gabon","GA","GAB",2172578,"Africa",74.74990541
"10358",2020-06-25,25,6,2020,83,0,"Gabon","GA","GAB",2172578,"Africa",72.77068994
"10359",2020-06-24,24,6,2020,134,0,"Gabon","GA","GAB",2172578,"Africa",72.6786334
"10360",2020-06-23,23,6,2020,311,5,"Gabon","GA","GAB",2172578,"Africa",68.67417418
"10361",2020-06-22,22,6,2020,0,0,"Gabon","GA","GAB",2172578,"Africa",61.07951015
"10362",2020-06-21,21,6,2020,0,0,"Gabon","GA","GAB",2172578,"Africa",61.07951015
"10363",2020-06-20,20,6,2020,88,2,"Gabon","GA","GAB",2172578,"Africa",61.07951015
"10364",2020-06-19,19,6,2020,111,2,"Gabon","GA","GAB",2172578,"Africa",63.74914963
"10365",2020-06-18,18,6,2020,115,1,"Gabon","GA","GAB",2172578,"Africa",61.07951015
"10366",2020-06-17,17,6,2020,81,2,"Gabon","GA","GAB",2172578,"Africa",60.34305788
"10367",2020-06-16,16,6,2020,570,4,"Gabon","GA","GAB",2172578,"Africa",63.42695176
"10368",2020-06-15,15,6,2020,0,0,"Gabon","GA","GAB",2172578,"Africa",37.19083964
"10369",2020-06-14,14,6,2020,0,0,"Gabon","GA","GAB",2172578,"Africa",37.19083964
"10370",2020-06-13,13,6,2020,0,0,"Gabon","GA","GAB",2172578,"Africa",39.12402685
"10371",2020-06-12,12,6,2020,88,1,"Gabon","GA","GAB",2172578,"Africa",47.50117142
"10372",2020-06-11,11,6,2020,81,1,"Gabon","GA","GAB",2172578,"Africa",48.60584982
"10373",2020-06-10,10,6,2020,47,0,"Gabon","GA","GAB",2172578,"Africa",48.60584982
"10374",2020-06-09,9,6,2020,146,0,"Gabon","GA","GAB",2172578,"Africa",51.18343277
"10375",2020-06-08,8,6,2020,0,0,"Gabon","GA","GAB",2172578,"Africa",53.71498745
"10376",2020-06-07,7,6,2020,0,0,"Gabon","GA","GAB",2172578,"Africa",53.71498745
"10377",2020-06-06,6,6,2020,146,0,"Gabon","GA","GAB",2172578,"Africa",63.19681043
"10378",2020-06-05,5,6,2020,53,1,"Gabon","GA","GAB",2172578,"Africa",63.88723443
"10379",2020-06-04,4,6,2020,99,0,"Gabon","GA","GAB",2172578,"Africa",61.44773628
"10380",2020-06-03,3,6,2020,148,3,"Gabon","GA","GAB",2172578,"Africa",59.88277521
"10381",2020-06-02,2,6,2020,0,0,"Gabon","GA","GAB",2172578,"Africa",56.29257039
"10382",2020-06-01,1,6,2020,0,0,"Gabon","GA","GAB",2172578,"Africa",61.44773628
"10383",2020-05-31,31,5,2020,42,2,"Gabon","GA","GAB",2172578,"Africa",61.44773628
"10384",2020-05-30,30,5,2020,182,1,"Gabon","GA","GAB",2172578,"Africa",64.6236867
"10385",2020-05-29,29,5,2020,112,0,"Gabon","GA","GAB",2172578,"Africa",61.07951015
"10386",2020-05-28,28,5,2020,81,0,"Gabon","GA","GAB",2172578,"Africa",60.52717095
"10387",2020-05-27,27,5,2020,103,0,"Gabon","GA","GAB",2172578,"Africa",63.28886696
"10388",2020-05-26,26,5,2020,201,2,"Gabon","GA","GAB",2172578,"Africa",61.35567975
"10389",2020-05-25,25,5,2020,0,0,"Gabon","GA","GAB",2172578,"Africa",58.59398374
"10390",2020-05-24,24,5,2020,206,0,"Gabon","GA","GAB",2172578,"Africa",58.59398374
"10391",2020-05-23,23,5,2020,161,0,"Gabon","GA","GAB",2172578,"Africa",50.9993197
"10392",2020-05-22,22,5,2020,0,0,"Gabon","GA","GAB",2172578,"Africa",48.92804769
"10393",2020-05-21,21,5,2020,65,0,"Gabon","GA","GAB",2172578,"Africa",51.91988504
"10394",2020-05-20,20,5,2020,70,1,"Gabon","GA","GAB",2172578,"Africa",50.8612349
"10395",2020-05-19,19,5,2020,112,0,"Gabon","GA","GAB",2172578,"Africa",49.02010423
