"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"11898",2020-08-04,4,8,2020,5,0,"Georgia","GE","GEO",3996762,"Europe",3.57789631
"11899",2020-08-03,3,8,2020,6,0,"Georgia","GE","GEO",3996762,"Europe",3.72801783
"11900",2020-08-02,2,8,2020,3,0,"Georgia","GE","GEO",3996762,"Europe",3.57789631
"11901",2020-08-01,1,8,2020,8,0,"Georgia","GE","GEO",3996762,"Europe",3.75303808
"11902",2020-07-31,31,7,2020,5,0,"Georgia","GE","GEO",3996762,"Europe",3.8531191
"11903",2020-07-30,30,7,2020,0,1,"Georgia","GE","GEO",3996762,"Europe",3.72801783
"11904",2020-07-29,29,7,2020,10,0,"Georgia","GE","GEO",3996762,"Europe",3.80307859
"11905",2020-07-28,28,7,2020,8,0,"Georgia","GE","GEO",3996762,"Europe",3.65295707
"11906",2020-07-27,27,7,2020,6,0,"Georgia","GE","GEO",3996762,"Europe",3.55287605
"11907",2020-07-26,26,7,2020,14,0,"Georgia","GE","GEO",3996762,"Europe",3.62793681
"11908",2020-07-25,25,7,2020,13,0,"Georgia","GE","GEO",3996762,"Europe",3.40275453
"11909",2020-07-24,24,7,2020,31,0,"Georgia","GE","GEO",3996762,"Europe",3.27765326
"11910",2020-07-23,23,7,2020,24,0,"Georgia","GE","GEO",3996762,"Europe",2.62712666
"11911",2020-07-22,22,7,2020,10,0,"Georgia","GE","GEO",3996762,"Europe",2.15174184
"11912",2020-07-21,21,7,2020,11,1,"Georgia","GE","GEO",3996762,"Europe",2.02664057
"11913",2020-07-20,20,7,2020,0,0,"Georgia","GE","GEO",3996762,"Europe",1.87651904
"11914",2020-07-19,19,7,2020,10,0,"Georgia","GE","GEO",3996762,"Europe",2.00162031
"11915",2020-07-18,18,7,2020,12,0,"Georgia","GE","GEO",3996762,"Europe",1.80145828
"11916",2020-07-17,17,7,2020,0,0,"Georgia","GE","GEO",3996762,"Europe",1.67635701
"11917",2020-07-16,16,7,2020,3,0,"Georgia","GE","GEO",3996762,"Europe",1.87651904
"11918",2020-07-15,15,7,2020,4,0,"Georgia","GE","GEO",3996762,"Europe",1.87651904
"11919",2020-07-14,14,7,2020,4,0,"Georgia","GE","GEO",3996762,"Europe",1.77643803
"11920",2020-07-13,13,7,2020,9,0,"Georgia","GE","GEO",3996762,"Europe",1.72639752
"11921",2020-07-12,12,7,2020,5,0,"Georgia","GE","GEO",3996762,"Europe",1.55125574
"11922",2020-07-11,11,7,2020,8,0,"Georgia","GE","GEO",3996762,"Europe",1.50121523
"11923",2020-07-10,10,7,2020,5,0,"Georgia","GE","GEO",3996762,"Europe",1.35109371
"11924",2020-07-09,9,7,2020,5,0,"Georgia","GE","GEO",3996762,"Europe",1.27603295
"11925",2020-07-08,8,7,2020,5,0,"Georgia","GE","GEO",3996762,"Europe",1.22599244
"11926",2020-07-07,7,7,2020,5,0,"Georgia","GE","GEO",3996762,"Europe",1.17595193
"11927",2020-07-06,6,7,2020,5,0,"Georgia","GE","GEO",3996762,"Europe",1.12591143
"11928",2020-07-05,5,7,2020,2,0,"Georgia","GE","GEO",3996762,"Europe",1.25101269
"11929",2020-07-04,4,7,2020,7,0,"Georgia","GE","GEO",3996762,"Europe",1.25101269
"11930",2020-07-03,3,7,2020,8,0,"Georgia","GE","GEO",3996762,"Europe",1.10089117
"11931",2020-07-02,2,7,2020,3,0,"Georgia","GE","GEO",3996762,"Europe",0.95076965
"11932",2020-07-01,1,7,2020,0,0,"Georgia","GE","GEO",3996762,"Europe",1.00081016
"11933",2020-06-30,30,6,2020,2,0,"Georgia","GE","GEO",3996762,"Europe",1.22599244
"11934",2020-06-29,29,6,2020,2,0,"Georgia","GE","GEO",3996762,"Europe",1.17595193
"11935",2020-06-28,28,6,2020,3,1,"Georgia","GE","GEO",3996762,"Europe",1.82647853
"11936",2020-06-27,27,6,2020,2,0,"Georgia","GE","GEO",3996762,"Europe",1.9515798
"11937",2020-06-26,26,6,2020,2,0,"Georgia","GE","GEO",3996762,"Europe",2.20178234
"11938",2020-06-25,25,6,2020,3,0,"Georgia","GE","GEO",3996762,"Europe",2.25182285
"11939",2020-06-24,24,6,2020,3,0,"Georgia","GE","GEO",3996762,"Europe",2.40194437
"11940",2020-06-23,23,6,2020,3,0,"Georgia","GE","GEO",3996762,"Europe",2.47700514
"11941",2020-06-22,22,6,2020,10,0,"Georgia","GE","GEO",3996762,"Europe",2.50202539
"11942",2020-06-21,21,6,2020,2,0,"Georgia","GE","GEO",3996762,"Europe",2.25182285
"11943",2020-06-20,20,6,2020,1,0,"Georgia","GE","GEO",3996762,"Europe",2.2768431
"11944",2020-06-19,19,6,2020,2,0,"Georgia","GE","GEO",3996762,"Europe",2.35190387
"11945",2020-06-18,18,6,2020,5,0,"Georgia","GE","GEO",3996762,"Europe",2.32688361
"11946",2020-06-17,17,6,2020,9,0,"Georgia","GE","GEO",3996762,"Europe",2.20178234
"11947",2020-06-16,16,6,2020,0,0,"Georgia","GE","GEO",3996762,"Europe",2.07668107
"11948",2020-06-15,15,6,2020,28,0,"Georgia","GE","GEO",3996762,"Europe",2.40194437
"11949",2020-06-14,14,6,2020,8,1,"Georgia","GE","GEO",3996762,"Europe",2.35190387
"11950",2020-06-13,13,6,2020,12,0,"Georgia","GE","GEO",3996762,"Europe",2.42696463
"11951",2020-06-12,12,6,2020,4,0,"Georgia","GE","GEO",3996762,"Europe",2.32688361
"11952",2020-06-11,11,6,2020,9,0,"Georgia","GE","GEO",3996762,"Europe",2.30186336
"11953",2020-06-10,10,6,2020,6,0,"Georgia","GE","GEO",3996762,"Europe",2.15174184
"11954",2020-06-09,9,6,2020,4,0,"Georgia","GE","GEO",3996762,"Europe",2.02664057
"11955",2020-06-08,8,6,2020,0,0,"Georgia","GE","GEO",3996762,"Europe",1.9515798
"11956",2020-06-07,7,6,2020,3,0,"Georgia","GE","GEO",3996762,"Europe",2.00162031
"11957",2020-06-06,6,6,2020,4,0,"Georgia","GE","GEO",3996762,"Europe",2.05166082
"11958",2020-06-05,5,6,2020,1,0,"Georgia","GE","GEO",3996762,"Europe",2.00162031
