"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"10929",2020-07-19,19,7,2020,202,1,"Germany","DE","DEU",83019213,"Europe",6.31058741
"10930",2020-07-18,18,7,2020,529,1,"Germany","DE","DEU",83019213,"Europe",6.3551554
"10931",2020-07-17,17,7,2020,583,4,"Germany","DE","DEU",83019213,"Europe",6.22626957
"10932",2020-07-16,16,7,2020,534,7,"Germany","DE","DEU",83019213,"Europe",6.06124753
"10933",2020-07-15,15,7,2020,763,7,"Germany","DE","DEU",83019213,"Europe",6.02390678
"10934",2020-07-14,14,7,2020,0,0,"Germany","DE","DEU",83019213,"Europe",5.66615827
"10935",2020-07-13,13,7,2020,159,1,"Germany","DE","DEU",83019213,"Europe",6.26601941
"10936",2020-07-12,12,7,2020,248,3,"Germany","DE","DEU",83019213,"Europe",6.39008708
"10937",2020-07-11,11,7,2020,378,6,"Germany","DE","DEU",83019213,"Europe",6.3997234
"10938",2020-07-10,10,7,2020,395,6,"Germany","DE","DEU",83019213,"Europe",6.7719264
"10939",2020-07-09,9,7,2020,442,12,"Germany","DE","DEU",83019213,"Europe",6.87069871
"10940",2020-07-08,8,7,2020,397,12,"Germany","DE","DEU",83019213,"Europe",7.09715232
"10941",2020-07-07,7,7,2020,390,8,"Germany","DE","DEU",83019213,"Europe",7.326015
"10942",2020-07-06,6,7,2020,219,4,"Germany","DE","DEU",83019213,"Europe",7.46212807
"10943",2020-07-05,5,7,2020,239,2,"Germany","DE","DEU",83019213,"Europe",7.84517194
"10944",2020-07-04,4,7,2020,422,7,"Germany","DE","DEU",83019213,"Europe",8.38480606
"10945",2020-07-03,3,7,2020,446,9,"Germany","DE","DEU",83019213,"Europe",8.6004188
"10946",2020-07-02,2,7,2020,503,9,"Germany","DE","DEU",83019213,"Europe",8.9906899
"10947",2020-07-01,1,7,2020,466,12,"Germany","DE","DEU",83019213,"Europe",9.08343952
"10948",2020-06-30,30,6,2020,498,12,"Germany","DE","DEU",83019213,"Europe",8.93769012
"10949",2020-06-29,29,6,2020,262,4,"Germany","DE","DEU",83019213,"Europe",8.79314527
"10950",2020-06-28,28,6,2020,256,3,"Germany","DE","DEU",83019213,"Europe",8.70882744
"10951",2020-06-27,27,6,2020,687,6,"Germany","DE","DEU",83019213,"Europe",8.69798657
"10952",2020-06-26,26,6,2020,477,21,"Germany","DE","DEU",83019213,"Europe",8.28964736
"10953",2020-06-25,25,6,2020,630,13,"Germany","DE","DEU",83019213,"Europe",8.025853
"10954",2020-06-24,24,6,2020,587,19,"Germany","DE","DEU",83019213,"Europe",7.93551247
"10955",2020-06-23,23,6,2020,503,10,"Germany","DE","DEU",83019213,"Europe",7.61149109
"10956",2020-06-22,22,6,2020,537,3,"Germany","DE","DEU",83019213,"Europe",7.4271964
"10957",2020-06-21,21,6,2020,687,0,"Germany","DE","DEU",83019213,"Europe",7.03812984
"10958",2020-06-20,20,6,2020,601,10,"Germany","DE","DEU",83019213,"Europe",6.57317722
"10959",2020-06-19,19,6,2020,770,16,"Germany","DE","DEU",83019213,"Europe",6.33949638
"10960",2020-06-18,18,6,2020,580,26,"Germany","DE","DEU",83019213,"Europe",6.02270224
"10961",2020-06-17,17,6,2020,345,30,"Germany","DE","DEU",83019213,"Europe",5.79865772
"10962",2020-06-16,16,6,2020,378,9,"Germany","DE","DEU",83019213,"Europe",5.79504409
"10963",2020-06-15,15,6,2020,192,4,"Germany","DE","DEU",83019213,"Europe",5.59629492
"10964",2020-06-14,14,6,2020,247,6,"Germany","DE","DEU",83019213,"Europe",5.76613512
"10965",2020-06-13,13,6,2020,348,18,"Germany","DE","DEU",83019213,"Europe",5.8131122
"10966",2020-06-12,12,6,2020,258,8,"Germany","DE","DEU",83019213,"Europe",6.28288298
"10967",2020-06-11,11,6,2020,555,26,"Germany","DE","DEU",83019213,"Europe",6.86467601
"10968",2020-06-10,10,6,2020,318,18,"Germany","DE","DEU",83019213,"Europe",6.62135884
"10969",2020-06-09,9,6,2020,350,37,"Germany","DE","DEU",83019213,"Europe",6.67435862
"10970",2020-06-08,8,6,2020,214,6,"Germany","DE","DEU",83019213,"Europe",6.77313094
"10971",2020-06-07,7,6,2020,301,22,"Germany","DE","DEU",83019213,"Europe",6.86347147
"10972",2020-06-06,6,6,2020,407,33,"Germany","DE","DEU",83019213,"Europe",7.02006173
"10973",2020-06-05,5,6,2020,507,32,"Germany","DE","DEU",83019213,"Europe",7.29831057
"10974",2020-06-04,4,6,2020,394,30,"Germany","DE","DEU",83019213,"Europe",7.24169717
"10975",2020-06-03,3,6,2020,342,29,"Germany","DE","DEU",83019213,"Europe",7.66449087
"10976",2020-06-02,2,6,2020,213,11,"Germany","DE","DEU",83019213,"Europe",8.21255677
"10977",2020-06-01,1,6,2020,333,11,"Germany","DE","DEU",83019213,"Europe",8.57391891
"10978",2020-05-31,31,5,2020,286,11,"Germany","DE","DEU",83019213,"Europe",8.58475977
"10979",2020-05-30,30,5,2020,738,39,"Germany","DE","DEU",83019213,"Europe",8.94250828
"10980",2020-05-29,29,5,2020,741,39,"Germany","DE","DEU",83019213,"Europe",8.80037251
"10981",2020-05-28,28,5,2020,353,62,"Germany","DE","DEU",83019213,"Europe",9.00755347
"10982",2020-05-27,27,5,2020,362,47,"Germany","DE","DEU",83019213,"Europe",9.70618693
"10983",2020-05-26,26,5,2020,432,45,"Germany","DE","DEU",83019213,"Europe",10.23136656
"10984",2020-05-25,25,5,2020,289,10,"Germany","DE","DEU",83019213,"Europe",10.83484133
"10985",2020-05-24,24,5,2020,431,31,"Germany","DE","DEU",83019213,"Europe",10.91675008
"10986",2020-05-23,23,5,2020,638,42,"Germany","DE","DEU",83019213,"Europe",11.20102162
"10987",2020-05-22,22,5,2020,460,27,"Germany","DE","DEU",83019213,"Europe",11.93940492
"10988",2020-05-21,21,5,2020,745,57,"Germany","DE","DEU",83019213,"Europe",12.84160571
"10989",2020-05-20,20,5,2020,797,83,"Germany","DE","DEU",83019213,"Europe",13.38244437
"10990",2020-05-19,19,5,2020,513,72,"Germany","DE","DEU",83019213,"Europe",13.67153408
"10991",2020-05-18,18,5,2020,342,21,"Germany","DE","DEU",83019213,"Europe",13.87871504
"10992",2020-05-17,17,5,2020,583,33,"Germany","DE","DEU",83019213,"Europe",14.28464517
"10993",2020-05-16,16,5,2020,620,57,"Germany","DE","DEU",83019213,"Europe",14.53759866
"10994",2020-05-15,15,5,2020,913,101,"Germany","DE","DEU",83019213,"Europe",16.9033161
"10995",2020-05-14,14,5,2020,933,89,"Germany","DE","DEU",83019213,"Europe",15.80357067
"10996",2020-05-13,13,5,2020,798,101,"Germany","DE","DEU",83019213,"Europe",16.46004522
"10997",2020-05-12,12,5,2020,933,116,"Germany","DE","DEU",83019213,"Europe",17.06954269
"10998",2020-05-11,11,5,2020,357,22,"Germany","DE","DEU",83019213,"Europe",17.32370072
"10999",2020-05-10,10,5,2020,667,26,"Germany","DE","DEU",83019213,"Europe",18.11990196
"11000",2020-05-09,9,5,2020,1251,103,"Germany","DE","DEU",83019213,"Europe",19.40876023
"11001",2020-05-08,8,5,2020,1209,147,"Germany","DE","DEU",83019213,"Europe",20.37721075
"11002",2020-05-07,7,5,2020,1194,123,"Germany","DE","DEU",83019213,"Europe",21.73593238
"11003",2020-05-06,6,5,2020,1037,165,"Germany","DE","DEU",83019213,"Europe",23.13079022
"11004",2020-05-05,5,5,2020,685,139,"Germany","DE","DEU",83019213,"Europe",24.57623876
"11005",2020-05-04,4,5,2020,679,43,"Germany","DE","DEU",83019213,"Europe",25.90123325
"11006",2020-05-03,3,5,2020,793,74,"Germany","DE","DEU",83019213,"Europe",27.22140958
"11007",2020-05-02,2,5,2020,2584,287,"Germany","DE","DEU",83019213,"Europe",29.22696942
"11008",2020-05-01,1,5,2020,0,0,"Germany","DE","DEU",83019213,"Europe",30.46162338
"11009",2020-04-30,30,4,2020,1478,173,"Germany","DE","DEU",83019213,"Europe",34.5329701
"11010",2020-04-29,29,4,2020,1304,202,"Germany","DE","DEU",83019213,"Europe",36.20487224
"11011",2020-04-28,28,4,2020,1144,163,"Germany","DE","DEU",83019213,"Europe",37.62863905
"11012",2020-04-27,27,4,2020,1018,110,"Germany","DE","DEU",83019213,"Europe",38.75849799
"11013",2020-04-26,26,4,2020,1737,140,"Germany","DE","DEU",83019213,"Europe",40.58819493
"11014",2020-04-25,25,4,2020,2055,179,"Germany","DE","DEU",83019213,"Europe",41.89391677
"11015",2020-04-24,24,4,2020,2337,227,"Germany","DE","DEU",83019213,"Europe",44.39695182
"11016",2020-04-23,23,4,2020,2352,215,"Germany","DE","DEU",83019213,"Europe",47.9937096
"11017",2020-04-22,22,4,2020,2237,281,"Germany","DE","DEU",83019213,"Europe",51.15201465
"11018",2020-04-21,21,4,2020,1785,194,"Germany","DE","DEU",83019213,"Europe",53.27923309
"11019",2020-04-20,20,4,2020,1775,110,"Germany","DE","DEU",83019213,"Europe",55.74733646
"11020",2020-04-19,19,4,2020,2458,184,"Germany","DE","DEU",83019213,"Europe",58.03837239
"11021",2020-04-18,18,4,2020,3609,242,"Germany","DE","DEU",83019213,"Europe",62.22776407
"11022",2020-04-17,17,4,2020,3380,299,"Germany","DE","DEU",83019213,"Europe",65.2065926
"11023",2020-04-16,16,4,2020,2866,315,"Germany","DE","DEU",83019213,"Europe",68.57207861
"11024",2020-04-15,15,4,2020,2486,285,"Germany","DE","DEU",83019213,"Europe",72.53501668
"11025",2020-04-14,14,4,2020,2082,170,"Germany","DE","DEU",83019213,"Europe",76.10888819
"11026",2020-04-13,13,4,2020,2537,126,"Germany","DE","DEU",83019213,"Europe",79.15998915
"11027",2020-04-12,12,4,2020,2821,129,"Germany","DE","DEU",83019213,"Europe",81.8268417
"11028",2020-04-11,11,4,2020,4133,171,"Germany","DE","DEU",83019213,"Europe",83.20483597
"11029",2020-04-10,10,4,2020,5323,266,"Germany","DE","DEU",83019213,"Europe",85.80784788
