"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"12331",2020-08-04,4,8,2020,798,9,"Ghana","GH","GHA",30417858,"Africa",30.84372345
"12332",2020-08-03,3,8,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",30.72865946
"12333",2020-08-02,2,8,2020,1513,0,"Ghana","GH","GHA",30417858,"Africa",32.72419774
"12334",2020-08-01,1,8,2020,359,7,"Ghana","GH","GHA",30417858,"Africa",29.35446671
"12335",2020-07-31,31,7,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",29.64377045
"12336",2020-07-30,30,7,2020,736,7,"Ghana","GH","GHA",30417858,"Africa",31.92861246
"12337",2020-07-29,29,7,2020,782,0,"Ghana","GH","GHA",30417858,"Africa",30.96207498
"12338",2020-07-28,28,7,2020,655,0,"Ghana","GH","GHA",30417858,"Africa",28.39121676
"12339",2020-07-27,27,7,2020,1118,7,"Ghana","GH","GHA",30417858,"Africa",27.78302141
"12340",2020-07-26,26,7,2020,794,0,"Ghana","GH","GHA",30417858,"Africa",24.99518539
"12341",2020-07-25,25,7,2020,691,8,"Ghana","GH","GHA",30417858,"Africa",23.74591926
"12342",2020-07-24,24,7,2020,694,0,"Ghana","GH","GHA",30417858,"Africa",22.69390567
"12343",2020-07-23,23,7,2020,683,0,"Ghana","GH","GHA",30417858,"Africa",22.51966591
"12344",2020-07-22,22,7,2020,559,0,"Ghana","GH","GHA",30417858,"Africa",23.08183568
"12345",2020-07-21,21,7,2020,763,5,"Ghana","GH","GHA",30417858,"Africa",24.17329978
"12346",2020-07-20,20,7,2020,607,3,"Ghana","GH","GHA",30417858,"Africa",24.926147
"12347",2020-07-19,19,7,2020,488,1,"Ghana","GH","GHA",30417858,"Africa",25.22202582
"12348",2020-07-18,18,7,2020,447,5,"Ghana","GH","GHA",30417858,"Africa",23.6177051
"12349",2020-07-17,17,7,2020,695,0,"Ghana","GH","GHA",30417858,"Africa",26.27075187
"12350",2020-07-16,16,7,2020,442,0,"Ghana","GH","GHA",30417858,"Africa",23.98590986
"12351",2020-07-15,15,7,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",23.82482027
"12352",2020-07-14,14,7,2020,470,0,"Ghana","GH","GHA",30417858,"Africa",25.10696184
"12353",2020-07-13,13,7,2020,270,4,"Ghana","GH","GHA",30417858,"Africa",23.56181688
"12354",2020-07-12,12,7,2020,414,0,"Ghana","GH","GHA",30417858,"Africa",25.69871948
"12355",2020-07-11,11,7,2020,371,6,"Ghana","GH","GHA",30417858,"Africa",26.30033975
"12356",2020-07-10,10,7,2020,641,0,"Ghana","GH","GHA",30417858,"Africa",26.26746433
"12357",2020-07-09,9,7,2020,854,0,"Ghana","GH","GHA",30417858,"Africa",25.67241914
"12358",2020-07-08,8,7,2020,891,0,"Ghana","GH","GHA",30417858,"Africa",24.32781427
"12359",2020-07-07,7,7,2020,992,7,"Ghana","GH","GHA",30417858,"Africa",22.75965651
"12360",2020-07-06,6,7,2020,697,5,"Ghana","GH","GHA",30417858,"Africa",19.49841439
"12361",2020-07-05,5,7,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",18.6633786
"12362",2020-07-04,4,7,2020,1254,0,"Ghana","GH","GHA",30417858,"Africa",20.33345017
"12363",2020-07-03,3,7,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",17.11165855
"12364",2020-07-02,2,7,2020,393,5,"Ghana","GH","GHA",30417858,"Africa",18.22613545
"12365",2020-07-01,1,7,2020,390,0,"Ghana","GH","GHA",30417858,"Africa",18.23928562
"12366",2020-06-30,30,6,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",17.70999128
"12367",2020-06-29,29,6,2020,920,9,"Ghana","GH","GHA",30417858,"Africa",17.70999128
"12368",2020-06-28,28,6,2020,597,0,"Ghana","GH","GHA",30417858,"Africa",16.46730023
"12369",2020-06-27,27,6,2020,361,8,"Ghana","GH","GHA",30417858,"Africa",15.50405029
"12370",2020-06-26,26,6,2020,460,0,"Ghana","GH","GHA",30417858,"Africa",16.81577973
"12371",2020-06-25,25,6,2020,445,0,"Ghana","GH","GHA",30417858,"Africa",15.30351019
"12372",2020-06-24,24,6,2020,414,10,"Ghana","GH","GHA",30417858,"Africa",14.35669796
"12373",2020-06-23,23,6,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",13.95233024
"12374",2020-06-22,22,6,2020,443,0,"Ghana","GH","GHA",30417858,"Africa",14.84654179
"12375",2020-06-21,21,6,2020,508,15,"Ghana","GH","GHA",30417858,"Africa",13.96876795
"12376",2020-06-20,20,6,2020,274,4,"Ghana","GH","GHA",30417858,"Africa",13.26523386
"12377",2020-06-19,19,6,2020,339,0,"Ghana","GH","GHA",30417858,"Africa",13.29482175
"12378",2020-06-18,18,6,2020,397,8,"Ghana","GH","GHA",30417858,"Africa",13.28824666
"12379",2020-06-17,17,6,2020,229,4,"Ghana","GH","GHA",30417858,"Africa",12.80826546
"12380",2020-06-16,16,6,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",12.80169038
"12381",2020-06-15,15,6,2020,542,3,"Ghana","GH","GHA",30417858,"Africa",12.80169038
"12382",2020-06-14,14,6,2020,304,3,"Ghana","GH","GHA",30417858,"Africa",12.01268018
"12383",2020-06-13,13,6,2020,760,0,"Ghana","GH","GHA",30417858,"Africa",11.51297373
"12384",2020-06-12,12,6,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",10.04344224
"12385",2020-06-11,11,6,2020,157,0,"Ghana","GH","GHA",30417858,"Africa",10.04344224
"12386",2020-06-10,10,6,2020,291,0,"Ghana","GH","GHA",30417858,"Africa",10.13878098
"12387",2020-06-09,9,6,2020,272,4,"Ghana","GH","GHA",30417858,"Africa",10.19795674
"12388",2020-06-08,8,6,2020,176,0,"Ghana","GH","GHA",30417858,"Africa",9.714688
"12389",2020-06-07,7,6,2020,294,2,"Ghana","GH","GHA",30417858,"Africa",9.35305833
"12390",2020-06-06,6,6,2020,283,4,"Ghana","GH","GHA",30417858,"Africa",8.38652084
"12391",2020-06-05,5,6,2020,337,0,"Ghana","GH","GHA",30417858,"Africa",7.88681438
"12392",2020-06-04,4,6,2020,251,0,"Ghana","GH","GHA",30417858,"Africa",7.49230929
"12393",2020-06-03,3,6,2020,227,2,"Ghana","GH","GHA",30417858,"Africa",7.23588097
"12394",2020-06-02,2,6,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",7.67641167
"12395",2020-06-01,1,6,2020,302,1,"Ghana","GH","GHA",30417858,"Africa",7.67641167
"12396",2020-05-31,31,5,2020,152,1,"Ghana","GH","GHA",30417858,"Africa",6.68357384
"12397",2020-05-30,30,5,2020,313,0,"Ghana","GH","GHA",30417858,"Africa",6.502759
"12398",2020-05-29,29,5,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",5.8288128
"12399",2020-05-28,28,5,2020,186,0,"Ghana","GH","GHA",30417858,"Africa",6.22989298
"12400",2020-05-27,27,5,2020,309,2,"Ghana","GH","GHA",30417858,"Africa",6.54220951
"12401",2020-05-26,26,5,2020,125,0,"Ghana","GH","GHA",30417858,"Africa",6.93013953
"12402",2020-05-25,25,5,2020,66,1,"Ghana","GH","GHA",30417858,"Africa",7.95585278
"12403",2020-05-24,24,5,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",7.73887497
"12404",2020-05-23,23,5,2020,131,0,"Ghana","GH","GHA",30417858,"Africa",8.56404813
"12405",2020-05-22,22,5,2020,217,0,"Ghana","GH","GHA",30417858,"Africa",11.16120668
"12406",2020-05-21,21,5,2020,173,0,"Ghana","GH","GHA",30417858,"Africa",10.44780997
"12407",2020-05-20,20,5,2020,361,2,"Ghana","GH","GHA",30417858,"Africa",11.10203092
"12408",2020-05-19,19,5,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",9.91522809
"12409",2020-05-18,18,5,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",11.72337645
"12410",2020-05-17,17,5,2020,97,1,"Ghana","GH","GHA",30417858,"Africa",11.72337645
"12411",2020-05-16,16,5,2020,108,4,"Ghana","GH","GHA",30417858,"Africa",11.71680136
"12412",2020-05-15,15,5,2020,122,0,"Ghana","GH","GHA",30417858,"Africa",11.36174677
"12413",2020-05-14,14,5,2020,281,2,"Ghana","GH","GHA",30417858,"Africa",12.28554621
"12414",2020-05-13,13,5,2020,427,0,"Ghana","GH","GHA",30417858,"Africa",11.36174677
"12415",2020-05-12,12,5,2020,437,0,"Ghana","GH","GHA",30417858,"Africa",10.35575878
"12416",2020-05-11,11,5,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",8.91910272
"12417",2020-05-10,10,5,2020,251,4,"Ghana","GH","GHA",30417858,"Africa",9.81002673
"12418",2020-05-09,9,5,2020,921,0,"Ghana","GH","GHA",30417858,"Africa",8.98485357
"12419",2020-05-08,8,5,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",6.36796976
"12420",2020-05-07,7,5,2020,372,0,"Ghana","GH","GHA",30417858,"Africa",6.36796976
"12421",2020-05-06,6,5,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",5.51320872
"12422",2020-05-05,5,5,2020,550,0,"Ghana","GH","GHA",30417858,"Africa",5.51320872
"12423",2020-05-04,4,5,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",3.70506036
"12424",2020-05-03,3,5,2020,95,1,"Ghana","GH","GHA",30417858,"Africa",4.3888692
"12425",2020-05-02,2,5,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",4.71104836
"12426",2020-05-01,1,5,2020,403,1,"Ghana","GH","GHA",30417858,"Africa",4.71104836
"12427",2020-04-30,30,4,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",3.38616874
"12428",2020-04-29,29,4,2020,121,5,"Ghana","GH","GHA",30417858,"Africa",3.40260646
"12429",2020-04-28,28,4,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",3.23494179
"12430",2020-04-27,27,4,2020,271,1,"Ghana","GH","GHA",30417858,"Africa",3.23494179
"12431",2020-04-26,26,4,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",2.86344949
"12432",2020-04-25,25,4,2020,125,1,"Ghana","GH","GHA",30417858,"Africa",2.96207576
"12433",2020-04-24,24,4,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",2.55113296
"12434",2020-04-23,23,4,2020,112,0,"Ghana","GH","GHA",30417858,"Africa",2.76482322
"12435",2020-04-22,22,4,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",2.48209456
"12436",2020-04-21,21,4,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",2.48209456
"12437",2020-04-20,20,4,2020,208,0,"Ghana","GH","GHA",30417858,"Africa",2.72208516
"12438",2020-04-19,19,4,2020,193,1,"Ghana","GH","GHA",30417858,"Africa",2.03827633
"12439",2020-04-18,18,4,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",1.43336852
"12440",2020-04-17,17,4,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",1.43665606
"12441",2020-04-16,16,4,2020,5,0,"Ghana","GH","GHA",30417858,"Africa",1.46624394
"12442",2020-04-15,15,4,2020,70,0,"Ghana","GH","GHA",30417858,"Africa",1.59117056
"12443",2020-04-14,14,4,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",1.36104258
"12444",2020-04-13,13,4,2020,158,0,"Ghana","GH","GHA",30417858,"Africa",1.36104258
"12445",2020-04-12,12,4,2020,30,2,"Ghana","GH","GHA",30417858,"Africa",0.87777384
"12446",2020-04-11,11,4,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",0.79229774
"12447",2020-04-10,10,4,2020,65,0,"Ghana","GH","GHA",30417858,"Africa",0.80873545
"12448",2020-04-09,9,4,2020,26,1,"Ghana","GH","GHA",30417858,"Africa",0.8054479
"12449",2020-04-08,8,4,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",0.76928494
"12450",2020-04-07,7,4,2020,73,0,"Ghana","GH","GHA",30417858,"Africa",0.85476104
"12451",2020-04-06,6,4,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",0.62463307
"12452",2020-04-05,5,4,2020,9,0,"Ghana","GH","GHA",30417858,"Africa",0.6344957
"12453",2020-04-04,4,4,2020,1,0,"Ghana","GH","GHA",30417858,"Africa",0.62134553
"12454",2020-04-03,3,4,2020,9,0,"Ghana","GH","GHA",30417858,"Africa",0.6344957
"12455",2020-04-02,2,4,2020,43,0,"Ghana","GH","GHA",30417858,"Africa",0.61805798
"12456",2020-04-01,1,4,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",0.4799812
"12457",2020-03-31,31,3,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",0.4799812
"12458",2020-03-30,30,3,2020,11,0,"Ghana","GH","GHA",30417858,"Africa",0.49313137
"12459",2020-03-29,29,3,2020,4,2,"Ghana","GH","GHA",30417858,"Africa",0.4569684
"12460",2020-03-28,28,3,2020,5,0,"Ghana","GH","GHA",30417858,"Africa",0.44381823
"12461",2020-03-27,27,3,2020,64,0,"Ghana","GH","GHA",30417858,"Africa",0.43395561
"12462",2020-03-26,26,3,2020,15,1,"Ghana","GH","GHA",30417858,"Africa",NA
"12463",2020-03-25,25,3,2020,26,0,"Ghana","GH","GHA",30417858,"Africa",NA
"12464",2020-03-24,24,3,2020,3,1,"Ghana","GH","GHA",30417858,"Africa",NA
"12465",2020-03-23,23,3,2020,3,0,"Ghana","GH","GHA",30417858,"Africa",NA
"12466",2020-03-22,22,3,2020,5,1,"Ghana","GH","GHA",30417858,"Africa",NA
"12467",2020-03-21,21,3,2020,5,0,"Ghana","GH","GHA",30417858,"Africa",NA
"12468",2020-03-20,20,3,2020,4,0,"Ghana","GH","GHA",30417858,"Africa",NA
"12469",2020-03-19,19,3,2020,1,0,"Ghana","GH","GHA",30417858,"Africa",NA
"12470",2020-03-18,18,3,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",NA
"12471",2020-03-17,17,3,2020,4,0,"Ghana","GH","GHA",30417858,"Africa",NA
"12472",2020-03-16,16,3,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",NA
"12473",2020-03-15,15,3,2020,0,0,"Ghana","GH","GHA",30417858,"Africa",NA
"12474",2020-03-13,13,3,2020,2,0,"Ghana","GH","GHA",30417858,"Africa",NA
