"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"10955",2020-07-15,15,7,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",8.90049249
"10956",2020-07-14,14,7,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",8.90049249
"10957",2020-07-13,13,7,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",8.90049249
"10958",2020-07-12,12,7,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",11.86732333
"10959",2020-07-11,11,7,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",11.86732333
"10960",2020-07-10,10,7,2020,1,0,"Gibraltar","GI","GIB",33706,"Europe",11.86732333
"10961",2020-07-09,9,7,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",8.90049249
"10962",2020-07-08,8,7,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",8.90049249
"10963",2020-07-07,7,7,2020,1,0,"Gibraltar","GI","GIB",33706,"Europe",8.90049249
"10964",2020-07-06,6,7,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",5.93366166
"10965",2020-07-05,5,7,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",5.93366166
"10966",2020-07-04,4,7,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",5.93366166
"10967",2020-07-03,3,7,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",5.93366166
"10968",2020-07-02,2,7,2020,1,0,"Gibraltar","GI","GIB",33706,"Europe",5.93366166
"10969",2020-07-01,1,7,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",2.96683083
"10970",2020-06-30,30,6,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",2.96683083
"10971",2020-06-29,29,6,2020,1,0,"Gibraltar","GI","GIB",33706,"Europe",2.96683083
"10972",2020-06-28,28,6,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",0
"10973",2020-06-27,27,6,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",0
"10974",2020-06-26,26,6,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",0
"10975",2020-06-25,25,6,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",0
"10976",2020-06-24,24,6,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",0
"10977",2020-06-23,23,6,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",0
"10978",2020-06-22,22,6,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",2.96683083
"10979",2020-06-21,21,6,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",5.93366166
"10980",2020-06-20,20,6,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",5.93366166
"10981",2020-06-19,19,6,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",8.90049249
"10982",2020-06-18,18,6,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",8.90049249
"10983",2020-06-17,17,6,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",11.86732333
"10984",2020-06-16,16,6,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",17.80098499
"10985",2020-06-15,15,6,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",20.76781582
"10986",2020-06-14,14,6,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",44.50246247
"10987",2020-06-13,13,6,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",44.50246247
"10988",2020-06-12,12,6,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",56.36978579
"10989",2020-06-11,11,6,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",56.36978579
"10990",2020-06-10,10,6,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",62.30344746
"10991",2020-06-09,9,6,2020,1,0,"Gibraltar","GI","GIB",33706,"Europe",62.30344746
"10992",2020-06-08,8,6,2020,1,0,"Gibraltar","GI","GIB",33706,"Europe",71.20393995
"10993",2020-06-07,7,6,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",68.23710912
"10994",2020-06-06,6,6,2020,1,0,"Gibraltar","GI","GIB",33706,"Europe",68.23710912
"10995",2020-06-05,5,6,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",65.27027829
"10996",2020-06-04,4,6,2020,1,0,"Gibraltar","GI","GIB",33706,"Europe",71.20393995
"10997",2020-06-03,3,6,2020,2,0,"Gibraltar","GI","GIB",33706,"Europe",74.17077078
"10998",2020-06-02,2,6,2020,1,0,"Gibraltar","GI","GIB",33706,"Europe",68.23710912
"10999",2020-06-01,1,6,2020,8,0,"Gibraltar","GI","GIB",33706,"Europe",65.27027829
"11000",2020-05-31,31,5,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",41.53563164
"11001",2020-05-30,30,5,2020,4,0,"Gibraltar","GI","GIB",33706,"Europe",41.53563164
"11002",2020-05-29,29,5,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",29.66830831
"11003",2020-05-28,28,5,2020,2,0,"Gibraltar","GI","GIB",33706,"Europe",29.66830831
"11004",2020-05-27,27,5,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",23.73464665
"11005",2020-05-26,26,5,2020,4,0,"Gibraltar","GI","GIB",33706,"Europe",23.73464665
"11006",2020-05-25,25,5,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",14.83415416
"11007",2020-05-24,24,5,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",14.83415416
"11008",2020-05-23,23,5,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",14.83415416
"11009",2020-05-22,22,5,2020,2,0,"Gibraltar","GI","GIB",33706,"Europe",20.76781582
"11010",2020-05-21,21,5,2020,2,0,"Gibraltar","GI","GIB",33706,"Europe",14.83415416
"11011",2020-05-20,20,5,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",8.90049249
"11012",2020-05-19,19,5,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",8.90049249
"11013",2020-05-18,18,5,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",8.90049249
"11014",2020-05-17,17,5,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",8.90049249
"11015",2020-05-16,16,5,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",8.90049249
"11016",2020-05-15,15,5,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",8.90049249
"11017",2020-05-14,14,5,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",17.80098499
"11018",2020-05-13,13,5,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",17.80098499
"11019",2020-05-12,12,5,2020,1,0,"Gibraltar","GI","GIB",33706,"Europe",17.80098499
"11020",2020-05-11,11,5,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",14.83415416
"11021",2020-05-10,10,5,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",29.66830831
"11022",2020-05-09,9,5,2020,2,0,"Gibraltar","GI","GIB",33706,"Europe",38.56880081
"11023",2020-05-08,8,5,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",32.63513914
"11024",2020-05-07,7,5,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",32.63513914
"11025",2020-05-06,6,5,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",32.63513914
"11026",2020-05-05,5,5,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",32.63513914
"11027",2020-05-04,4,5,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",32.63513914
"11028",2020-05-03,3,5,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",32.63513914
"11029",2020-05-02,2,5,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",32.63513914
"11030",2020-05-01,1,5,2020,3,0,"Gibraltar","GI","GIB",33706,"Europe",32.63513914
"11031",2020-04-30,30,4,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",29.66830831
"11032",2020-04-29,29,4,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",35.60196998
"11033",2020-04-28,28,4,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",35.60196998
"11034",2020-04-27,27,4,2020,5,0,"Gibraltar","GI","GIB",33706,"Europe",35.60196998
"11035",2020-04-26,26,4,2020,3,0,"Gibraltar","GI","GIB",33706,"Europe",20.76781582
"11036",2020-04-25,25,4,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",17.80098499
"11037",2020-04-24,24,4,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",29.66830831
"11038",2020-04-23,23,4,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",38.56880081
"11039",2020-04-22,22,4,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",59.33661663
"11040",2020-04-21,21,4,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",71.20393995
"11041",2020-04-20,20,4,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",89.00492494
"11042",2020-04-19,19,4,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",103.8390791
"11043",2020-04-18,18,4,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",112.73957159
"11044",2020-04-17,17,4,2020,2,0,"Gibraltar","GI","GIB",33706,"Europe",133.50738741
"11045",2020-04-16,16,4,2020,2,0,"Gibraltar","GI","GIB",33706,"Europe",183.94351154
"11046",2020-04-15,15,4,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",178.00984988
"11047",2020-04-14,14,4,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",178.00984988
"11048",2020-04-13,13,4,2020,0,0,"Gibraltar","GI","GIB",33706,"Europe",189.8771732
"11049",2020-04-12,12,4,2020,2,0,"Gibraltar","GI","GIB",33706,"Europe",216.57865069
"11050",2020-04-11,11,4,2020,4,0,"Gibraltar","GI","GIB",33706,"Europe",213.61181985
"11051",2020-04-10,10,4,2020,3,0,"Gibraltar","GI","GIB",33706,"Europe",261.08111315
"11052",2020-04-09,9,4,2020,7,0,"Gibraltar","GI","GIB",33706,"Europe",278.88209814
"11053",2020-04-08,8,4,2020,4,0,"Gibraltar","GI","GIB",33706,"Europe",290.74942147
"11054",2020-04-07,7,4,2020,6,0,"Gibraltar","GI","GIB",33706,"Europe",278.88209814
