"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"11073",2020-07-15,15,7,2020,57,0,"Greece","EL","GRC",10724599,"Europe",4.41974567
"11074",2020-07-14,14,7,2020,23,0,"Greece","EL","GRC",10724599,"Europe",4.06542007
"11075",2020-07-13,13,7,2020,31,0,"Greece","EL","GRC",10724599,"Europe",3.98150085
"11076",2020-07-12,12,7,2020,40,0,"Greece","EL","GRC",10724599,"Europe",3.78568933
"11077",2020-07-11,11,7,2020,60,0,"Greece","EL","GRC",10724599,"Europe",3.62717524
"11078",2020-07-10,10,7,2020,50,0,"Greece","EL","GRC",10724599,"Europe",3.27284964
"11079",2020-07-09,9,7,2020,33,0,"Greece","EL","GRC",10724599,"Europe",2.90919968
"11080",2020-07-08,8,7,2020,27,1,"Greece","EL","GRC",10724599,"Europe",2.67609073
"11081",2020-07-07,7,7,2020,43,0,"Greece","EL","GRC",10724599,"Europe",2.56419844
"11082",2020-07-06,6,7,2020,8,0,"Greece","EL","GRC",10724599,"Europe",2.35906256
"11083",2020-07-05,5,7,2020,25,0,"Greece","EL","GRC",10724599,"Europe",2.37771128
"11084",2020-07-04,4,7,2020,28,0,"Greece","EL","GRC",10724599,"Europe",2.32176513
"11085",2020-07-03,3,7,2020,26,0,"Greece","EL","GRC",10724599,"Europe",2.15392669
"11086",2020-07-02,2,7,2020,23,0,"Greece","EL","GRC",10724599,"Europe",2.13527797
"11087",2020-07-01,1,7,2020,19,1,"Greece","EL","GRC",10724599,"Europe",2.43365743
"11088",2020-06-30,30,6,2020,14,0,"Greece","EL","GRC",10724599,"Europe",2.38703564
"11089",2020-06-29,29,6,2020,10,0,"Greece","EL","GRC",10724599,"Europe",2.37771128
"11090",2020-06-28,28,6,2020,23,0,"Greece","EL","GRC",10724599,"Europe",2.36838692
"11091",2020-06-27,27,6,2020,22,0,"Greece","EL","GRC",10724599,"Europe",2.19122412
"11092",2020-06-26,26,6,2020,11,1,"Greece","EL","GRC",10724599,"Europe",2.1725754
"11093",2020-06-25,25,6,2020,8,0,"Greece","EL","GRC",10724599,"Europe",2.25649463
"11094",2020-06-24,24,6,2020,15,0,"Greece","EL","GRC",10724599,"Europe",2.27514334
"11095",2020-06-23,23,6,2020,21,0,"Greece","EL","GRC",10724599,"Europe",2.21919719
"11096",2020-06-22,22,6,2020,10,0,"Greece","EL","GRC",10724599,"Europe",2.9278484
"11097",2020-06-21,21,6,2020,19,1,"Greece","EL","GRC",10724599,"Europe",2.83460482
"11098",2020-06-20,20,6,2020,10,1,"Greece","EL","GRC",10724599,"Europe",2.79730739
"11099",2020-06-19,19,6,2020,24,1,"Greece","EL","GRC",10724599,"Europe",2.70406381
"11100",2020-06-18,18,6,2020,55,2,"Greece","EL","GRC",10724599,"Europe",2.48027922
"11101",2020-06-17,17,6,2020,14,1,"Greece","EL","GRC",10724599,"Europe",2.14460233
"11102",2020-06-16,16,6,2020,13,1,"Greece","EL","GRC",10724599,"Europe",2.02338568
"11103",2020-06-15,15,6,2020,9,0,"Greece","EL","GRC",10724599,"Europe",1.90216902
"11104",2020-06-14,14,6,2020,4,0,"Greece","EL","GRC",10724599,"Europe",1.83689852
"11105",2020-06-13,13,6,2020,20,0,"Greece","EL","GRC",10724599,"Europe",1.85554723
"11106",2020-06-12,12,6,2020,20,0,"Greece","EL","GRC",10724599,"Europe",1.69703315
"11107",2020-06-11,11,6,2020,10,0,"Greece","EL","GRC",10724599,"Europe",1.53851906
"11108",2020-06-10,10,6,2020,9,1,"Greece","EL","GRC",10724599,"Europe",1.54784342
"11109",2020-06-09,9,6,2020,97,2,"Greece","EL","GRC",10724599,"Europe",1.55716778
"11110",2020-06-08,8,6,2020,0,0,"Greece","EL","GRC",10724599,"Europe",0.69000249
"11111",2020-06-07,7,6,2020,15,1,"Greece","EL","GRC",10724599,"Europe",0.7086512
"11112",2020-06-06,6,6,2020,0,0,"Greece","EL","GRC",10724599,"Europe",0.59675891
"11113",2020-06-05,5,6,2020,0,0,"Greece","EL","GRC",10724599,"Europe",0.78324607
"11114",2020-06-04,4,6,2020,19,0,"Greece","EL","GRC",10724599,"Europe",0.81121914
"11115",2020-06-03,3,6,2020,1,4,"Greece","EL","GRC",10724599,"Europe",0.72729992
"11116",2020-06-02,2,6,2020,0,0,"Greece","EL","GRC",10724599,"Europe",0.75527299
"11117",2020-06-01,1,6,2020,2,0,"Greece","EL","GRC",10724599,"Europe",0.77392171
"11118",2020-05-31,31,5,2020,6,0,"Greece","EL","GRC",10724599,"Europe",0.89513836
"11119",2020-05-30,30,5,2020,3,0,"Greece","EL","GRC",10724599,"Europe",0.92311144
"11120",2020-05-29,29,5,2020,3,2,"Greece","EL","GRC",10724599,"Europe",1.26811268
"11121",2020-05-28,28,5,2020,11,0,"Greece","EL","GRC",10724599,"Europe",1.33338319
"11122",2020-05-27,27,5,2020,10,1,"Greece","EL","GRC",10724599,"Europe",1.38000498
"11123",2020-05-26,26,5,2020,4,1,"Greece","EL","GRC",10724599,"Europe",1.45459984
"11124",2020-05-25,25,5,2020,2,0,"Greece","EL","GRC",10724599,"Europe",1.51054599
"11125",2020-05-24,24,5,2020,3,2,"Greece","EL","GRC",10724599,"Europe",1.54784342
"11126",2020-05-23,23,5,2020,20,1,"Greece","EL","GRC",10724599,"Europe",1.69703315
"11127",2020-05-22,22,5,2020,3,2,"Greece","EL","GRC",10724599,"Europe",1.63176264
"11128",2020-05-21,21,5,2020,10,1,"Greece","EL","GRC",10724599,"Europe",1.74365494
"11129",2020-05-20,20,5,2020,4,0,"Greece","EL","GRC",10724599,"Europe",1.84622288
"11130",2020-05-19,19,5,2020,2,2,"Greece","EL","GRC",10724599,"Europe",1.90216902
"11131",2020-05-18,18,5,2020,15,1,"Greece","EL","GRC",10724599,"Europe",1.93946645
"11132",2020-05-17,17,5,2020,9,2,"Greece","EL","GRC",10724599,"Europe",1.85554723
