"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"11659",2020-07-20,20,7,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11660",2020-07-19,19,7,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11661",2020-07-18,18,7,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11662",2020-07-17,17,7,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11663",2020-07-16,16,7,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11664",2020-07-15,15,7,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11665",2020-07-14,14,7,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11666",2020-07-13,13,7,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11667",2020-07-12,12,7,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11668",2020-07-11,11,7,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11669",2020-07-10,10,7,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11670",2020-07-09,9,7,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11671",2020-07-08,8,7,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11672",2020-07-07,7,7,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11673",2020-07-06,6,7,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11674",2020-07-05,5,7,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11675",2020-07-04,4,7,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11676",2020-07-03,3,7,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11677",2020-07-02,2,7,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11678",2020-07-01,1,7,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11679",2020-06-30,30,6,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11680",2020-06-29,29,6,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11681",2020-06-28,28,6,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11682",2020-06-27,27,6,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11683",2020-06-26,26,6,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11684",2020-06-25,25,6,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11685",2020-06-24,24,6,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11686",2020-06-23,23,6,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11687",2020-06-22,22,6,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11688",2020-06-21,21,6,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11689",2020-06-20,20,6,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11690",2020-06-19,19,6,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11691",2020-06-18,18,6,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11692",2020-06-17,17,6,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11693",2020-06-16,16,6,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11694",2020-06-15,15,6,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11695",2020-06-14,14,6,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11696",2020-06-13,13,6,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11697",2020-06-12,12,6,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11698",2020-06-11,11,6,2020,0,0,"Greenland","GL","GRL",56660,"America",1.76491352
"11699",2020-06-10,10,6,2020,0,0,"Greenland","GL","GRL",56660,"America",1.76491352
"11700",2020-06-09,9,6,2020,0,0,"Greenland","GL","GRL",56660,"America",1.76491352
"11701",2020-06-08,8,6,2020,0,0,"Greenland","GL","GRL",56660,"America",3.52982704
"11702",2020-06-07,7,6,2020,0,0,"Greenland","GL","GRL",56660,"America",3.52982704
"11703",2020-06-06,6,6,2020,0,0,"Greenland","GL","GRL",56660,"America",3.52982704
"11704",2020-06-05,5,6,2020,0,0,"Greenland","GL","GRL",56660,"America",3.52982704
"11705",2020-06-04,4,6,2020,0,0,"Greenland","GL","GRL",56660,"America",3.52982704
"11706",2020-06-03,3,6,2020,0,0,"Greenland","GL","GRL",56660,"America",3.52982704
"11707",2020-06-02,2,6,2020,0,0,"Greenland","GL","GRL",56660,"America",3.52982704
"11708",2020-06-01,1,6,2020,0,0,"Greenland","GL","GRL",56660,"America",3.52982704
"11709",2020-05-31,31,5,2020,0,0,"Greenland","GL","GRL",56660,"America",3.52982704
"11710",2020-05-30,30,5,2020,0,0,"Greenland","GL","GRL",56660,"America",3.52982704
"11711",2020-05-29,29,5,2020,1,0,"Greenland","GL","GRL",56660,"America",3.52982704
"11712",2020-05-28,28,5,2020,0,0,"Greenland","GL","GRL",56660,"America",1.76491352
"11713",2020-05-27,27,5,2020,0,0,"Greenland","GL","GRL",56660,"America",1.76491352
"11714",2020-05-26,26,5,2020,1,0,"Greenland","GL","GRL",56660,"America",1.76491352
"11715",2020-05-25,25,5,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11716",2020-05-24,24,5,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11717",2020-05-23,23,5,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11718",2020-05-22,22,5,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11719",2020-05-21,21,5,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11720",2020-05-20,20,5,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11721",2020-05-19,19,5,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11722",2020-05-18,18,5,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11723",2020-05-17,17,5,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11724",2020-05-16,16,5,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11725",2020-05-15,15,5,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11726",2020-05-14,14,5,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11727",2020-05-13,13,5,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11728",2020-05-12,12,5,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11729",2020-05-11,11,5,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11730",2020-05-10,10,5,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11731",2020-05-09,9,5,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11732",2020-05-08,8,5,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11733",2020-05-07,7,5,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11734",2020-05-06,6,5,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11735",2020-05-05,5,5,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11736",2020-05-04,4,5,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11737",2020-05-03,3,5,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11738",2020-05-02,2,5,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11739",2020-05-01,1,5,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11740",2020-04-30,30,4,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11741",2020-04-29,29,4,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11742",2020-04-28,28,4,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11743",2020-04-27,27,4,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11744",2020-04-26,26,4,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11745",2020-04-25,25,4,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11746",2020-04-24,24,4,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11747",2020-04-23,23,4,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11748",2020-04-22,22,4,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11749",2020-04-21,21,4,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11750",2020-04-20,20,4,2020,0,0,"Greenland","GL","GRL",56660,"America",0
"11751",2020-04-19,19,4,2020,0,0,"Greenland","GL","GRL",56660,"America",1.76491352
"11752",2020-04-18,18,4,2020,0,0,"Greenland","GL","GRL",56660,"America",1.76491352
"11753",2020-04-17,17,4,2020,0,0,"Greenland","GL","GRL",56660,"America",1.76491352
"11754",2020-04-16,16,4,2020,0,0,"Greenland","GL","GRL",56660,"America",1.76491352
"11755",2020-04-15,15,4,2020,0,0,"Greenland","GL","GRL",56660,"America",1.76491352
"11756",2020-04-14,14,4,2020,0,0,"Greenland","GL","GRL",56660,"America",1.76491352
"11757",2020-04-13,13,4,2020,0,0,"Greenland","GL","GRL",56660,"America",1.76491352
"11758",2020-04-12,12,4,2020,0,0,"Greenland","GL","GRL",56660,"America",1.76491352
"11759",2020-04-11,11,4,2020,0,0,"Greenland","GL","GRL",56660,"America",3.52982704
"11760",2020-04-10,10,4,2020,0,0,"Greenland","GL","GRL",56660,"America",8.8245676
"11761",2020-04-09,9,4,2020,0,0,"Greenland","GL","GRL",56660,"America",10.58948112
