"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"12967",2020-08-04,4,8,2020,0,0,"Grenada","GD","GRD",112002,"America",0.8928412
"12968",2020-08-03,3,8,2020,0,0,"Grenada","GD","GRD",112002,"America",0.8928412
"12969",2020-08-02,2,8,2020,0,0,"Grenada","GD","GRD",112002,"America",0.8928412
"12970",2020-08-01,1,8,2020,0,0,"Grenada","GD","GRD",112002,"America",0.8928412
"12971",2020-07-31,31,7,2020,0,0,"Grenada","GD","GRD",112002,"America",0.8928412
"12972",2020-07-30,30,7,2020,1,0,"Grenada","GD","GRD",112002,"America",0.8928412
"12973",2020-07-29,29,7,2020,0,0,"Grenada","GD","GRD",112002,"America",0
"12974",2020-07-28,28,7,2020,0,0,"Grenada","GD","GRD",112002,"America",0
"12975",2020-07-27,27,7,2020,0,0,"Grenada","GD","GRD",112002,"America",0
"12976",2020-07-26,26,7,2020,0,0,"Grenada","GD","GRD",112002,"America",0
"12977",2020-07-25,25,7,2020,0,0,"Grenada","GD","GRD",112002,"America",0
"12978",2020-07-24,24,7,2020,0,0,"Grenada","GD","GRD",112002,"America",0
"12979",2020-07-23,23,7,2020,0,0,"Grenada","GD","GRD",112002,"America",0
"12980",2020-07-22,22,7,2020,0,0,"Grenada","GD","GRD",112002,"America",0
"12981",2020-07-21,21,7,2020,0,0,"Grenada","GD","GRD",112002,"America",0
"12982",2020-07-20,20,7,2020,0,0,"Grenada","GD","GRD",112002,"America",0
"12983",2020-07-19,19,7,2020,0,0,"Grenada","GD","GRD",112002,"America",0
"12984",2020-07-18,18,7,2020,0,0,"Grenada","GD","GRD",112002,"America",0
"12985",2020-07-17,17,7,2020,0,0,"Grenada","GD","GRD",112002,"America",0
"12986",2020-07-16,16,7,2020,0,0,"Grenada","GD","GRD",112002,"America",0
"12987",2020-07-15,15,7,2020,0,0,"Grenada","GD","GRD",112002,"America",0
