"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"12382",2020-07-26,26,7,2020,0,0,"Guam","GU","GUM",167295,"Oceania",14.94366239
"12383",2020-07-25,25,7,2020,0,0,"Guam","GU","GUM",167295,"Oceania",14.94366239
"12384",2020-07-24,24,7,2020,5,0,"Guam","GU","GUM",167295,"Oceania",16.13915538
"12385",2020-07-23,23,7,2020,2,0,"Guam","GU","GUM",167295,"Oceania",13.7481694
"12386",2020-07-22,22,7,2020,3,0,"Guam","GU","GUM",167295,"Oceania",16.13915538
"12387",2020-07-21,21,7,2020,8,0,"Guam","GU","GUM",167295,"Oceania",14.3459159
"12388",2020-07-20,20,7,2020,4,0,"Guam","GU","GUM",167295,"Oceania",10.75943692
"12389",2020-07-19,19,7,2020,0,0,"Guam","GU","GUM",167295,"Oceania",16.13915538
"12390",2020-07-18,18,7,2020,1,0,"Guam","GU","GUM",167295,"Oceania",16.13915538
"12391",2020-07-17,17,7,2020,0,0,"Guam","GU","GUM",167295,"Oceania",16.73690188
"12392",2020-07-16,16,7,2020,1,0,"Guam","GU","GUM",167295,"Oceania",20.32338085
"12393",2020-07-15,15,7,2020,1,0,"Guam","GU","GUM",167295,"Oceania",27.4963388
"12394",2020-07-14,14,7,2020,0,0,"Guam","GU","GUM",167295,"Oceania",32.87605726
"12395",2020-07-13,13,7,2020,0,0,"Guam","GU","GUM",167295,"Oceania",35.26704325
"12396",2020-07-12,12,7,2020,0,0,"Guam","GU","GUM",167295,"Oceania",38.25577573
"12397",2020-07-11,11,7,2020,2,0,"Guam","GU","GUM",167295,"Oceania",38.25577573
"12398",2020-07-10,10,7,2020,1,0,"Guam","GU","GUM",167295,"Oceania",37.65802923
"12399",2020-07-09,9,7,2020,6,0,"Guam","GU","GUM",167295,"Oceania",46.62422667
"12400",2020-07-08,8,7,2020,0,0,"Guam","GU","GUM",167295,"Oceania",46.02648017
"12401",2020-07-07,7,7,2020,2,0,"Guam","GU","GUM",167295,"Oceania",46.62422667
"12402",2020-07-06,6,7,2020,13,0,"Guam","GU","GUM",167295,"Oceania",47.22197316
"12403",2020-07-05,5,7,2020,0,0,"Guam","GU","GUM",167295,"Oceania",39.45126872
"12404",2020-07-04,4,7,2020,2,0,"Guam","GU","GUM",167295,"Oceania",52.60169162
"12405",2020-07-03,3,7,2020,6,0,"Guam","GU","GUM",167295,"Oceania",51.40619863
"12406",2020-07-02,2,7,2020,13,0,"Guam","GU","GUM",167295,"Oceania",52.60169162
"12407",2020-07-01,1,7,2020,10,0,"Guam","GU","GUM",167295,"Oceania",47.22197316
"12408",2020-06-30,30,6,2020,4,0,"Guam","GU","GUM",167295,"Oceania",42.4400012
"12409",2020-06-29,29,6,2020,5,0,"Guam","GU","GUM",167295,"Oceania",40.64676171
"12410",2020-06-28,28,6,2020,0,0,"Guam","GU","GUM",167295,"Oceania",37.65802923
"12411",2020-06-27,27,6,2020,1,0,"Guam","GU","GUM",167295,"Oceania",37.65802923
"12412",2020-06-26,26,6,2020,16,0,"Guam","GU","GUM",167295,"Oceania",38.85352222
"12413",2020-06-25,25,6,2020,5,0,"Guam","GU","GUM",167295,"Oceania",29.28957829
"12414",2020-06-24,24,6,2020,1,0,"Guam","GU","GUM",167295,"Oceania",27.4963388
"12415",2020-06-23,23,6,2020,3,0,"Guam","GU","GUM",167295,"Oceania",26.89859231
"12416",2020-06-22,22,6,2020,0,0,"Guam","GU","GUM",167295,"Oceania",25.70309932
"12417",2020-06-21,21,6,2020,22,0,"Guam","GU","GUM",167295,"Oceania",25.70309932
"12418",2020-06-20,20,6,2020,0,0,"Guam","GU","GUM",167295,"Oceania",12.55267641
"12419",2020-06-19,19,6,2020,8,0,"Guam","GU","GUM",167295,"Oceania",12.55267641
"12420",2020-06-18,18,6,2020,4,0,"Guam","GU","GUM",167295,"Oceania",7.77070444
"12421",2020-06-17,17,6,2020,2,0,"Guam","GU","GUM",167295,"Oceania",6.57521145
"12422",2020-06-16,16,6,2020,1,0,"Guam","GU","GUM",167295,"Oceania",6.57521145
"12423",2020-06-15,15,6,2020,0,0,"Guam","GU","GUM",167295,"Oceania",5.97746496
"12424",2020-06-14,14,6,2020,0,0,"Guam","GU","GUM",167295,"Oceania",7.17295795
"12425",2020-06-13,13,6,2020,3,0,"Guam","GU","GUM",167295,"Oceania",7.77070444
"12426",2020-06-12,12,6,2020,0,0,"Guam","GU","GUM",167295,"Oceania",5.97746496
"12427",2020-06-11,11,6,2020,2,0,"Guam","GU","GUM",167295,"Oceania",6.57521145
"12428",2020-06-10,10,6,2020,0,0,"Guam","GU","GUM",167295,"Oceania",6.57521145
"12429",2020-06-09,9,6,2020,1,0,"Guam","GU","GUM",167295,"Oceania",8.36845094
"12430",2020-06-08,8,6,2020,0,0,"Guam","GU","GUM",167295,"Oceania",7.77070444
"12431",2020-06-07,7,6,2020,0,0,"Guam","GU","GUM",167295,"Oceania",7.77070444
"12432",2020-06-06,6,6,2020,0,0,"Guam","GU","GUM",167295,"Oceania",8.36845094
"12433",2020-06-05,5,6,2020,0,0,"Guam","GU","GUM",167295,"Oceania",8.36845094
"12434",2020-06-04,4,6,2020,2,0,"Guam","GU","GUM",167295,"Oceania",8.36845094
"12435",2020-06-03,3,6,2020,2,0,"Guam","GU","GUM",167295,"Oceania",13.7481694
"12436",2020-06-02,2,6,2020,0,0,"Guam","GU","GUM",167295,"Oceania",12.55267641
"12437",2020-06-01,1,6,2020,2,0,"Guam","GU","GUM",167295,"Oceania",12.55267641
"12438",2020-05-31,31,5,2020,1,0,"Guam","GU","GUM",167295,"Oceania",11.35718342
"12439",2020-05-30,30,5,2020,0,0,"Guam","GU","GUM",167295,"Oceania",10.75943692
"12440",2020-05-29,29,5,2020,1,0,"Guam","GU","GUM",167295,"Oceania",10.75943692
"12441",2020-05-28,28,5,2020,2,0,"Guam","GU","GUM",167295,"Oceania",11.35718342
"12442",2020-05-27,27,5,2020,3,0,"Guam","GU","GUM",167295,"Oceania",10.16169043
"12443",2020-05-26,26,5,2020,0,0,"Guam","GU","GUM",167295,"Oceania",8.36845094
"12444",2020-05-25,25,5,2020,0,0,"Guam","GU","GUM",167295,"Oceania",8.96619744
"12445",2020-05-24,24,5,2020,1,0,"Guam","GU","GUM",167295,"Oceania",8.96619744
"12446",2020-05-23,23,5,2020,0,0,"Guam","GU","GUM",167295,"Oceania",8.36845094
"12447",2020-05-22,22,5,2020,0,0,"Guam","GU","GUM",167295,"Oceania",8.36845094
"12448",2020-05-21,21,5,2020,11,0,"Guam","GU","GUM",167295,"Oceania",8.36845094
"12449",2020-05-20,20,5,2020,0,0,"Guam","GU","GUM",167295,"Oceania",2.98873248
"12450",2020-05-19,19,5,2020,0,0,"Guam","GU","GUM",167295,"Oceania",2.98873248
"12451",2020-05-18,18,5,2020,0,0,"Guam","GU","GUM",167295,"Oceania",2.98873248
"12452",2020-05-17,17,5,2020,0,0,"Guam","GU","GUM",167295,"Oceania",3.58647897
"12453",2020-05-16,16,5,2020,0,0,"Guam","GU","GUM",167295,"Oceania",4.78197197
"12454",2020-05-15,15,5,2020,2,0,"Guam","GU","GUM",167295,"Oceania",4.78197197
"12455",2020-05-14,14,5,2020,0,0,"Guam","GU","GUM",167295,"Oceania",4.18422547
"12456",2020-05-13,13,5,2020,0,0,"Guam","GU","GUM",167295,"Oceania",4.18422547
"12457",2020-05-12,12,5,2020,1,0,"Guam","GU","GUM",167295,"Oceania",4.78197197
"12458",2020-05-11,11,5,2020,0,0,"Guam","GU","GUM",167295,"Oceania",5.37971846
"12459",2020-05-10,10,5,2020,0,0,"Guam","GU","GUM",167295,"Oceania",5.97746496
"12460",2020-05-09,9,5,2020,0,0,"Guam","GU","GUM",167295,"Oceania",5.97746496
"12461",2020-05-08,8,5,2020,0,0,"Guam","GU","GUM",167295,"Oceania",6.57521145
"12462",2020-05-07,7,5,2020,2,0,"Guam","GU","GUM",167295,"Oceania",8.36845094
"12463",2020-05-06,6,5,2020,0,0,"Guam","GU","GUM",167295,"Oceania",7.77070444
"12464",2020-05-05,5,5,2020,0,0,"Guam","GU","GUM",167295,"Oceania",7.77070444
"12465",2020-05-04,4,5,2020,1,0,"Guam","GU","GUM",167295,"Oceania",7.77070444
"12466",2020-05-03,3,5,2020,2,0,"Guam","GU","GUM",167295,"Oceania",7.17295795
"12467",2020-05-02,2,5,2020,0,0,"Guam","GU","GUM",167295,"Oceania",5.97746496
