"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"12026",2020-07-20,20,7,2020,635,36,"Guatemala","GT","GTM",17581476,"America",87.75713711
"12027",2020-07-19,19,7,2020,4233,6,"Guatemala","GT","GTM",17581476,"America",88.39417123
"12028",2020-07-18,18,7,2020,870,39,"Guatemala","GT","GTM",17581476,"America",71.18856233
"12029",2020-07-17,17,7,2020,865,54,"Guatemala","GT","GTM",17581476,"America",73.18498174
"12030",2020-07-16,16,7,2020,1202,48,"Guatemala","GT","GTM",17581476,"America",74.29979144
"12031",2020-07-15,15,7,2020,1130,58,"Guatemala","GT","GTM",17581476,"America",72.66739152
"12032",2020-07-14,14,7,2020,387,25,"Guatemala","GT","GTM",17581476,"America",70.14769408
"12033",2020-07-13,13,7,2020,757,47,"Guatemala","GT","GTM",17581476,"America",70.67097211
"12034",2020-07-12,12,7,2020,979,33,"Guatemala","GT","GTM",17581476,"America",69.39690388
"12035",2020-07-11,11,7,2020,961,47,"Guatemala","GT","GTM",17581476,"America",67.06490399
"12036",2020-07-10,10,7,2020,1247,39,"Guatemala","GT","GTM",17581476,"America",62.78767494
"12037",2020-07-09,9,7,2020,624,49,"Guatemala","GT","GTM",17581476,"America",60.24522628
"12038",2020-07-08,8,7,2020,815,23,"Guatemala","GT","GTM",17581476,"America",58.2829337
"12039",2020-07-07,7,7,2020,724,34,"Guatemala","GT","GTM",17581476,"America",58.03267029
"12040",2020-07-06,6,7,2020,747,27,"Guatemala","GT","GTM",17581476,"America",57.46388983
"12041",2020-07-05,5,7,2020,1208,40,"Guatemala","GT","GTM",17581476,"America",55.43334359
"12042",2020-07-04,4,7,2020,1221,37,"Guatemala","GT","GTM",17581476,"America",49.96167557
"12043",2020-07-03,3,7,2020,1061,26,"Guatemala","GT","GTM",17581476,"America",46.66274891
"12044",2020-07-02,2,7,2020,915,44,"Guatemala","GT","GTM",17581476,"America",44.13736367
"12045",2020-07-01,1,7,2020,687,27,"Guatemala","GT","GTM",17581476,"America",42.03287597
"12046",2020-06-30,30,6,2020,479,19,"Guatemala","GT","GTM",17581476,"America",40.5938614
"12047",2020-06-29,29,6,2020,533,21,"Guatemala","GT","GTM",17581476,"America",40.29809556
"12048",2020-06-28,28,6,2020,569,34,"Guatemala","GT","GTM",17581476,"America",39.27997854
"12049",2020-06-27,27,6,2020,209,49,"Guatemala","GT","GTM",17581476,"America",38.93871027
"12050",2020-06-26,26,6,2020,800,22,"Guatemala","GT","GTM",17581476,"America",40.14452484
"12051",2020-06-25,25,6,2020,279,19,"Guatemala","GT","GTM",17581476,"America",37.52813473
"12052",2020-06-24,24,6,2020,771,35,"Guatemala","GT","GTM",17581476,"America",37.96040787
"12053",2020-06-23,23,6,2020,624,16,"Guatemala","GT","GTM",17581476,"America",35.6454714
"12054",2020-06-22,22,6,2020,390,17,"Guatemala","GT","GTM",17581476,"America",34.63872999
"12055",2020-06-21,21,6,2020,246,31,"Guatemala","GT","GTM",17581476,"America",33.91637881
"12056",2020-06-20,20,6,2020,641,34,"Guatemala","GT","GTM",17581476,"America",34.26333489
"12057",2020-06-19,19,6,2020,617,17,"Guatemala","GT","GTM",17581476,"America",32.50011546
"12058",2020-06-18,18,6,2020,545,14,"Guatemala","GT","GTM",17581476,"America",31.23173504
"12059",2020-06-17,17,6,2020,434,19,"Guatemala","GT","GTM",17581476,"America",29.12155953
"12060",2020-06-16,16,6,2020,427,15,"Guatemala","GT","GTM",17581476,"America",28.07500349
"12061",2020-06-15,15,6,2020,354,17,"Guatemala","GT","GTM",17581476,"America",27.06257427
"12062",2020-06-14,14,6,2020,509,16,"Guatemala","GT","GTM",17581476,"America",27.02844744
