"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"11498",2020-07-12,12,7,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11499",2020-07-11,11,7,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11500",2020-07-10,10,7,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11501",2020-07-09,9,7,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11502",2020-07-08,8,7,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11503",2020-07-07,7,7,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11504",2020-07-06,6,7,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11505",2020-07-05,5,7,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11506",2020-07-04,4,7,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11507",2020-07-03,3,7,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11508",2020-07-02,2,7,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11509",2020-07-01,1,7,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11510",2020-06-30,30,6,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11511",2020-06-29,29,6,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11512",2020-06-28,28,6,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11513",2020-06-27,27,6,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11514",2020-06-26,26,6,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11515",2020-06-25,25,6,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11516",2020-06-24,24,6,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11517",2020-06-23,23,6,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11518",2020-06-22,22,6,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11519",2020-06-21,21,6,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11520",2020-06-20,20,6,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11521",2020-06-19,19,6,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11522",2020-06-18,18,6,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11523",2020-06-17,17,6,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11524",2020-06-16,16,6,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11525",2020-06-15,15,6,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11526",2020-06-14,14,6,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11527",2020-06-13,13,6,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11528",2020-06-12,12,6,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11529",2020-06-11,11,6,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11530",2020-06-10,10,6,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11531",2020-06-09,9,6,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11532",2020-06-08,8,6,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
"11533",2020-06-07,7,6,2020,0,0,"Guernsey","GG","GGY",64468,"Europe",0
